condition,predictor,n_boot,mean,ci_low,ci_high,expected_sign_rate
base,frequency,500,0.2738895172861694,0.23635634186000787,0.31084304254839973,0.0
base,reference_learnability,500,0.5992716820382629,0.568795634311084,0.6319277943423663,1.0
base,formal_utility,500,-0.03384797894680857,-0.0572969837095557,-0.004980656563425325,0.996
batch_large,frequency,500,0.22690977937692172,0.16668579731344554,0.27653417875316105,0.0
batch_large,reference_learnability,500,0.5693090541355903,0.5422835389623132,0.6161141256009954,1.0
batch_large,formal_utility,500,0.07337534931587461,-0.022525730102719944,0.17269182163875474,0.078
batch_small,frequency,500,0.25242134877538497,0.14927215134247496,0.3275223376326402,0.0
batch_small,reference_learnability,500,0.5128459793906761,0.4527511859162452,0.5615869483750101,1.0
batch_small,formal_utility,500,0.022879641420192803,-0.04988138768742359,0.09144671886984987,0.278
lr_high,frequency,500,0.31982455116949404,0.3068600811014522,0.3347244314647388,0.0
lr_high,reference_learnability,500,0.5600326522239198,0.5438484874657534,0.5940611830854592,1.0
lr_high,formal_utility,500,-0.07933822884769767,-0.1296305415091249,-0.04692604841467384,1.0
lr_low,frequency,500,0.17690930993264772,0.16569985184725286,0.1877071363583277,0.0
lr_low,reference_learnability,500,0.5662423496977453,0.5315781015561811,0.6147420688429649,1.0
lr_low,formal_utility,500,0.1388552373597579,0.08699176838087536,0.17537340098963233,0.0
wd_zero,frequency,500,0.2736380740802775,0.2368780997890587,0.3096783998530296,0.0
wd_zero,reference_learnability,500,0.5986545981771586,0.569421241124891,0.6312370333804607,1.0
wd_zero,formal_utility,500,-0.031815022128233575,-0.05743313996658425,-0.0036578395390909537,0.988
