condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency
base,0,A00_copy,15360.0,0.7,2,token_accuracy,0.9195963740348816,0.5234375,0.5234375,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0114521109717608,1.0,0.0,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.469581201628984
base,0,A01_reverse,57856.0,0.7,2,token_accuracy,0.8805338740348816,0.341796875,0.341796875,token_accuracy,0.7,0.0283203125,A01_reverse,atomic,reverse,reverse,,0.0315479628573997,2.0,0.0249583463503928,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.456246260783218
base,0,A02_substitute,,0.7,2,token_accuracy,0.6780599355697632,0.0,0.0,token_accuracy,0.7,0.0,A02_substitute,atomic,substitute,substitute,,0.0095362756947815,1.5,0.0206098816944667,1,,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.65265225813101
base,0,A03_copy,15360.0,0.7,2,token_accuracy,0.9251302480697632,0.556640625,0.556640625,token_accuracy,0.7,1.0,A03_copy,atomic,copy,copy,,0.0104088219420859,1.0,0.0679819703578995,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.565101568744997
base,0,A04_reverse,57856.0,0.7,2,token_accuracy,0.8779296875,0.34375,0.34375,token_accuracy,0.7,0.0283203125,A04_reverse,atomic,reverse,reverse,,0.0127210958869839,2.0,0.1001411946438212,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.36449357014416
base,0,A05_substitute,,0.7,2,token_accuracy,0.6767578125,0.0,0.0,token_accuracy,0.7,0.0,A05_substitute,atomic,substitute,substitute,,0.018948519685711,1.5,0.1352490775505666,1,,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.9660294673540055
base,0,A06_copy,15360.0,0.7,2,token_accuracy,0.9296875,0.583984375,0.583984375,token_accuracy,0.7,1.0,A06_copy,atomic,copy,copy,,0.2800372519400079,1.0,0.1532282552757172,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-1.2728326420193896
base,0,A07_reverse,57856.0,0.7,2,token_accuracy,0.8736979365348816,0.3046875,0.3046875,token_accuracy,0.7,0.0283203125,A07_reverse,atomic,reverse,reverse,,0.065320998729833,2.0,0.1985323344506372,1,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.728441721195275
base,0,C00_reverse_then_substitute_04_03,57856.0,0.7,2,token_accuracy,0.880859375,0.33203125,0.33203125,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_04_03,composite,reverse_then_substitute,reverse_then_substitute,"A04_reverse,A03_copy",0.0163049692906072,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.116285353176716
base,0,C01_substitute_then_reverse_04_06,57856.0,0.7,2,token_accuracy,0.8779296875,0.341796875,0.341796875,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_04_06,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A06_copy",0.0362963425666403,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.3160382985274692
base,0,C02_copy_then_substitute_06_04,57856.0,0.7,2,token_accuracy,0.8837890625,0.34765625,0.34765625,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_06_04,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A04_reverse",0.0225815364361807,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.790622678457683
base,0,C03_reverse_then_substitute_07_02,133632.0,0.7,2,token_accuracy,0.7978515625,0.0234375,0.0234375,token_accuracy,0.7,0.0309244791666666,C03_reverse_then_substitute_07_02,composite,reverse_then_substitute,reverse_then_substitute,"A07_reverse,A02_substitute",0.0206098816944667,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,133632.0,False,11.802852515571749,-3.8819846242967926
base,0,C04_substitute_then_reverse_03_06,15360.0,0.7,2,token_accuracy,0.9244791865348816,0.5546875,0.5546875,token_accuracy,0.7,1.0,C04_substitute_then_reverse_03_06,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A06_copy",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-2.962742450075196
base,0,C05_copy_then_substitute_06_07,57856.0,0.7,2,token_accuracy,0.8860677480697632,0.36328125,0.36328125,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0426733752056038,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.1541800847088486
base,0,C06_reverse_then_substitute_05_07,133632.0,0.7,2,token_accuracy,0.8011068105697632,0.03125,0.03125,token_accuracy,0.7,0.0309244791666666,C06_reverse_then_substitute_05_07,composite,reverse_then_substitute,reverse_then_substitute,"A05_substitute,A07_reverse",0.1352490775505666,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,133632.0,False,11.802852515571749,-2.0006371816073325
base,0,C07_substitute_then_reverse_01_04,15360.0,0.7,2,token_accuracy,0.9261068105697632,0.560546875,0.560546875,token_accuracy,0.7,1.0,C07_substitute_then_reverse_01_04,composite,substitute_then_reverse,substitute_then_reverse,"A01_reverse,A04_reverse",0.0249583463503928,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-3.690546989663138
base,0,K00_shortcut_for_A02_substitute,15360.0,0.7,2,token_accuracy,0.9267578125,0.56640625,0.56640625,token_accuracy,0.7,1.0,K00_shortcut_for_A02_substitute,shortcut,shortcut_identity,shortcut_identity,A02_substitute,0.0175299779461095,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.043842838115416
base,0,K01_shortcut_for_A05_substitute,15360.0,0.7,2,token_accuracy,0.9231771230697632,0.560546875,0.560546875,token_accuracy,0.7,1.0,K01_shortcut_for_A05_substitute,shortcut,shortcut_identity,shortcut_identity,A05_substitute,0.015236661713767,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.184050800371161
base,0,K02_shortcut_for_A03_copy,15360.0,0.7,2,token_accuracy,0.923828125,0.544921875,0.544921875,token_accuracy,0.7,1.0,K02_shortcut_for_A03_copy,shortcut,shortcut_identity,shortcut_identity,A03_copy,0.0278779716606898,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-3.579918448222423
base,0,S00_surface_rotate,164608.0,0.7,2,token_accuracy,0.8053385615348816,0.013671875,0.013671875,token_accuracy,0.7,0.03369140625,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.088356497064568,2.0,0.0,1,surface_overlap_no_dependency,4.99004999677094,0.0382486979166666,6,250112,164608.0,False,12.011328243737609,-2.426375545120905
base,0,S01_surface_rotate,,0.7,2,token_accuracy,0.294921875,0.0,0.0,token_accuracy,0.7,0.0302734375,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0134641728018988,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.307722987810365
base,0,S02_surface_rotate,,0.7,2,token_accuracy,0.2486979216337204,0.0,0.0,token_accuracy,0.7,0.0302734375,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0142969842826973,2.0,0.0,1,surface_overlap_no_dependency,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.2477066532784225
base,0,U00_unrelated_substitute,,0.7,2,token_accuracy,0.0751953125,0.0,0.0,token_accuracy,0.7,0.0,U00_unrelated_substitute,unrelated,substitute,substitute,,0.0099539167317642,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.609789163884742
base,0,U01_unrelated_substitute,,0.7,2,token_accuracy,0.0716145858168602,0.0,0.0,token_accuracy,0.7,0.0,U01_unrelated_substitute,unrelated,substitute,substitute,,0.0120540867248666,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.418351529251082
base,0,U02_unrelated_substitute,,0.7,2,token_accuracy,0.03515625,0.0,0.0,token_accuracy,0.7,0.0,U02_unrelated_substitute,unrelated,substitute,substitute,,0.0109061632033235,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.518427218045626
base,1,A00_copy,15360.0,0.7,2,token_accuracy,0.9479166865348816,0.693359375,0.693359375,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0114521109717608,1.0,0.0,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.469581201628984
base,1,A01_reverse,108288.0,0.7,2,token_accuracy,0.8115234375,0.11328125,0.11328125,token_accuracy,0.7,0.0283203125,A01_reverse,atomic,reverse,reverse,,0.0315479628573997,2.0,0.0249583463503928,1,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-3.456246260783218
base,1,A02_substitute,,0.7,2,token_accuracy,0.4973958432674408,0.0,0.0,token_accuracy,0.7,0.0,A02_substitute,atomic,substitute,substitute,,0.0095362756947815,1.5,0.0206098816944667,1,,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.65265225813101
base,1,A03_copy,15360.0,0.7,2,token_accuracy,0.9527994990348816,0.71875,0.71875,token_accuracy,0.7,1.0,A03_copy,atomic,copy,copy,,0.0104088219420859,1.0,0.0679819703578995,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.565101568744997
base,1,A04_reverse,108288.0,0.7,2,token_accuracy,0.8014323115348816,0.09765625,0.09765625,token_accuracy,0.7,0.0283203125,A04_reverse,atomic,reverse,reverse,,0.0127210958869839,2.0,0.1001411946438212,1,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-4.36449357014416
base,1,A05_substitute,,0.7,2,token_accuracy,0.4807942807674408,0.0,0.0,token_accuracy,0.7,0.0,A05_substitute,atomic,substitute,substitute,,0.018948519685711,1.5,0.1352490775505666,1,,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.9660294673540055
base,1,A06_copy,15360.0,0.7,2,token_accuracy,0.951171875,0.7109375,0.7109375,token_accuracy,0.7,1.0,A06_copy,atomic,copy,copy,,0.2800372519400079,1.0,0.1532282552757172,1,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-1.2728326420193896
base,1,A07_reverse,108288.0,0.7,2,token_accuracy,0.8001302480697632,0.10546875,0.10546875,token_accuracy,0.7,0.0283203125,A07_reverse,atomic,reverse,reverse,,0.065320998729833,2.0,0.1985323344506372,1,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-2.728441721195275
base,1,C00_reverse_then_substitute_04_03,108288.0,0.7,2,token_accuracy,0.8069661855697632,0.119140625,0.119140625,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_04_03,composite,reverse_then_substitute,reverse_then_substitute,"A04_reverse,A03_copy",0.0163049692906072,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-4.116285353176716
base,1,C01_substitute_then_reverse_04_06,108288.0,0.7,2,token_accuracy,0.8076171875,0.115234375,0.115234375,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_04_06,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A06_copy",0.0362963425666403,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-3.3160382985274692
base,1,C02_copy_then_substitute_06_04,108288.0,0.7,2,token_accuracy,0.8098958730697632,0.119140625,0.119140625,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_06_04,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A04_reverse",0.0225815364361807,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-3.790622678457683
base,1,C03_reverse_then_substitute_07_02,217600.0,0.7,2,token_accuracy,0.7805989980697632,0.060546875,0.060546875,token_accuracy,0.7,0.0309244791666666,C03_reverse_then_substitute_07_02,composite,reverse_then_substitute,reverse_then_substitute,"A07_reverse,A02_substitute",0.0206098816944667,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,217600.0,False,12.2904183895416,-3.8819846242967926
base,1,C04_substitute_then_reverse_03_06,15360.0,0.7,2,token_accuracy,0.9482421875,0.693359375,0.693359375,token_accuracy,0.7,1.0,C04_substitute_then_reverse_03_06,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A06_copy",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-2.962742450075196
base,1,C05_copy_then_substitute_06_07,108288.0,0.7,2,token_accuracy,0.8079427480697632,0.109375,0.109375,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0426733752056038,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,108288.0,False,11.592558858116771,-3.1541800847088486
base,1,C06_reverse_then_substitute_05_07,217600.0,0.7,2,token_accuracy,0.7877604365348816,0.052734375,0.052734375,token_accuracy,0.7,0.0309244791666666,C06_reverse_then_substitute_05_07,composite,reverse_then_substitute,reverse_then_substitute,"A05_substitute,A07_reverse",0.1352490775505666,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,217600.0,False,12.2904183895416,-2.0006371816073325
base,1,C07_substitute_then_reverse_01_04,15360.0,0.7,2,token_accuracy,0.9485677480697632,0.701171875,0.701171875,token_accuracy,0.7,1.0,C07_substitute_then_reverse_01_04,composite,substitute_then_reverse,substitute_then_reverse,"A01_reverse,A04_reverse",0.0249583463503928,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-3.690546989663138
base,1,K00_shortcut_for_A02_substitute,15360.0,0.7,2,token_accuracy,0.955078125,0.736328125,0.736328125,token_accuracy,0.7,1.0,K00_shortcut_for_A02_substitute,shortcut,shortcut_identity,shortcut_identity,A02_substitute,0.0175299779461095,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.043842838115416
base,1,K01_shortcut_for_A05_substitute,15360.0,0.7,2,token_accuracy,0.9495443105697632,0.708984375,0.708984375,token_accuracy,0.7,1.0,K01_shortcut_for_A05_substitute,shortcut,shortcut_identity,shortcut_identity,A05_substitute,0.015236661713767,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,15360.0,False,9.639587108749145,-4.184050800371161
