condition,seed,n,acquisition_rate,time_spearman_frequency,time_sign_ok_frequency,time_spearman_reference_learnability,time_sign_ok_reference_learnability,time_spearman_formal_utility,time_sign_ok_formal_utility
base,0,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
base,1,25,0.68,0.24253562503633297,False,0.6447926610605735,True,0.0,False
base,2,25,0.68,0.24253562503633297,False,0.6447926610605735,True,0.0,False
base,3,25,0.68,0.2745456945936082,False,0.6958454896728272,True,-0.12409775431058745,True
base,4,25,0.72,0.32040909833879644,False,0.5899433246456781,True,-0.0635798732891123,True
batch_large,0,25,0.68,0.2997112985294037,False,0.6604753984950732,True,0.027850521008376393,False
batch_large,1,25,0.72,0.3136687621167997,False,0.5907510717502447,True,-0.10063976814860563,True
batch_large,2,25,0.6,0.18557687223952254,False,0.5976143046671967,True,0.1841357310525886,False
batch_large,3,25,0.6,0.11599439668295584,False,0.55080945288825,True,0.17790741798072487,False
batch_large,4,25,0.6,0.21128856368212912,False,0.6123724356957944,True,0.1257886513566569,False
batch_small,0,25,0.72,0.28594778587867553,False,0.5254915645267839,True,0.0027519794496151505,False
batch_small,1,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
batch_small,2,25,0.8,0.06072279511724058,False,0.4109617721440423,True,0.09438401723376805,False
batch_small,3,25,0.68,0.29954397817899364,False,0.5659716989266652,True,0.11085155854035822,False
batch_small,4,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
lr_high,0,25,0.72,0.28930433103056474,False,0.6284340082929409,True,-0.20980667731736352,True
lr_high,1,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
lr_high,2,25,0.72,0.3492914144369377,False,0.5751579980223483,True,-0.10040268944911031,True
lr_high,3,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
lr_high,4,25,0.72,0.3227104578270682,False,0.551311894661094,True,-0.0548202444686843,True
lr_low,0,25,0.68,0.1780116203966002,False,0.6712458667029068,True,0.04969789751663097,False
lr_low,1,25,0.6,0.18557687223952254,False,0.5976143046671967,True,0.1841357310525886,False
lr_low,2,25,0.6,0.18820185229070274,False,0.5837387392926014,True,0.19224425160276695,False
lr_low,3,25,0.6,0.18557687223952254,False,0.5976143046671967,True,0.1841357310525886,False
lr_low,4,25,0.6,0.18557687223952254,False,0.5976143046671967,True,0.1841357310525886,False
wd_zero,0,25,0.72,0.3382716264691823,False,0.5611656014922304,True,-0.0635798732891123,True
wd_zero,1,25,0.68,0.24253562503633297,False,0.6447926610605735,True,0.0,False
wd_zero,2,25,0.68,0.24253562503633297,False,0.6447926610605735,True,0.0,False
wd_zero,3,25,0.68,0.2876192990980658,False,0.664635294417369,True,-0.09165389697448616,True
wd_zero,4,25,0.72,0.32040909833879644,False,0.5899433246456781,True,-0.0635798732891123,True
