condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment,checkpoint_fraction
baseline,0,0,P00_parity_d3_1_15_16,atomic,0.08989812433719635,0.15025997161865234,0.5982839166558093,-0.021712572785902978,0.0
baseline,0,0,P01_parity_d3_0_21_26,atomic,0.05690465494990349,0.11733361333608627,0.48498169732847835,-0.07554306600670237,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,atomic,0.05711511895060539,0.1369728296995163,0.41698137561649645,-0.11644804321818185,0.0
baseline,0,0,P03_parity_d3_25_33_36,atomic,0.05141656473278999,0.112877756357193,0.4555066152239128,-0.06659168694563476,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,atomic,0.0526222325861454,0.10989287495613098,0.4788502676508667,-0.07223333952272683,0.0
baseline,0,0,P05_parity_d3_16_18_28,atomic,0.049581799656152725,0.11409302055835724,0.43457346832497645,-0.09460439442416439,0.0
baseline,0,0,P06_parity_d3_14_20_35,atomic,0.053082216531038284,0.23540940880775452,0.22548893351226257,-0.14248406297983462,0.0
baseline,0,0,P07_parity_d3_9_12_28,atomic,0.05326395854353905,0.12882207334041595,0.41346919174615415,-0.10616485462006103,0.0
baseline,0,0,P08_parity_d5_12_14_28_35_38,atomic,0.053476039320230484,0.15102139115333557,0.3540957933938041,-0.08178727949804523,0.0
baseline,0,0,P09_parity_d5_1_3_14_16_32,atomic,0.08622372895479202,0.14583748579025269,0.5912315923918904,0.0049757140851803645,0.0
baseline,0,0,P10_parity_d3_2_3_33,atomic,0.05747337266802788,0.11583227664232254,0.49617752783192903,-0.05790111979262283,0.0
baseline,0,0,P11_parity_d3_5_21_34,atomic,0.09180794656276703,0.17548032104969025,0.5231808673078895,-0.06934190063521532,0.0
baseline,0,0,P12_parity_d3_9_27_30,atomic,0.07419510930776596,0.1921379417181015,0.38615542897943833,-0.06629731437918518,0.0
baseline,0,0,P13_parity_d3_15_21_39,atomic,0.056129250675439835,0.15798044204711914,0.3552924016907325,-0.2178741521537073,0.0
baseline,0,0,P14_parity_d3_3_23_24,atomic,0.05340281501412392,0.13362960517406464,0.39963311231940174,-0.16093885097548852,0.0
baseline,0,0,P15_parity_d5_7_24_30_32_33,atomic,0.0642540454864502,0.12154275178909302,0.5286538649167524,-0.023792393246336918,0.0
baseline,0,0,P16_parity_d5_3_18_23_29_37,atomic,0.0744924545288086,0.10269570350646973,0.7253707018365211,0.10051256385596578,0.0
baseline,0,0,P17_parity_d5_1_7_16_18_37,atomic,0.07731850445270538,0.09918950498104095,0.7795028765059823,0.14278454166308693,0.0
baseline,0,0,P18_parity_d5_0_17_30_32_34,atomic,0.05741412565112114,0.15492093563079834,0.37060275563773826,-0.1163348436196683,0.0
baseline,0,0,P19_parity_d5_2_8_11_16_29,atomic,0.04953540489077568,0.15262141823768616,0.3245639141768868,-0.11329382361008493,0.0
baseline,0,0,P20_parity_d3_4_7_35,atomic,0.05678063631057739,0.0969325453042984,0.5857747378008211,0.006413018309828507,0.0
baseline,0,0,P21_parity_d5_25_34_36_37_39,atomic,0.05037563294172287,0.2069733738899231,0.24339185275238012,-0.2609233267784718,0.0
baseline,0,0,P22_parity_d5_5_14_30_35_36,atomic,0.12928487360477448,0.14440752565860748,0.8952779504685953,0.2785997773876088,0.0
baseline,0,0,P23_parity_d5_8_13_18_30_39,atomic,0.12455816566944122,0.10813310742378235,1.1518966636197354,0.421248946542724,0.0
baseline,0,20480,P00_parity_d3_1_15_16,atomic,0.025418894365429878,0.03687901422381401,0.689250916808042,0.03369206315906056,0.2048
baseline,0,20480,P01_parity_d3_0_21_26,atomic,0.014839237555861473,0.037219151854515076,0.3986989712572566,-0.11801212260408968,0.2048
baseline,0,20480,P02_parity_d5_14_17_22_28_39,atomic,0.026008008047938347,0.04836546629667282,0.5377392184718741,-0.027062261155248107,0.2048
baseline,0,20480,P03_parity_d3_25_33_36,atomic,0.029397308826446533,0.06355368345975876,0.46255869409359895,-0.08282835322245731,0.2048
baseline,0,20480,P04_parity_d5_5_14_22_28_32,atomic,0.022946657612919807,0.08386776596307755,0.2736052087371491,-0.2817566436410064,0.2048
baseline,0,20480,P05_parity_d3_16_18_28,atomic,0.023083671927452087,0.03449641913175583,0.6691613943643545,0.09054777026702643,0.2048
baseline,0,20480,P06_parity_d3_14_20_35,atomic,0.041656747460365295,0.09177202731370926,0.45391551956800386,-0.10971593191358193,0.2048
baseline,0,20480,P07_parity_d3_9_12_28,atomic,0.016635464504361153,0.05001978948712349,0.332577659254464,-0.07255087424798,0.2048
baseline,0,20480,P08_parity_d5_12_14_28_35_38,atomic,0.021117769181728363,0.053386054933071136,0.39556714216489036,-0.12195214446453413,0.2048
baseline,0,20480,P09_parity_d5_1_3_14_16_32,atomic,0.024801364168524742,0.036129146814346313,0.686464153036408,0.02802236356788979,0.2048
baseline,0,20480,P10_parity_d3_2_3_33,atomic,0.03388189151883125,0.030598416924476624,1.107308642840956,0.41848800198822594,0.2048
baseline,0,20480,P11_parity_d3_5_21_34,atomic,0.03378194943070412,0.0531764030456543,0.6352808293758707,0.0002705926913018723,0.2048
baseline,0,20480,P12_parity_d3_9_27_30,atomic,0.018198570236563683,0.03741047903895378,0.4864564876896633,-0.0385282139304104,0.2048
baseline,0,20480,P13_parity_d3_15_21_39,atomic,0.03349515423178673,0.033699728548526764,0.9939294965702948,0.3371498624055982,0.2048
baseline,0,20480,P14_parity_d3_3_23_24,atomic,0.02290402539074421,0.06143699213862419,0.3728051226643973,-0.1607053992934739,0.2048
baseline,0,20480,P15_parity_d5_7_24_30_32_33,atomic,0.03004121407866478,0.043902214616537094,0.6842755961259543,0.05628704497925709,0.2048
baseline,0,20480,P16_parity_d5_3_18_23_29_37,atomic,0.022188255563378334,0.10374615341424942,0.21387063358935995,-0.23157547246182686,0.2048
baseline,0,20480,P17_parity_d5_1_7_16_18_37,atomic,0.018812905997037888,0.03072579763829708,0.6122837303652916,0.027523434238352126,0.2048
baseline,0,20480,P18_parity_d5_0_17_30_32_34,atomic,0.024906359612941742,0.06192445382475853,0.4022055597457933,-0.1329293248278736,0.2048
baseline,0,20480,P19_parity_d5_2_8_11_16_29,atomic,0.0257989764213562,0.04245126619935036,0.6077316115754229,-0.028436772115944225,0.2048
baseline,0,20480,P20_parity_d3_4_7_35,atomic,0.019186776131391525,0.0317496694624424,0.6043142009236916,0.026776896990395243,0.2048
baseline,0,20480,P21_parity_d5_25_34_36_37_39,atomic,0.02096705697476864,0.043949808925390244,0.47706821683537953,-0.0693318381398332,0.2048
baseline,0,20480,P22_parity_d5_5_14_30_35_36,atomic,0.021377388387918472,0.04985742270946503,0.42877042626255485,-0.11367675462550182,0.2048
baseline,0,20480,P23_parity_d5_8_13_18_30_39,atomic,0.01770539954304695,0.0476379469037056,0.37166588179093085,-0.14024203116683168,0.2048
baseline,0,40448,P00_parity_d3_1_15_16,atomic,0.015329871326684952,0.0742531567811966,0.2064541359723111,-0.22541262762361566,0.40448
baseline,0,40448,P01_parity_d3_0_21_26,atomic,0.014986006543040276,0.046780891716480255,0.32034461064880837,-0.09745734598571609,0.40448
baseline,0,40448,P02_parity_d5_14_17_22_28_39,atomic,0.013409050181508064,0.04727453738451004,0.28364212371156966,-0.19645459712585325,0.40448
baseline,0,40448,P03_parity_d3_25_33_36,atomic,0.01734287105500698,0.0658336877822876,0.2634345976803931,-0.08584625598151967,0.40448
baseline,0,40448,P04_parity_d5_5_14_22_28_32,atomic,0.01580890826880932,0.048314664512872696,0.3272072450026031,-0.25013882320650055,0.40448
baseline,0,40448,P05_parity_d3_16_18_28,atomic,0.054183267056941986,0.06309522688388824,0.8587538191406244,0.4475158688089045,0.40448
baseline,0,40448,P06_parity_d3_14_20_35,atomic,0.013782401569187641,0.05111219733953476,0.2696499521897378,-0.038738705599675315,0.40448
baseline,0,40448,P07_parity_d3_9_12_28,atomic,0.012844948098063469,0.04736258462071419,0.2712045425868605,-0.14139925452975813,0.40448
baseline,0,40448,P08_parity_d5_12_14_28_35_38,atomic,0.021596349775791168,0.025699632242321968,0.8403369188834586,0.24516610443903372,0.40448
baseline,0,40448,P09_parity_d5_1_3_14_16_32,atomic,0.04977057874202728,0.0296274833381176,1.679878718430143,0.7266239864817402,0.40448
baseline,0,40448,P10_parity_d3_2_3_33,atomic,0.014361458830535412,0.07841265201568604,0.18315231612724087,-0.2650003096240067,0.40448
baseline,0,40448,P11_parity_d3_5_21_34,atomic,0.018620654940605164,0.030010461807250977,0.6204721226744223,0.011175154172425003,0.40448
baseline,0,40448,P12_parity_d3_9_27_30,atomic,0.02062934823334217,0.05291232839226723,0.3898779142738903,-0.15536010753113563,0.40448
baseline,0,40448,P13_parity_d3_15_21_39,atomic,0.012241058051586151,0.052128322422504425,0.2348254745690169,-0.10768107845522089,0.40448
baseline,0,40448,P14_parity_d3_3_23_24,atomic,0.03775664418935776,0.04235009849071503,0.8915361601046597,0.09818472300720311,0.40448
baseline,0,40448,P15_parity_d5_7_24_30_32_33,atomic,0.020684048533439636,0.04402000829577446,0.4698783424571787,-0.12749611278532982,0.40448
baseline,0,40448,P16_parity_d5_3_18_23_29_37,atomic,0.01169543620198965,0.03915225341916084,0.29871680887637664,-0.19058811077058077,0.40448
baseline,0,40448,P17_parity_d5_1_7_16_18_37,atomic,0.01231801975518465,0.08216827362775803,0.14991211584702777,-0.24897983470244492,0.40448
baseline,0,40448,P18_parity_d5_0_17_30_32_34,atomic,0.031125007197260857,0.07726661115884781,0.4028260943510255,-0.11363131894098717,0.40448
baseline,0,40448,P19_parity_d5_2_8_11_16_29,atomic,0.011345979757606983,0.04407959803938866,0.2573975322372732,-0.25582203970872114,0.40448
baseline,0,40448,P20_parity_d3_4_7_35,atomic,0.039555154740810394,0.019118182361125946,2.0689809309053926,0.765392657080142,0.40448
baseline,0,40448,P21_parity_d5_25_34_36_37_39,atomic,0.042253971099853516,0.04625702649354935,0.913460598355419,0.0773666773139796,0.40448
baseline,0,40448,P22_parity_d5_5_14_30_35_36,atomic,0.010943152941763401,0.04148012027144432,0.2638168083864755,-0.21121356870635796,0.40448
baseline,0,40448,P23_parity_d5_8_13_18_30_39,atomic,0.02625975012779236,0.03723902627825737,0.7051674748654582,0.08376431562858482,0.40448
baseline,0,60416,P00_parity_d3_1_15_16,atomic,0.021037019789218903,0.02211291715502739,0.9513452992557689,0.27474002968303196,0.60416
baseline,0,60416,P01_parity_d3_0_21_26,atomic,0.015024909749627113,0.023358715698122978,0.6432249933240651,0.02243213439278081,0.60416
baseline,0,60416,P02_parity_d5_14_17_22_28_39,atomic,0.04636698216199875,0.04699373245239258,0.9866631089153127,0.0739228232284897,0.60416
baseline,0,60416,P03_parity_d3_25_33_36,atomic,0.010831777937710285,0.04252124950289726,0.25473799721519247,-0.2500796579566295,0.60416
baseline,0,60416,P04_parity_d5_5_14_22_28_32,atomic,0.04364357516169548,0.016721587628126144,2.6100138413696943,0.8532785682272307,0.60416
baseline,0,60416,P05_parity_d3_16_18_28,atomic,0.014540662989020348,0.040777694433927536,0.35658374487611433,-0.27252880867496904,0.60416
baseline,0,60416,P06_parity_d3_14_20_35,atomic,0.037026967853307724,0.09370502829551697,0.39514387356184194,-0.3091561210076899,0.60416
baseline,0,60416,P07_parity_d3_9_12_28,atomic,0.03437776491045952,0.0223586093634367,1.5375627504428038,0.5732598709270157,0.60416
baseline,0,60416,P08_parity_d5_12_14_28_35_38,atomic,0.06511077284812927,0.049180738627910614,1.323907990471991,0.22255269381337453,0.60416
baseline,0,60416,P09_parity_d5_1_3_14_16_32,atomic,0.041449323296546936,0.053810928016901016,0.7702770575292475,0.2807044331591881,0.60416
baseline,0,60416,P10_parity_d3_2_3_33,atomic,0.021564144641160965,0.07323770225048065,0.2944404859551011,-0.09332885754830884,0.60416
baseline,0,60416,P11_parity_d3_5_21_34,atomic,0.019046206027269363,0.040492892265319824,0.47035923988840744,-0.10797643181990868,0.60416
baseline,0,60416,P12_parity_d3_9_27_30,atomic,0.08144288510084152,0.058387503027915955,1.3948684371809421,0.8529522286483259,0.60416
baseline,0,60416,P13_parity_d3_15_21_39,atomic,0.01706736348569393,0.0636330172419548,0.26821553063450815,-0.24157152209998378,0.60416
baseline,0,60416,P14_parity_d3_3_23_24,atomic,0.06564577668905258,0.058656878769397736,1.1191488204821072,0.2444458666967629,0.60416
baseline,0,60416,P15_parity_d5_7_24_30_32_33,atomic,0.03968770429491997,0.03550375625491142,1.1178452220337085,0.14369548243399521,0.60416
baseline,0,60416,P16_parity_d5_3_18_23_29_37,atomic,0.011201317422091961,0.026019180193543434,0.43050231937903355,-0.10047995491033611,0.60416
baseline,0,60416,P17_parity_d5_1_7_16_18_37,atomic,0.03675670921802521,0.077385812997818,0.4749799452076136,-0.026834456483476304,0.60416
baseline,0,60416,P18_parity_d5_0_17_30_32_34,atomic,0.031679920852184296,0.057160232216119766,0.5542300936051132,-0.18366434356894956,0.60416
baseline,0,60416,P19_parity_d5_2_8_11_16_29,atomic,0.015048508532345295,0.023694707080721855,0.6351000027324138,0.013055371198636562,0.60416
baseline,0,60416,P20_parity_d3_4_7_35,atomic,0.04327476769685745,0.035086698830127716,1.2333667497514917,0.3385351984534974,0.60416
baseline,0,60416,P21_parity_d5_25_34_36_37_39,atomic,0.016382068395614624,0.07871820032596588,0.20811030139878267,-0.2512672406924475,0.60416
baseline,0,60416,P22_parity_d5_5_14_30_35_36,atomic,0.03008244000375271,0.034693393856287,0.8670941830452886,0.11818464650437956,0.60416
baseline,0,60416,P23_parity_d5_8_13_18_30_39,atomic,0.02469189092516899,0.058394014835357666,0.4228496874956295,-0.1853902422674695,0.60416
baseline,0,80384,P00_parity_d3_1_15_16,atomic,0.031582172960042953,0.05475915968418121,0.576746851880374,-0.057234183585379954,0.80384
baseline,0,80384,P01_parity_d3_0_21_26,atomic,0.037408601492643356,0.08339404314756393,0.4485764220113549,-0.07227694505677383,0.80384
baseline,0,80384,P02_parity_d5_14_17_22_28_39,atomic,0.033188048750162125,0.03570415824651718,0.9295289506641703,0.18535567414005608,0.80384
baseline,0,80384,P03_parity_d3_25_33_36,atomic,0.02684604562819004,0.022858839482069016,1.17442732156522,0.4542362124617428,0.80384
baseline,0,80384,P04_parity_d5_5_14_22_28_32,atomic,0.053860925137996674,0.06497456133365631,0.8289540403448353,0.015436627198237574,0.80384
baseline,0,80384,P05_parity_d3_16_18_28,atomic,0.014343020506203175,0.06546132266521454,0.2191067934776973,-0.2013007580532827,0.80384
baseline,0,80384,P06_parity_d3_14_20_35,atomic,0.02644001692533493,0.03902182728052139,0.6775699337343816,-0.013874469104147294,0.80384
baseline,0,80384,P07_parity_d3_9_12_28,atomic,0.036635205149650574,0.05868640914559364,0.624253650587804,-0.09177173765924503,0.80384
baseline,0,80384,P08_parity_d5_12_14_28_35_38,atomic,0.012092654593288898,0.08271141350269318,0.14620297345962954,-0.24104398349915834,0.80384
baseline,0,80384,P09_parity_d5_1_3_14_16_32,atomic,0.013350366614758968,0.03611156344413757,0.3696978292020363,-0.167870438491022,0.80384
baseline,0,80384,P10_parity_d3_2_3_33,atomic,0.02295028232038021,0.05041217803955078,0.4552527427384581,-0.07424451507760196,0.80384
baseline,0,80384,P11_parity_d3_5_21_34,atomic,0.03468266502022743,0.053379349410533905,0.6497393730455134,0.008102139268039063,0.80384
baseline,0,80384,P12_parity_d3_9_27_30,atomic,0.043549247086048126,0.041522301733493805,1.048815823470366,0.10175163010378623,0.80384
baseline,0,80384,P13_parity_d3_15_21_39,atomic,0.018819008022546768,0.028344828635454178,0.6639309153678817,0.08375141072617794,0.80384
baseline,0,80384,P14_parity_d3_3_23_24,atomic,0.015681548044085503,0.07994648069143295,0.19615057358703447,-0.1708876265332893,0.80384
baseline,0,80384,P15_parity_d5_7_24_30_32_33,atomic,0.023523956537246704,0.058579836040735245,0.401570883887197,-0.056175672593675806,0.80384
baseline,0,80384,P16_parity_d5_3_18_23_29_37,atomic,0.02531358227133751,0.037987496703863144,0.6663661590550892,0.08491177831704678,0.80384
baseline,0,80384,P17_parity_d5_1_7_16_18_37,atomic,0.01906082034111023,0.044523801654577255,0.4281040619253272,-0.1522697605660842,0.80384
baseline,0,80384,P18_parity_d5_0_17_30_32_34,atomic,0.030204692855477333,0.04498277232050896,0.6714724614924337,0.02770610120832143,0.80384
baseline,0,80384,P19_parity_d5_2_8_11_16_29,atomic,0.029707681387662888,0.03411014378070831,0.8709339244589681,0.2674926584748782,0.80384
baseline,0,80384,P20_parity_d3_4_7_35,atomic,0.051245078444480896,0.06893394887447357,0.7433939195483068,0.029494140245617435,0.80384
baseline,0,80384,P21_parity_d5_25_34_36_37_39,atomic,0.031486134976148605,0.05212767422199249,0.6040195624584511,-0.033075328570452645,0.80384
baseline,0,80384,P22_parity_d5_5_14_30_35_36,atomic,0.0387454591691494,0.07649531215429306,0.5065076287353698,-0.17547440419315294,0.80384
baseline,0,80384,P23_parity_d5_8_13_18_30_39,atomic,0.009771288372576237,0.06160542741417885,0.1586108364564111,-0.23885527380375235,0.80384
baseline,0,100352,P00_parity_d3_1_15_16,atomic,0.04118809849023819,0.1147863045334816,0.3588241529098566,-0.15747405693636307,1.00352
baseline,0,100352,P01_parity_d3_0_21_26,atomic,0.24865324795246124,0.20776240527629852,1.1968154085460558,0.5082993536254232,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,atomic,0.08242368698120117,0.1887025535106659,0.43679158255855616,-0.022498637865872546,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,atomic,0.1214984878897667,0.15902933478355408,0.7640004786184101,0.19229043976765092,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,atomic,0.08378399163484573,0.1698586493730545,0.49325714023747286,-0.0196580648533267,1.00352
baseline,0,100352,P05_parity_d3_16_18_28,atomic,0.05717747285962105,0.2586771547794342,0.22103796876903734,-0.24862810142414957,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,atomic,0.09754961729049683,0.1870022863149643,0.5216493296005711,-0.10210004036924016,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,atomic,0.07803431153297424,0.11440745741128922,0.6820736453548009,0.07553492132331262,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,atomic,0.08075479418039322,0.16361376643180847,0.4935696790132688,-0.03451157894026521,1.00352
baseline,0,100352,P09_parity_d5_1_3_14_16_32,atomic,0.10847664624452591,0.15997013449668884,0.6781056138081394,0.10252172384441766,1.00352
baseline,0,100352,P10_parity_d3_2_3_33,atomic,0.11399277299642563,0.11941763758659363,0.9545723336957757,0.2932852791286766,1.00352
baseline,0,100352,P11_parity_d3_5_21_34,atomic,0.07592235505580902,0.1536353975534439,0.49417228232773863,-0.15438600275849645,1.00352
baseline,0,100352,P12_parity_d3_9_27_30,atomic,0.07285752147436142,0.2404230535030365,0.30303883264313586,-0.058697513740959543,1.00352
baseline,0,100352,P13_parity_d3_15_21_39,atomic,0.072357177734375,0.10197538137435913,0.7095553530517029,0.1597508357968638,1.00352
baseline,0,100352,P14_parity_d3_3_23_24,atomic,0.214945986866951,0.15881744027137756,1.3534155096462388,0.4742771935571575,1.00352
baseline,0,100352,P15_parity_d5_7_24_30_32_33,atomic,0.08646152913570404,0.20159244537353516,0.42889270465998186,-0.08578556974869156,1.00352
baseline,0,100352,P16_parity_d5_3_18_23_29_37,atomic,0.06651634722948074,0.20375899970531464,0.32644618066123804,-0.09847260791894503,1.00352
baseline,0,100352,P17_parity_d5_1_7_16_18_37,atomic,0.06363961100578308,0.13967975974082947,0.45561082810715287,-0.08815179398788943,1.00352
baseline,0,100352,P18_parity_d5_0_17_30_32_34,atomic,0.17042411863803864,0.1663416475057602,1.0245426878503925,0.20138603303762714,1.00352
baseline,0,100352,P19_parity_d5_2_8_11_16_29,atomic,0.16703970730304718,0.09876452386379242,1.6912925893484057,0.652432735219261,1.00352
baseline,0,100352,P20_parity_d3_4_7_35,atomic,0.2922758162021637,0.17813698947429657,1.640736250584809,0.6075005820889077,1.00352
baseline,0,100352,P21_parity_d5_25_34_36_37_39,atomic,0.04579892382025719,0.1892411857843399,0.24201351111912725,-0.11438954317293298,1.00352
baseline,0,100352,P22_parity_d5_5_14_30_35_36,atomic,0.05421820282936096,0.1435183733701706,0.37777882758704745,-0.163191319912759,1.00352
baseline,0,100352,P23_parity_d5_8_13_18_30_39,atomic,0.1438388228416443,0.17028513550758362,0.8446939447300951,0.18928455751588488,1.00352
baseline,1,0,P00_parity_d3_1_15_16,atomic,0.11902644485235214,0.16482548415660858,0.7221361760936026,-0.03175946852593254,0.0
baseline,1,0,P01_parity_d3_0_21_26,atomic,0.05700819939374924,0.21911102533340454,0.2601795108518343,-0.23034689670821487,0.0
baseline,1,0,P02_parity_d5_14_17_22_28_39,atomic,0.05188899114727974,0.16521038115024567,0.3140782727192958,-0.09490632029590969,0.0
