condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,acquisition_rate,mean_acquired_at,median_acquired_at,std_acquired_at,mean_final_balanced_accuracy
baseline,P01_parity_d3_0_21_26,atomic,0.301018953463054,3.0,0.0,5,0.2,84480.0,84480.0,,0.7937429904937744
baseline,P00_parity_d3_1_15_16,atomic,0.0105718895532483,3.0,0.0,5,0.0,,,,0.4924437619745731
baseline,P02_parity_d5_14_17_22_28_39,atomic,0.0419399072899548,5.0,0.0,5,0.0,,,,0.4992521792650223
baseline,P03_parity_d3_25_33_36,atomic,0.0353985927711222,3.0,0.0,5,0.0,,,,0.49624706208705904
baseline,P04_parity_d5_5_14_22_28_32,atomic,0.0305629207873764,5.0,0.0,5,0.0,,,,0.49373882710933686
baseline,P05_parity_d3_16_18_28,atomic,0.0179166229417202,3.0,0.0,5,0.0,,,,0.5001727402210235
baseline,P06_parity_d3_14_20_35,atomic,0.0091277024789643,3.0,0.0,5,0.0,,,,0.5002839334309102
baseline,P07_parity_d3_9_12_28,atomic,0.0239107853922858,3.0,0.0,5,0.0,,,,0.5106444239616394
baseline,P08_parity_d5_12_14_28_35_38,atomic,0.1404303073294561,5.0,0.0,5,0.0,,,,0.5027401462197304
baseline,P09_parity_d5_1_3_14_16_32,atomic,0.0899001593092119,5.0,0.0,5,0.0,,,,0.49214740470051765
baseline,P10_parity_d3_2_3_33,atomic,0.0165140274547167,3.0,0.0,5,0.0,,,,0.49539809077978136
baseline,P11_parity_d3_5_21_34,atomic,0.0655130548750178,3.0,0.0,5,0.0,,,,0.498615987598896
baseline,P12_parity_d3_9_27_30,atomic,0.0215308853237878,3.0,0.0,5,0.0,,,,0.5024848833680153
baseline,P13_parity_d3_15_21_39,atomic,0.0118022519206767,3.0,0.0,5,0.0,,,,0.5013247452676296
baseline,P14_parity_d3_3_23_24,atomic,0.0133382860819645,3.0,0.0,5,0.0,,,,0.4908763557672501
baseline,P15_parity_d5_7_24_30_32_33,atomic,0.0268489360913735,5.0,0.0,5,0.0,,,,0.4989797703921795
baseline,P16_parity_d5_3_18_23_29_37,atomic,0.0095651816474639,5.0,0.0,5,0.0,,,,0.4996235728263855
baseline,P17_parity_d5_1_7_16_18_37,atomic,0.0512538905037048,5.0,0.0,5,0.0,,,,0.4929636061191559
baseline,P18_parity_d5_0_17_30_32_34,atomic,0.0153071189321821,5.0,0.0,5,0.0,,,,0.5031157821416855
baseline,P19_parity_d5_2_8_11_16_29,atomic,0.0111547758122795,5.0,0.0,5,0.0,,,,0.5068836018443108
baseline,P20_parity_d3_4_7_35,atomic,0.0125254715804574,3.0,0.0,5,0.0,,,,0.5006096228957176
baseline,P21_parity_d5_25_34_36_37_39,atomic,0.0100445131720448,5.0,0.0,5,0.0,,,,0.4903611823916435
baseline,P22_parity_d5_5_14_30_35_36,atomic,0.0195656585817614,5.0,0.0,5,0.0,,,,0.5015360742807389
baseline,P23_parity_d5_8_13_18_30_39,atomic,0.0142581067061741,5.0,0.0,5,0.0,,,,0.5005023807287217
