condition,seed,data_seen,task_i,task_j,linear_cka,checkpoint_fraction
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P14_parity_d3_3_23_24,0.996737539768219,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P15_parity_d5_7_24_30_32_33,0.9953687787055969,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P16_parity_d5_3_18_23_29_37,0.9967299699783325,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P17_parity_d5_1_7_16_18_37,0.9945661425590515,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P18_parity_d5_0_17_30_32_34,0.9964459538459778,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P19_parity_d5_2_8_11_16_29,0.9962343573570251,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P20_parity_d3_4_7_35,0.9887064695358276,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P21_parity_d5_25_34_36_37_39,0.9967800378799438,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P22_parity_d5_5_14_30_35_36,0.9966245889663696,1.00352
baseline,0,100352,P02_parity_d5_14_17_22_28_39,P23_parity_d5_8_13_18_30_39,0.9979286193847656,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P00_parity_d3_1_15_16,0.9949329495429993,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P01_parity_d3_0_21_26,0.96574467420578,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P02_parity_d5_14_17_22_28_39,0.9949776530265808,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P03_parity_d3_25_33_36,1.0,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P04_parity_d5_5_14_22_28_32,0.9943842887878418,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P05_parity_d3_16_18_28,0.9943937063217163,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P06_parity_d3_14_20_35,0.9947100877761841,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P07_parity_d3_9_12_28,0.9933908581733704,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P08_parity_d5_12_14_28_35_38,0.9949967265129089,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P09_parity_d5_1_3_14_16_32,0.9941302537918091,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P10_parity_d3_2_3_33,0.9942319989204407,1.00352
