condition,seed,data_seen,task_i,task_j,grad_cosine_mean,checkpoint_fraction
baseline,0,0,P00_parity_d3_1_15_16,P00_parity_d3_1_15_16,1.0000054161016605,0.0
baseline,0,0,P00_parity_d3_1_15_16,P01_parity_d3_0_21_26,-0.36634232415055457,0.0
baseline,0,0,P00_parity_d3_1_15_16,P02_parity_d5_14_17_22_28_39,0.26236023808765147,0.0
baseline,0,0,P00_parity_d3_1_15_16,P03_parity_d3_25_33_36,0.17059571663728806,0.0
baseline,0,0,P00_parity_d3_1_15_16,P04_parity_d5_5_14_22_28_32,-0.04772260974314295,0.0
baseline,0,0,P00_parity_d3_1_15_16,P05_parity_d3_16_18_28,-0.0503713035832868,0.0
baseline,0,0,P00_parity_d3_1_15_16,P06_parity_d3_14_20_35,0.14599590112803776,0.0
baseline,0,0,P00_parity_d3_1_15_16,P07_parity_d3_9_12_28,0.17837454751080375,0.0
baseline,0,0,P00_parity_d3_1_15_16,P08_parity_d5_12_14_28_35_38,-0.17737144173011204,0.0
baseline,0,0,P00_parity_d3_1_15_16,P09_parity_d5_1_3_14_16_32,0.6019504140212849,0.0
baseline,0,0,P00_parity_d3_1_15_16,P10_parity_d3_2_3_33,0.11312419176815226,0.0
baseline,0,0,P00_parity_d3_1_15_16,P11_parity_d3_5_21_34,0.715078571519253,0.0
baseline,0,0,P00_parity_d3_1_15_16,P12_parity_d3_9_27_30,0.5106368331814,0.0
baseline,0,0,P00_parity_d3_1_15_16,P13_parity_d3_15_21_39,0.4715822295058069,0.0
baseline,0,0,P00_parity_d3_1_15_16,P14_parity_d3_3_23_24,0.2452851774430012,0.0
baseline,0,0,P00_parity_d3_1_15_16,P15_parity_d5_7_24_30_32_33,0.3271827536250919,0.0
baseline,0,0,P00_parity_d3_1_15_16,P16_parity_d5_3_18_23_29_37,-0.6122338715077472,0.0
baseline,0,0,P00_parity_d3_1_15_16,P17_parity_d5_1_7_16_18_37,0.6260488164437878,0.0
baseline,0,0,P00_parity_d3_1_15_16,P18_parity_d5_0_17_30_32_34,-0.4079611549840365,0.0
baseline,0,0,P00_parity_d3_1_15_16,P19_parity_d5_2_8_11_16_29,-0.19905707330379896,0.0
baseline,0,0,P00_parity_d3_1_15_16,P20_parity_d3_4_7_35,0.36307884338593194,0.0
baseline,0,0,P00_parity_d3_1_15_16,P21_parity_d5_25_34_36_37_39,-0.2098639829546187,0.0
baseline,0,0,P00_parity_d3_1_15_16,P22_parity_d5_5_14_30_35_36,0.7521895455351557,0.0
baseline,0,0,P00_parity_d3_1_15_16,P23_parity_d5_8_13_18_30_39,0.7740221817444302,0.0
baseline,0,0,P01_parity_d3_0_21_26,P00_parity_d3_1_15_16,-0.36634232415055457,0.0
baseline,0,0,P01_parity_d3_0_21_26,P01_parity_d3_0_21_26,1.0000071899506202,0.0
baseline,0,0,P01_parity_d3_0_21_26,P02_parity_d5_14_17_22_28_39,-0.06365166452028023,0.0
baseline,0,0,P01_parity_d3_0_21_26,P03_parity_d3_25_33_36,-0.04466910058995819,0.0
baseline,0,0,P01_parity_d3_0_21_26,P04_parity_d5_5_14_22_28_32,0.09262768088040665,0.0
baseline,0,0,P01_parity_d3_0_21_26,P05_parity_d3_16_18_28,0.051380363998144496,0.0
baseline,0,0,P01_parity_d3_0_21_26,P06_parity_d3_14_20_35,-0.15900225970990609,0.0
baseline,0,0,P01_parity_d3_0_21_26,P07_parity_d3_9_12_28,-0.030923279311623916,0.0
baseline,0,0,P01_parity_d3_0_21_26,P08_parity_d5_12_14_28_35_38,0.13602076410527855,0.0
baseline,0,0,P01_parity_d3_0_21_26,P09_parity_d5_1_3_14_16_32,-0.24255798492042577,0.0
baseline,0,0,P01_parity_d3_0_21_26,P10_parity_d3_2_3_33,-0.06523257665410748,0.0
baseline,0,0,P01_parity_d3_0_21_26,P11_parity_d3_5_21_34,-0.3516174829068172,0.0
baseline,0,0,P01_parity_d3_0_21_26,P12_parity_d3_9_27_30,-0.17838856901597042,0.0
baseline,0,0,P01_parity_d3_0_21_26,P13_parity_d3_15_21_39,-0.10011763207953103,0.0
baseline,0,0,P01_parity_d3_0_21_26,P14_parity_d3_3_23_24,-0.06256301790439188,0.0
baseline,0,0,P01_parity_d3_0_21_26,P15_parity_d5_7_24_30_32_33,-0.16856308247557694,0.0
baseline,0,0,P01_parity_d3_0_21_26,P16_parity_d5_3_18_23_29_37,0.27087041536431655,0.0
baseline,0,0,P01_parity_d3_0_21_26,P17_parity_d5_1_7_16_18_37,-0.27608585920196427,0.0
baseline,0,0,P01_parity_d3_0_21_26,P18_parity_d5_0_17_30_32_34,0.04312091790849054,0.0
baseline,0,0,P01_parity_d3_0_21_26,P19_parity_d5_2_8_11_16_29,0.1402100092071679,0.0
baseline,0,0,P01_parity_d3_0_21_26,P20_parity_d3_4_7_35,-0.08401576510972845,0.0
baseline,0,0,P01_parity_d3_0_21_26,P21_parity_d5_25_34_36_37_39,0.08905860691364353,0.0
baseline,0,0,P01_parity_d3_0_21_26,P22_parity_d5_5_14_30_35_36,-0.3264639075093791,0.0
baseline,0,0,P01_parity_d3_0_21_26,P23_parity_d5_8_13_18_30_39,-0.31928249045473883,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P00_parity_d3_1_15_16,0.26236023808765147,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P01_parity_d3_0_21_26,-0.06365166452028023,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P02_parity_d5_14_17_22_28_39,1.0000075653013671,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P03_parity_d3_25_33_36,0.13348900626492277,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P04_parity_d5_5_14_22_28_32,-0.14435280588833962,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P05_parity_d3_16_18_28,0.07315617872458686,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P06_parity_d3_14_20_35,0.06958319178129153,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P07_parity_d3_9_12_28,0.2633678481356759,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P08_parity_d5_12_14_28_35_38,-0.1308105410143707,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P09_parity_d5_1_3_14_16_32,0.1677496794896965,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P10_parity_d3_2_3_33,-0.0012120184899787534,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P11_parity_d3_5_21_34,0.20299327953308982,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P12_parity_d3_9_27_30,0.2393530286477015,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P13_parity_d3_15_21_39,0.27146749956852534,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P14_parity_d3_3_23_24,-0.04877210999983782,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P15_parity_d5_7_24_30_32_33,-0.1111533628289017,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P16_parity_d5_3_18_23_29_37,-0.22812290231210638,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P17_parity_d5_1_7_16_18_37,0.27560306115809924,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P18_parity_d5_0_17_30_32_34,-0.10364035875545423,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P19_parity_d5_2_8_11_16_29,-0.005940615891446775,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P20_parity_d3_4_7_35,0.1697626917097102,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P21_parity_d5_25_34_36_37_39,-0.1301694517802212,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P22_parity_d5_5_14_30_35_36,0.20765274417849802,0.0
baseline,0,0,P02_parity_d5_14_17_22_28_39,P23_parity_d5_8_13_18_30_39,0.24534959181707486,0.0
baseline,0,0,P03_parity_d3_25_33_36,P00_parity_d3_1_15_16,0.17059571663728806,0.0
baseline,0,0,P03_parity_d3_25_33_36,P01_parity_d3_0_21_26,-0.04466910058995819,0.0
baseline,0,0,P03_parity_d3_25_33_36,P02_parity_d5_14_17_22_28_39,0.13348900626492277,0.0
baseline,0,0,P03_parity_d3_25_33_36,P03_parity_d3_25_33_36,1.0000069572481163,0.0
baseline,0,0,P03_parity_d3_25_33_36,P04_parity_d5_5_14_22_28_32,-0.008291395674406512,0.0
baseline,0,0,P03_parity_d3_25_33_36,P05_parity_d3_16_18_28,0.03351031028513901,0.0
baseline,0,0,P03_parity_d3_25_33_36,P06_parity_d3_14_20_35,0.23836501636808533,0.0
baseline,0,0,P03_parity_d3_25_33_36,P07_parity_d3_9_12_28,0.10911761623797565,0.0
baseline,0,0,P03_parity_d3_25_33_36,P08_parity_d5_12_14_28_35_38,-0.12736853601431933,0.0
baseline,0,0,P03_parity_d3_25_33_36,P09_parity_d5_1_3_14_16_32,0.07249287824559644,0.0
baseline,0,0,P03_parity_d3_25_33_36,P10_parity_d3_2_3_33,0.10080983573076659,0.0
baseline,0,0,P03_parity_d3_25_33_36,P11_parity_d3_5_21_34,0.1416822069311956,0.0
baseline,0,0,P03_parity_d3_25_33_36,P12_parity_d3_9_27_30,0.26116754482665455,0.0
baseline,0,0,P03_parity_d3_25_33_36,P13_parity_d3_15_21_39,0.21212858784883187,0.0
baseline,0,0,P03_parity_d3_25_33_36,P14_parity_d3_3_23_24,-0.03915547099308946,0.0
baseline,0,0,P03_parity_d3_25_33_36,P15_parity_d5_7_24_30_32_33,0.07574386269298203,0.0
baseline,0,0,P03_parity_d3_25_33_36,P16_parity_d5_3_18_23_29_37,-0.21852188932257838,0.0
baseline,0,0,P03_parity_d3_25_33_36,P17_parity_d5_1_7_16_18_37,0.2800119136466562,0.0
baseline,0,0,P03_parity_d3_25_33_36,P18_parity_d5_0_17_30_32_34,-0.09554156614256391,0.0
baseline,0,0,P03_parity_d3_25_33_36,P19_parity_d5_2_8_11_16_29,-0.03805975560223868,0.0
baseline,0,0,P03_parity_d3_25_33_36,P20_parity_d3_4_7_35,0.0738812781029155,0.0
baseline,0,0,P03_parity_d3_25_33_36,P21_parity_d5_25_34_36_37_39,0.16895933096539195,0.0
baseline,0,0,P03_parity_d3_25_33_36,P22_parity_d5_5_14_30_35_36,0.22010614386773303,0.0
baseline,0,0,P03_parity_d3_25_33_36,P23_parity_d5_8_13_18_30_39,0.18770731016654774,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P00_parity_d3_1_15_16,-0.04772260974314295,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P01_parity_d3_0_21_26,0.09262768088040665,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P02_parity_d5_14_17_22_28_39,-0.14435280588833962,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P03_parity_d3_25_33_36,-0.008291395674406512,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P04_parity_d5_5_14_22_28_32,1.0000079874026238,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P05_parity_d3_16_18_28,-0.035039985410477495,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P06_parity_d3_14_20_35,0.01402110514801135,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P07_parity_d3_9_12_28,-0.12057528312988698,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P08_parity_d5_12_14_28_35_38,-0.009185153992285066,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P09_parity_d5_1_3_14_16_32,-0.16984349495925527,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P10_parity_d3_2_3_33,-0.006403018554803896,0.0
baseline,0,0,P04_parity_d5_5_14_22_28_32,P11_parity_d3_5_21_34,-0.15197444437186183,0.0
