model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
EleutherAI/pythia-2.8b,accuracy,all,29,0.2974137931034483,0.0,0.2974137931034483,-0.21124125742191827,,-0.21124125742191827,0.12302499060049492,,0.12302499060049492,-0.31999439881473285,,-0.31999439881473285,0.2477528220493403,,0.2477528220493403,,,
EleutherAI/pythia-2.8b,accuracy,atomic,16,0.26953125,0.0,0.26953125,0.1346007993756795,,0.1346007993756795,-0.18415728968772074,,-0.18415728968772074,-0.2129450786771583,,-0.2129450786771583,,,,,,
EleutherAI/pythia-2.8b,accuracy,composite,10,0.325,0.0,0.325,0.1799318730164366,,0.1799318730164366,-0.14101901870444153,,-0.14101901870444153,,,,,,,,,
EleutherAI/pythia-2.8b,accuracy,true_atomic_composite,26,0.29086538461538464,0.0,0.29086538461538464,-0.2091260406169392,,-0.2091260406169392,0.20028358827527268,,0.20028358827527268,-0.3375507471778246,,-0.3375507471778246,0.29685892961920074,,0.29685892961920074,,,
EleutherAI/pythia-2.8b,mean_correct_margin,all,29,-0.1948094861260776,0.0,-0.1948094861260776,-0.48731655058123147,,-0.48731655058123147,0.34286863109544735,,0.34286863109544735,-0.523205650884422,,-0.523205650884422,0.44222608445730116,,0.44222608445730116,,,
EleutherAI/pythia-2.8b,mean_correct_margin,atomic,16,-0.25435638427734375,0.0,-0.25435638427734375,-0.2526499993480513,,-0.2526499993480513,0.05193084110465829,,0.05193084110465829,-0.15125525200965487,,-0.15125525200965487,,,,,,
EleutherAI/pythia-2.8b,mean_correct_margin,composite,10,-0.12520751953125,0.0,-0.12520751953125,0.5107414652298363,,0.5107414652298363,-0.2258396376029523,,-0.2258396376029523,,,,,,,,,
EleutherAI/pythia-2.8b,mean_correct_margin,true_atomic_composite,26,-0.2046837439903846,0.0,-0.2046837439903846,-0.46970925116158896,,-0.46970925116158896,0.43956481981205336,,0.43956481981205336,-0.5029394154710908,,-0.5029394154710908,0.5375872022286243,,0.5375872022286243,,,
EleutherAI/pythia-2.8b,mean_correct_mrr,all,29,0.5578304597701148,0.0,0.5578304597701148,-0.19025949807274842,,-0.19025949807274842,0.09083094953894706,,0.09083094953894706,-0.2844007309114819,,-0.2844007309114819,0.25608143258157656,,0.25608143258157656,,,
EleutherAI/pythia-2.8b,mean_correct_mrr,atomic,16,0.5364583333333333,0.0,0.5364583333333333,0.12118174024160361,,0.12118174024160361,-0.1848613980095163,,-0.1848613980095163,-0.10855583865196054,,-0.10855583865196054,,,,,,
EleutherAI/pythia-2.8b,mean_correct_mrr,composite,10,0.5802083333333333,0.0,0.5802083333333333,0.2464209749354574,,0.2464209749354574,-0.2674278578796499,,-0.2674278578796499,,,,,,,,,
EleutherAI/pythia-2.8b,mean_correct_mrr,true_atomic_composite,26,0.5532852564102563,0.0,0.5532852564102563,-0.17204243497806918,,-0.17204243497806918,0.1476714083234809,,0.1476714083234809,-0.29426642508579287,,-0.29426642508579287,0.2954997161557269,,0.2954997161557269,,,
EleutherAI/pythia-2.8b,mean_logprob_correct,all,29,-1.9534259664601292,0.0,-1.9534259664601292,0.19314375480353685,,0.19314375480353685,-0.2703339676218257,,-0.2703339676218257,0.17180274974396567,,0.17180274974396567,-0.4508971841525423,,-0.4508971841525423,,,
EleutherAI/pythia-2.8b,mean_logprob_correct,atomic,16,-1.9299736022949219,0.0,-1.9299736022949219,-0.45447100474442376,,-0.45447100474442376,0.4124792522027143,,0.4124792522027143,0.015278308283803521,,0.015278308283803521,,,,,,
EleutherAI/pythia-2.8b,mean_logprob_correct,composite,10,-2.0429931640625,0.0,-2.0429931640625,0.5559970380983029,,0.5559970380983029,-0.46422592173940186,,-0.46422592173940186,,,,,,,,,
EleutherAI/pythia-2.8b,mean_logprob_correct,true_atomic_composite,26,-1.9734426645132213,0.0,-1.9734426645132213,0.22865611640124273,,0.22865611640124273,-0.22836766029298083,,-0.22836766029298083,0.3416862413016874,,0.3416862413016874,-0.4005551702879947,,-0.4005551702879947,,,
EleutherAI/pythia-2.8b,mean_logprob_margin,all,29,0.19614384092133622,0.0,0.19614384092133622,0.251334501443064,,0.251334501443064,-0.178242176453951,,-0.178242176453951,0.2440586717240299,,0.2440586717240299,-0.26880409055247717,,-0.26880409055247717,,,
EleutherAI/pythia-2.8b,mean_logprob_margin,atomic,16,0.21870803833007812,0.0,0.21870803833007812,-0.011959763282747993,,-0.011959763282747993,0.16766242985218247,,0.16766242985218247,-0.05805757147845338,,-0.05805757147845338,,,,,,
EleutherAI/pythia-2.8b,mean_logprob_margin,composite,10,0.160198974609375,0.0,0.160198974609375,-0.051720654706818865,,-0.051720654706818865,-0.05645990940073808,,-0.05645990940073808,,,,,,,,,
EleutherAI/pythia-2.8b,mean_logprob_margin,true_atomic_composite,26,0.19620455228365385,0.0,0.19620455228365385,0.25654940770922563,,0.25654940770922563,-0.19608711883803315,,-0.19608711883803315,0.28485692881907826,,0.28485692881907826,-0.3162277660168379,,-0.3162277660168379,,,
