component,composite,unrelated_control,same_operation_control,different_operation_control,fake_component_control,surface_control,source_mean_residual_log_time,source_positive_rate
A04_reverse,C07_substitute_then_reverse_04_03,A07_reverse,A07_reverse,U02_unrelated_substitute,K00_shortcut_for_A00_copy,S02_surface_rotate,0.9522928421562804,1.0
A03_copy,C07_substitute_then_reverse_04_03,A06_copy,A06_copy,U01_unrelated_substitute,K02_shortcut_for_A04_reverse,S01_surface_rotate,0.9522928421562804,1.0
