composite,mean_residual_log_time,max_residual_log_time,positive_rate,n_candidate_components,mean_final_metric,max_final_metric,min_final_metric,acq_rate_t0p3,acq_rate_t0p4,acq_rate_t0p5,acq_rate_t0p6,acq_rate_t0p7,kind,op,frequency,reference_learnability,formal_utility,components,residual_pass,final_pass,acq_pass,h3_ready,h3_readiness_score
C03_reverse_then_substitute_07_02,-1.3216036072467272,-1.2497283379422923,,2,0.7392252802848815,0.8326823115348816,0.2770182490348816,0.9666666666666667,0.9333333333333333,0.9,0.8333333333333334,0.7666666666666667,composite,reverse_then_substitute,0.0206098816944667,3.0,0.0,"A07_reverse,A02_substitute",False,True,True,False,2.2287325859069824
C06_reverse_then_substitute_05_07,-1.3299817753560577,-1.2497283379422923,,2,0.741948805252711,0.8333333730697632,0.2698567807674408,0.9666666666666667,0.9333333333333333,0.9,0.8333333333333334,0.7666666666666667,composite,reverse_then_substitute,0.1352490775505666,3.0,0.0,"A05_substitute,A07_reverse",False,True,True,False,2.221469852659437
