task_name,kind,op,bits,components,frequency,reference_learnability,formal_utility,description,backend,structure_id,operation
P00_parity_d2_16_39,atomic,parity_bits,"16,39",,0.021530885323787836,2.0,0.0,Sparse parity task 0: parity over 2 bits.,B0_boolean,P00_parity_d2_16_39,parity_bits
P01_parity_d2_0_4,atomic,parity_bits,"0,4",,0.009127702478964342,2.0,0.0,Sparse parity task 1: parity over 2 bits.,B0_boolean,P01_parity_d2_0_4,parity_bits
P02_parity_d3_20_25_39,atomic,parity_bits,"20,25,39",,0.012525471580457418,3.0,0.0,Sparse parity task 2: parity over 3 bits.,B0_boolean,P02_parity_d3_20_25_39,parity_bits
P03_parity_d2_15_29,atomic,parity_bits,"15,29",,0.02391078539228583,2.0,0.0,Sparse parity task 3: parity over 2 bits.,B0_boolean,P03_parity_d2_15_29,parity_bits
P04_parity_d3_31_37_39,atomic,parity_bits,"31,37,39",,0.011802251920676793,3.0,0.0,Sparse parity task 4: parity over 3 bits.,B0_boolean,P04_parity_d3_31_37_39,parity_bits
P05_parity_d2_26_37,atomic,parity_bits,"26,37",,0.0512538905037048,2.0,0.0,Sparse parity task 5: parity over 2 bits.,B0_boolean,P05_parity_d2_26_37,parity_bits
P06_parity_d2_26_28,atomic,parity_bits,"26,28",,0.009565181647463906,2.0,0.0,Sparse parity task 6: parity over 2 bits.,B0_boolean,P06_parity_d2_26_28,parity_bits
P07_parity_d2_5_34,atomic,parity_bits,"5,34",,0.016514027454716713,2.0,0.0,Sparse parity task 7: parity over 2 bits.,B0_boolean,P07_parity_d2_5_34,parity_bits
P08_parity_d3_21_27_32,atomic,parity_bits,"21,27,32",,0.01530711893218214,3.0,0.0,Sparse parity task 8: parity over 3 bits.,B0_boolean,P08_parity_d3_21_27_32,parity_bits
P09_parity_d3_16_18_28,atomic,parity_bits,"16,18,28",,0.08990015930921198,3.0,0.0,Sparse parity task 9: parity over 3 bits.,B0_boolean,P09_parity_d3_16_18_28,parity_bits
P10_parity_d2_21_36,atomic,parity_bits,"21,36",,0.010044513172044852,2.0,0.0,Sparse parity task 10: parity over 2 bits.,B0_boolean,P10_parity_d2_21_36,parity_bits
P11_parity_d2_22_26,atomic,parity_bits,"22,26",,0.14043030732945613,2.0,0.0,Sparse parity task 11: parity over 2 bits.,B0_boolean,P11_parity_d2_22_26,parity_bits
P12_parity_d2_12_28,atomic,parity_bits,"12,28",,0.301018953463054,2.0,0.0,Sparse parity task 12: parity over 2 bits.,B0_boolean,P12_parity_d2_12_28,parity_bits
P13_parity_d2_13_19,atomic,parity_bits,"13,19",,0.01956565858176144,2.0,0.0,Sparse parity task 13: parity over 2 bits.,B0_boolean,P13_parity_d2_13_19,parity_bits
P14_parity_d2_13_15,atomic,parity_bits,"13,15",,0.06551305487501785,2.0,0.0,Sparse parity task 14: parity over 2 bits.,B0_boolean,P14_parity_d2_13_15,parity_bits
P15_parity_d3_8_10_28,atomic,parity_bits,"8,10,28",,0.01115477581227952,3.0,0.0,Sparse parity task 15: parity over 3 bits.,B0_boolean,P15_parity_d3_8_10_28,parity_bits
P16_parity_d3_3_14_33,atomic,parity_bits,"3,14,33",,0.013338286081964522,3.0,0.0,Sparse parity task 16: parity over 3 bits.,B0_boolean,P16_parity_d3_3_14_33,parity_bits
P17_parity_d3_9_12_31,atomic,parity_bits,"9,12,31",,0.0419399072899548,3.0,0.0,Sparse parity task 17: parity over 3 bits.,B0_boolean,P17_parity_d3_9_12_31,parity_bits
P18_parity_d3_2_13_26,atomic,parity_bits,"2,13,26",,0.014258106706174169,3.0,0.0,Sparse parity task 18: parity over 3 bits.,B0_boolean,P18_parity_d3_2_13_26,parity_bits
P19_parity_d3_17_32_35,atomic,parity_bits,"17,32,35",,0.030562920787376463,3.0,0.0,Sparse parity task 19: parity over 3 bits.,B0_boolean,P19_parity_d3_17_32_35,parity_bits
P20_parity_d2_8_30,atomic,parity_bits,"8,30",,0.01791662294172023,2.0,0.0,Sparse parity task 20: parity over 2 bits.,B0_boolean,P20_parity_d2_8_30,parity_bits
P21_parity_d3_15_21_39,atomic,parity_bits,"15,21,39",,0.02684893609137357,3.0,0.0,Sparse parity task 21: parity over 3 bits.,B0_boolean,P21_parity_d3_15_21_39,parity_bits
P22_parity_d3_3_23_24,atomic,parity_bits,"3,23,24",,0.010571889553248351,3.0,0.0,Sparse parity task 22: parity over 3 bits.,B0_boolean,P22_parity_d3_3_23_24,parity_bits
P23_parity_d3_26_34_35,atomic,parity_bits,"26,34,35",,0.03539859277112228,3.0,0.0,Sparse parity task 23: parity over 3 bits.,B0_boolean,P23_parity_d3_26_34_35,parity_bits
