condition,seed,task_name,kind,auc_balanced_accuracy
baseline,0,P00_parity_d2_16_39,atomic,0.5010231999848952
baseline,0,P01_parity_d2_0_4,atomic,0.5015352237531592
baseline,0,P02_parity_d3_20_25_39,atomic,0.5020503629512508
baseline,0,P03_parity_d2_15_29,atomic,0.5053141475678945
baseline,0,P04_parity_d3_31_37_39,atomic,0.5022436190024685
baseline,0,P05_parity_d2_26_37,atomic,0.8414346533134706
baseline,0,P06_parity_d2_26_28,atomic,0.7578321349936117
baseline,0,P07_parity_d2_5_34,atomic,0.503248586932829
baseline,0,P08_parity_d3_21_27_32,atomic,0.5017316499615473
baseline,0,P09_parity_d3_16_18_28,atomic,0.5010555154635145
baseline,0,P10_parity_d2_21_36,atomic,0.5018714681938614
baseline,0,P11_parity_d2_22_26,atomic,0.913849299344099
baseline,0,P12_parity_d2_12_28,atomic,0.9696946638890548
baseline,0,P13_parity_d2_13_19,atomic,0.5044052326734652
baseline,0,P14_parity_d2_13_15,atomic,0.5543733504562137
baseline,0,P15_parity_d3_8_10_28,atomic,0.49934753132407916
baseline,0,P16_parity_d3_3_14_33,atomic,0.5010061357454835
baseline,0,P17_parity_d3_9_12_31,atomic,0.5000022466928681
baseline,0,P18_parity_d3_2_13_26,atomic,0.49875145415744054
baseline,0,P19_parity_d3_17_32_35,atomic,0.5007393459390334
baseline,0,P20_parity_d2_8_30,atomic,0.5010035429995008
baseline,0,P21_parity_d3_15_21_39,atomic,0.4998468977224726
baseline,0,P22_parity_d3_3_23_24,atomic,0.4996387780093348
baseline,0,P23_parity_d3_26_34_35,atomic,0.4991952389264898
baseline,1,P00_parity_d2_16_39,atomic,0.5130470098790371
baseline,1,P01_parity_d2_0_4,atomic,0.5019911652914646
baseline,1,P02_parity_d3_20_25_39,atomic,0.5000073625157985
baseline,1,P03_parity_d2_15_29,atomic,0.6736444344216527
baseline,1,P04_parity_d3_31_37_39,atomic,0.500225608513961
baseline,1,P05_parity_d2_26_37,atomic,0.8333342531781667
baseline,1,P06_parity_d2_26_28,atomic,0.7414258014958767
baseline,1,P07_parity_d2_5_34,atomic,0.5037565593008864
baseline,1,P08_parity_d3_21_27_32,atomic,0.501340865812232
baseline,1,P09_parity_d3_16_18_28,atomic,0.6797423666905648
baseline,1,P10_parity_d2_21_36,atomic,0.5008021381053719
