pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,data_seen,checkpoint_fraction,probe_stage,param_subset,gradient_cosine,gradient_inner_product,first_order_transfer_score,source_gradient_norm,target_gradient_norm,source_gradient_snr,target_gradient_snr,source_within_gradient_alignment,target_within_gradient_alignment,linear_cka
P005_U02_unrelated_substitute__to__S00_surface_rotate,5,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,0.5,source_x0.5,2,0,0.0,init,last_block_ln_head,0.5366528053033398,0.2479851245880127,0.24798512458801272,0.6744851469993591,0.6851092576980591,0.7877337478290053,0.8162661265159088,0.2543080747127533,0.26582029461860657,0.814678966999054
P005_U02_unrelated_substitute__to__S00_surface_rotate,5,unrelated_matched,U02_unrelated_substitute,S00_surface_rotate,K00_shortcut_for_A00_copy,0.5,source_x0.5,2,6144,0.0512,early,last_block_ln_head,0.19933939884857646,0.05186404287815094,0.05186404287815094,0.5527157783508301,0.47072944045066833,0.5534382951189034,0.3992690377773027,0.14051032066345215,0.044920336455106735,0.8098677396774292
