pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,data_seen,checkpoint_fraction,probe_stage,param_subset,gradient_cosine,gradient_inner_product,first_order_transfer_score,source_gradient_norm,target_gradient_norm,source_gradient_snr,target_gradient_snr,source_within_gradient_alignment,target_within_gradient_alignment,linear_cka
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,6,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,2.0,source_x2,1,0,0.0,init,last_block_ln_head,0.5573281981374377,0.25374311208724976,0.25374311208724976,0.6860600709915161,0.6636224985122681,0.7831937292121812,0.7652591023877644,0.25274088978767395,0.24392032623291016,0.8320048451423645
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,6,component_to_composite,A01_reverse,C00_reverse_then_substitute_01_06,U03_unrelated_substitute,2.0,source_x2,1,6144,0.0512,early,last_block_ln_head,0.20487481473554572,0.03869996964931488,0.03869996964931488,0.4301265776157379,0.4391630291938782,0.3517147939935538,0.3334370206905013,0.011796727776527405,0.003249742090702057,0.8403198719024658
