pair_id,pair_index,pair_type,source_task,target_task,filler_task,source_multiplier,condition,seed,data_seen,checkpoint_fraction,probe_stage,param_subset,gradient_cosine,gradient_inner_product,first_order_transfer_score,source_gradient_norm,target_gradient_norm,source_gradient_snr,target_gradient_snr,source_within_gradient_alignment,target_within_gradient_alignment,linear_cka
P004_A00_copy__to__A06_copy,4,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,0.0,source_x0,2,0,0.0,init,last_block_ln_head,0.6129913069784018,0.28661710023880005,0.28661710023880005,0.6735624074935913,0.6941765546798706,0.742522754680879,0.8184334501696986,0.23590032756328583,0.2672072649002075,0.8087823987007141
P004_A00_copy__to__A06_copy,4,same_operation_reverse,A00_copy,A06_copy,U01_unrelated_substitute,0.0,source_x0,2,6144,0.0512,early,last_block_ln_head,0.00410010375138448,0.00095062714535743,0.00095062714535743,0.4847477078437805,0.4782991409301758,0.3954017494995251,0.4628537999580193,0.04190663993358612,0.09376189112663269,0.8095957040786743
