condition,seed,n_tasks,total_samples,mae_frequency,max_abs_frequency_error,spearman_intended_realized
baseline,0,25,250112,0.00022308129241236597,0.0008093748627975017,1.0
baseline,1,25,250112,0.0002086649770985169,0.0006773656774858305,1.0
baseline,2,25,250112,0.00026219445806839505,0.0006499713500991294,1.0
baseline,3,25,250112,0.0002616757715161854,0.0009208788174126514,0.9992307692307693
baseline,4,25,250112,0.00039379924684109863,0.0014050396795329267,1.0
baseline,5,25,250112,0.00022418900563949185,0.0006335114355628165,0.9992307692307693
baseline,6,25,250112,0.00022076557287982663,0.0006058249351888478,0.9992307692307693
baseline,7,25,250112,0.00029882869844183383,0.0006683039279504338,1.0
baseline,8,25,250112,0.0002704181005260136,0.0017415506480003562,0.9992307692307693
baseline,9,25,250112,0.00022050570382314074,0.0005609901938692947,0.9992307692307693
corrupt_component,0,25,250112,0.00025028389954724254,0.0012567283568190035,1.0
corrupt_component,1,25,250112,0.00028762954678355004,0.0014976599110504973,1.0
corrupt_component,2,25,250112,0.00027451166971244404,0.0010531973049167365,0.9992307692307693
corrupt_component,3,25,250112,0.00026199156848075264,0.0006972153370867623,0.9992307692307693
corrupt_component,4,25,250112,0.00032388553759870947,0.0007595789333849218,1.0
corrupt_component,5,25,250112,0.0002412933333210409,0.00046932874872678346,1.0
corrupt_component,6,25,250112,0.00023519774856236824,0.0012421521447162909,1.0
corrupt_component,7,25,250112,0.00040839540006985966,0.0015140303432833457,1.0
corrupt_component,8,25,250112,0.0002608979818018655,0.0013326943240656863,1.0
corrupt_component,9,25,250112,0.00029965209136670004,0.0008956795108320675,0.9992307692307693
corrupt_different_operation_matched,0,25,250112,0.00030499469042374265,0.0011851381953978113,1.0
corrupt_different_operation_matched,1,25,250112,0.00026545520719312225,0.000932873443820037,1.0
corrupt_different_operation_matched,2,25,250112,0.00032597881709795217,0.0018138960034675966,0.9992307692307693
corrupt_different_operation_matched,3,25,250112,0.00032094891523451273,0.0010092853029203264,1.0
corrupt_different_operation_matched,4,25,250112,0.0002800755303233055,0.0014472708474074364,1.0
corrupt_different_operation_matched,5,25,250112,0.0002683100006928201,0.00170852595149662,1.0
corrupt_different_operation_matched,6,25,250112,0.0002450675434098848,0.0006689916628578874,1.0
corrupt_different_operation_matched,7,25,250112,0.0002734202588547899,0.0011338229100269492,1.0
corrupt_different_operation_matched,8,25,250112,0.0003644439252701494,0.0011047964223256934,1.0
corrupt_different_operation_matched,9,25,250112,0.00030965260750077657,0.0011091722281511285,0.9992307692307693
corrupt_same_operation_unrelated,0,25,250112,0.00025953228415544796,0.0012770969978543045,0.9992307692307693
corrupt_same_operation_unrelated,1,25,250112,0.00024080532549295556,0.0009800538135874212,1.0
corrupt_same_operation_unrelated,2,25,250112,0.0002657073792914241,0.0009291114476292391,1.0
corrupt_same_operation_unrelated,3,25,250112,0.0002703087207229516,0.0009582793197419059,0.9992307692307693
corrupt_same_operation_unrelated,4,25,250112,0.00018761027665274683,0.000651555739258465,1.0
corrupt_same_operation_unrelated,5,25,250112,0.00020529426444750178,0.0005141457491644047,0.9992307692307693
corrupt_same_operation_unrelated,6,25,250112,0.00027508322396152746,0.0006704082859650407,0.9992307692307693
corrupt_same_operation_unrelated,7,25,250112,0.00016104877376138825,0.0007931723483457186,1.0
corrupt_same_operation_unrelated,8,25,250112,0.0001946259380338533,0.00043172581158348877,1.0
corrupt_same_operation_unrelated,9,25,250112,0.00018210490325863213,0.0005774104574244321,1.0
delay_component,0,25,250112,0.0004235306395460928,0.0037333766117165403,0.9953846153846154
delay_component,1,25,250112,0.00040726746222733296,0.0037733586997411054,0.9953846153846154
delay_component,2,25,250112,0.00040229204521335585,0.003989261975073756,0.9953846153846154
delay_component,3,25,250112,0.00045111173986658794,0.003885308546209887,0.9953846153846154
delay_component,4,25,250112,0.0005514947514720889,0.003601435721235476,0.9946153846153847
delay_component,5,25,250112,0.00038089091060610104,0.00358544288602565,0.9953846153846154
delay_component,6,25,250112,0.0004301327957133972,0.003617428556445302,0.9930769230769231
delay_component,7,25,250112,0.0004524527742014706,0.0038653175021976047,0.9953846153846154
delay_component,8,25,250112,0.00043675706506598756,0.003713385567704258,0.9946153846153847
delay_component,9,25,250112,0.00046808165353524997,0.0037293784029140834,0.9953846153846154
delay_different_operation_matched,0,25,250112,0.0004584312218974696,0.004468792918713684,0.9838461538461538
delay_different_operation_matched,1,25,250112,0.00042972056631799567,0.004184920093739273,0.9838461538461538
delay_different_operation_matched,2,25,250112,0.00045876827339071916,0.004736672908478271,0.9838461538461538
delay_different_operation_matched,3,25,250112,0.0004902926613471256,0.004652710523626683,0.9838461538461538
delay_different_operation_matched,4,25,250112,0.0006210741808897088,0.004488783962725966,0.9830769230769232
delay_different_operation_matched,5,25,250112,0.0004435442667613024,0.0046247230620094885,0.9838461538461538
delay_different_operation_matched,6,25,250112,0.0005016843950886931,0.004648712314824227,0.9830769230769232
delay_different_operation_matched,7,25,250112,0.0005205080182791517,0.004524767841948076,0.9838461538461538
delay_different_operation_matched,8,25,250112,0.00047059353648472427,0.00450877500673825,0.9838461538461538
delay_different_operation_matched,9,25,250112,0.0004681785453126095,0.0042408950169736635,0.9830769230769232
delay_same_operation_unrelated,0,25,250112,0.0038118658150996265,0.04764832268874479,0.9992307692307693
delay_same_operation_unrelated,1,25,250112,0.003788836132397476,0.047360451654967925,0.9992307692307693
delay_same_operation_unrelated,2,25,250112,0.0037715638703708656,0.047144548379635276,0.9984615384615384
delay_same_operation_unrelated,3,25,250112,0.0038611237475458917,0.0482640468443231,0.9992307692307693
delay_same_operation_unrelated,4,25,250112,0.003854406756757764,0.048180084459471514,0.9984615384615384
delay_same_operation_unrelated,5,25,250112,0.003845130912336066,0.048064136404200264,0.9992307692307693
delay_same_operation_unrelated,6,25,250112,0.003757490175386218,0.046968627192327195,0.9984615384615384
delay_same_operation_unrelated,7,25,250112,0.0037498136144855023,0.046872670181068235,0.9992307692307693
delay_same_operation_unrelated,8,25,250112,0.003744376050514161,0.04680470063142647,0.9992307692307693
delay_same_operation_unrelated,9,25,250112,0.0037744425807086346,0.04718053225885739,0.9984615384615384
upweight_component,0,25,250112,0.0009198069079491922,0.010908064022879162,0.9576923076923078
upweight_component,1,25,250112,0.0009564524633116059,0.011267902815100247,0.9569230769230769
upweight_component,2,25,250112,0.0009310442980656944,0.010884074770064422,0.9576923076923078
upweight_component,3,25,250112,0.0008707696840002701,0.010584209109880185,0.9576923076923078
upweight_component,4,25,250112,0.0009270353707656536,0.010448270010596665,0.9576923076923078
upweight_component,5,25,250112,0.0008852914965465855,0.010792115967607922,0.9576923076923078
upweight_component,6,25,250112,0.0009494861555667303,0.010776123132398098,0.9576923076923078
upweight_component,7,25,250112,0.0009239075015702062,0.01050824314263351,0.9569230769230769
upweight_component,8,25,250112,0.000909278582040215,0.01064818045071949,0.9569230769230769
upweight_component,9,25,250112,0.0009226691932655759,0.011040004913360227,0.9574918430629414
upweight_different_operation_matched,0,25,250112,0.0009845104081655912,0.012207735996332373,0.9653846153846154
upweight_different_operation_matched,1,25,250112,0.0010962283607755061,0.012791474481491023,0.9653846153846154
upweight_different_operation_matched,2,25,250112,0.0010050336543527335,0.01199583092980218,0.9653846153846154
upweight_different_operation_matched,3,25,250112,0.0009927415698245709,0.012263710919566765,0.9646153846153847
upweight_different_operation_matched,4,25,250112,0.001095743077343864,0.012943406415984371,0.9653846153846154
upweight_different_operation_matched,5,25,250112,0.0010404521746326192,0.012135768237888157,0.9646153846153847
upweight_different_operation_matched,6,25,250112,0.0010213503813328933,0.012123773611480789,0.9646153846153847
upweight_different_operation_matched,7,25,250112,0.0010458490868032687,0.012015821973814464,0.9646153846153847
upweight_different_operation_matched,8,25,250112,0.0010266666936343783,0.012603558667775567,0.9646153846153847
upweight_different_operation_matched,9,25,250112,0.0011273293511758664,0.013059354471255608,0.9638461538461539
upweight_fake_component,0,25,250112,0.001241791677063877,0.015460799644909685,0.9784615384615385
upweight_fake_component,1,25,250112,0.0013219101925205543,0.015960575745216747,0.9784615384615385
upweight_fake_component,2,25,250112,0.0013111825267052288,0.016192471855759227,0.9784615384615385
upweight_fake_component,3,25,250112,0.0012779354846380844,0.01584462768994551,0.9784615384615385
upweight_fake_component,4,25,250112,0.0013296478587083924,0.016148491558932207,0.9784615384615385
upweight_fake_component,5,25,250112,0.001318279183055241,0.015912597239587274,0.9776923076923076
upweight_fake_component,6,25,250112,0.0013203689090025821,0.015948581118809382,0.9776923076923076
upweight_fake_component,7,25,250112,0.0013465986097172566,0.016540316021572944,0.9776923076923076
upweight_fake_component,8,25,250112,0.0012468813548616598,0.015548760238563733,0.9784615384615385
upweight_fake_component,9,25,250112,0.0013115740322650982,0.01603254350366097,0.9784615384615385
upweight_same_operation_unrelated,0,25,250112,0.008158131626046738,0.10197664532558479,1.0
upweight_same_operation_unrelated,1,25,250112,0.008096079425432614,0.10120099281790823,1.0
upweight_same_operation_unrelated,2,25,250112,0.00820131228111327,0.10251640351391642,0.9984615384615384
upweight_same_operation_unrelated,3,25,250112,0.008169646467397814,0.10212058084247322,0.9992307692307693
upweight_same_operation_unrelated,4,25,250112,0.008126465812331283,0.10158082265414159,1.0
upweight_same_operation_unrelated,5,25,250112,0.008218264686435684,0.1027283085804466,1.0
upweight_same_operation_unrelated,6,25,250112,0.008289592731471509,0.10361990914339442,1.0
upweight_same_operation_unrelated,7,25,250112,0.008227540530857383,0.10284425663571783,1.0
