model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,component_ids,control_type,continuous_status
EleutherAI/pythia-70m,easy_add_1d,accuracy,0.140625,0.28125,0.140625,0.24609375,0.28125,0.140625,4,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,weak_or_uninformative
EleutherAI/pythia-70m,easy_add_then_compare,accuracy,0.21875,0.3125,0.09375,0.2890625,0.3125,0.21875,4,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
EleutherAI/pythia-70m,easy_animals_surface,accuracy,0.203125,0.203125,0.0,0.203125,0.203125,0.203125,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,weak_or_uninformative
EleutherAI/pythia-70m,easy_color_surface,accuracy,0.234375,0.234375,0.0,0.234375,0.234375,0.234375,4,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,weak_or_uninformative
EleutherAI/pythia-70m,easy_compare_1d,accuracy,0.28125,0.125,-0.15625,0.15625,0.28125,0.109375,4,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,weak_or_uninformative
EleutherAI/pythia-70m,easy_copy_word,accuracy,0.1875,0.28125,0.09375,0.203125,0.28125,0.171875,4,atomic,string,copy,1,0.75,0.25,0.7,,,weak_or_uninformative
EleutherAI/pythia-70m,easy_reverse_then_copy,accuracy,0.28125,0.15625,-0.125,0.1875,0.28125,0.15625,4,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,weak_or_uninformative
EleutherAI/pythia-70m,easy_reverse_two_words,accuracy,0.328125,0.25,-0.078125,0.26953125,0.328125,0.25,4,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_1d,mean_logprob_correct,-11.154702842235563,-4.53504877910018,6.619654063135384,-5.820563981309533,-3.537632701918483,-11.154702842235563,4,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_then_compare,mean_logprob_correct,-11.170126736164091,-4.424877677112818,6.7452490590512735,-5.968195768073201,-4.130382839590311,-11.170126736164091,4,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
EleutherAI/pythia-70m,easy_animals_surface,mean_logprob_correct,-10.90093407034874,-4.508060526102781,6.392873544245958,-5.818636752199382,-3.894544471055269,-10.90093407034874,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_color_surface,mean_logprob_correct,-11.12286788225174,-4.471186067909002,6.651681814342737,-5.883357229176909,-3.7297951001673937,-11.12286788225174,4,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_compare_1d,mean_logprob_correct,-10.888777196407318,-4.507146630436182,6.381630565971136,-6.09136944450438,-4.269736602902412,-10.888777196407318,4,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_copy_word,mean_logprob_correct,-11.002109199762344,-4.547030538320541,6.455078661441803,-6.125472237356007,-4.461555298417807,-11.002109199762344,4,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_then_copy,mean_logprob_correct,-10.815765768289566,-5.415589332580566,5.400176435709,-6.336394981946796,-4.380178129300475,-10.815765768289566,4,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_two_words,mean_logprob_correct,-10.742696821689606,-5.253900036215782,5.4887967854738235,-6.124680400826037,-4.226918056607246,-10.742696821689606,4,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_1d,mean_logprob_margin,0.561782106757164,0.6447143629193306,0.0829322561621666,1.355676909442991,2.628129418939352,0.561782106757164,4,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_then_compare,mean_logprob_margin,0.5744108110666275,0.3014755249023437,-0.2729352861642838,0.9671216085553169,1.8776766285300253,0.3014755249023437,4,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
EleutherAI/pythia-70m,easy_animals_surface,mean_logprob_margin,0.6417842954397202,1.131660494953394,0.4898761995136738,1.242538055870682,2.098625680431724,0.6417842954397202,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
