model_name,metric,threshold,group,n,acq_rate,mean_final,mean_delta,rho_frequency_time,rho_learnability_time,rho_utility_time,rho_frequency_final,rho_learnability_final
EleutherAI/pythia-70m,accuracy,0.2,all,8,1.0,0.23046875,-0.00390625,0.5958631256583189,-0.4098534496230516,0.5050762722761054,0.08433734939759036,0.129669162911924
EleutherAI/pythia-70m,accuracy,0.2,atomic,4,1.0,0.234375,0.0,0.21081851067789195,-0.05555555555555556,-0.23570226039551584,0.21081851067789195,0.05555555555555556
EleutherAI/pythia-70m,accuracy,0.2,composite,2,1.0,0.234375,-0.015625,,,,,
EleutherAI/pythia-70m,accuracy,0.2,true_atomic_composite,6,1.0,0.234375,-0.005208333333333333,0.5408987230262506,-0.46304617988477387,0.35355339059327373,-0.02898855178262242,0.1323529411764706
EleutherAI/pythia-70m,accuracy,0.3,all,8,0.25,0.23046875,-0.00390625,,,,0.08433734939759036,0.129669162911924
EleutherAI/pythia-70m,accuracy,0.3,atomic,4,0.25,0.234375,0.0,,,,0.21081851067789195,0.05555555555555556
EleutherAI/pythia-70m,accuracy,0.3,composite,2,0.5,0.234375,-0.015625,,,,,
EleutherAI/pythia-70m,accuracy,0.3,true_atomic_composite,6,0.3333333333333333,0.234375,-0.005208333333333333,,,,-0.02898855178262242,0.1323529411764706
EleutherAI/pythia-70m,accuracy,0.4,all,8,0.0,0.23046875,-0.00390625,,,,0.08433734939759036,0.129669162911924
EleutherAI/pythia-70m,accuracy,0.4,atomic,4,0.0,0.234375,0.0,,,,0.21081851067789195,0.05555555555555556
EleutherAI/pythia-70m,accuracy,0.4,composite,2,0.0,0.234375,-0.015625,,,,,
EleutherAI/pythia-70m,accuracy,0.4,true_atomic_composite,6,0.0,0.234375,-0.005208333333333333,,,,-0.02898855178262242,0.1323529411764706
EleutherAI/pythia-70m,accuracy,0.5,all,8,0.0,0.23046875,-0.00390625,,,,0.08433734939759036,0.129669162911924
EleutherAI/pythia-70m,accuracy,0.5,atomic,4,0.0,0.234375,0.0,,,,0.21081851067789195,0.05555555555555556
EleutherAI/pythia-70m,accuracy,0.5,composite,2,0.0,0.234375,-0.015625,,,,,
EleutherAI/pythia-70m,accuracy,0.5,true_atomic_composite,6,0.0,0.234375,-0.005208333333333333,,,,-0.02898855178262242,0.1323529411764706
