model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc
EleutherAI/pythia-70m,accuracy,all,8,0.23046875,-0.00390625,0.2236328125,0.08433734939759036,0.23030726004361676,-0.07831325301204818,0.129669162911924,-0.17394324341464923,0.259338325823848,0.0,0.03904344047215152,-0.14229426304616102,0.12674485010489558,-0.06375767130633384,0.12674485010489558
EleutherAI/pythia-70m,accuracy,atomic,4,0.234375,0.0,0.21875,0.21081851067789195,0.39999999999999997,-0.39999999999999997,0.05555555555555556,-0.10540925533894598,0.632455532033676,-0.23570226039551584,0.0,-0.4472135954999579,,,
EleutherAI/pythia-70m,accuracy,composite,2,0.234375,-0.015625,0.23828125,,,,,,,,,,,,
EleutherAI/pythia-70m,accuracy,true_atomic_composite,6,0.234375,-0.005208333333333333,0.22526041666666666,-0.02898855178262242,0.3188740696088466,-0.2,0.1323529411764706,-0.17647058823529413,0.2898855178262242,-0.30316953129541624,0.06063390625908325,-0.35856858280031817,0.2100420126042015,-0.10502100630210075,0.2070196678027063
EleutherAI/pythia-70m,mean_logprob_correct,all,8,-4.707854948472232,6.26689261617139,-6.021083849424031,-0.023952525238265177,0.05988131309566295,0.2155727271443866,-0.27006573887713003,-0.20868716185960046,-0.5033043315437423,-0.18002057495577392,-0.1543033499620919,-0.05143444998736397,0.0,0.0,-0.37796447300922725
EleutherAI/pythia-70m,mean_logprob_correct,atomic,4,-4.710781496018171,6.236290019005537,-6.040521515998989,0.7999999999999999,0.7999999999999999,0.7999999999999999,-0.9486832980505139,-0.632455532033676,-0.7378647873726218,0.8944271909999159,0.4472135954999579,0.8944271909999159,,,
EleutherAI/pythia-70m,mean_logprob_correct,composite,2,-4.920233504846692,6.0727127473801366,-6.152295375009999,,,,,,,,,,,,
EleutherAI/pythia-70m,mean_logprob_correct,true_atomic_composite,6,-4.780598832294345,6.1817642617970705,-6.077779469002659,0.3714285714285715,0.3714285714285715,0.6,-0.40583972495671394,-0.3188740696088466,-0.5507824838698261,0.23904572186687875,0.11952286093343938,0.4780914437337575,0.0,0.0,-0.2070196678027063
EleutherAI/pythia-70m,mean_logprob_margin,all,8,0.7893037782050669,0.2572865770198405,1.1342307217419147,-0.2395252523826518,-0.28743030285918214,-0.047905050476530354,0.11048143863155317,0.23323859266661226,-0.13503286943856502,-0.3343239249178658,-0.43719282489259376,-0.23145502494313785,-0.25197631533948484,-0.25197631533948484,-0.25197631533948484
EleutherAI/pythia-70m,mean_logprob_margin,atomic,4,0.6040792353451252,0.043994154781103134,1.0872804747195914,-0.19999999999999998,-0.39999999999999997,0.39999999999999997,0.316227766016838,0.632455532033676,-0.21081851067789195,0.0,-0.4472135954999579,0.4472135954999579,,,
EleutherAI/pythia-70m,mean_logprob_margin,composite,2,0.6011581402271986,0.09070349298417574,1.0289255534298718,,,,,,,,,,,,
EleutherAI/pythia-70m,mean_logprob_margin,true_atomic_composite,6,0.603105536972483,0.05956393418212735,1.067828834289685,-0.2,-0.3142857142857143,0.08571428571428573,0.23190841426097938,0.40583972495671394,0.028988551782622423,0.0,-0.23904572186687875,0.11952286093343938,0.0,0.0,0.0
