condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,n_acquired,acquisition_rate,mean_acquired_at,median_acquired_at,mean_final_balanced_accuracy
baseline,A00_xor2_12_26,atomic,0.0183751008089589,2.5,0.0608429621310642,2,0,0.0,,,0.5321043729782104
baseline,A01_and_bits_31_32,atomic,0.0328079550222265,2.0,0.0,2,0,0.0,,,0.7377055808901787
baseline,A02_or_bits_19_44,atomic,0.0378959400312156,2.0,0.0145263225035138,2,1,0.5,96256.0,96256.0,0.9059031754732132
baseline,A03_xor2_18_17,atomic,0.0143032623707168,2.5,0.0151578972284238,2,0,0.0,,,0.5049503073096275
baseline,A04_bit_8,atomic,0.0230508666716711,1.0,0.0,2,2,1.0,105216.0,105216.0,0.9231709837913513
baseline,A05_not_bit_33,atomic,0.0495112951163322,1.0,0.0451018450785472,2,2,1.0,65280.0,65280.0,0.9955730587244034
baseline,A06_or_bits_46_41,atomic,0.0760859123718199,2.0,0.0298727511249736,2,2,1.0,70144.0,70144.0,0.9980988502502441
baseline,A07_bit_10,atomic,0.0390855829401995,1.0,0.0123853745835715,2,2,1.0,86272.0,86272.0,0.9948505908250809
baseline,A08_bit_22,atomic,0.0071735574455122,1.0,0.0367941445986432,2,0,0.0,,,0.7942289113998413
baseline,A09_xor2_22_5,atomic,0.0678243360990089,2.5,0.0193538144268427,2,0,0.0,,,0.5902176201343536
baseline,A10_xor2_9_25,atomic,0.0612608757851842,2.5,0.0660166694715173,2,0,0.0,,,0.603121243417263
baseline,A11_eq2_30_27,atomic,0.0234210627492732,2.0,0.0,2,0,0.0,,,0.5098216719925404
baseline,C00_and_02_06,composite,0.0072869387652941,3.0,0.0,2,0,0.0,,,0.8408211767673492
baseline,C01_and_00_09,composite,0.0193538144268427,3.5,0.0,2,0,0.0,,,0.5307388100773096
baseline,C02_and_05_06,composite,0.0225858123596795,3.0,0.0,2,2,1.0,82432.0,82432.0,0.9661868065595628
baseline,C03_and_10_08,composite,0.0313332133022853,3.5,0.0,2,0,0.0,,,0.6268669553101063
baseline,C04_or_05_10,composite,0.0101306581352962,3.5,0.0,2,0,0.0,,,0.661284726113081
baseline,C05_and_07_05,composite,0.0123853745835715,2.0,0.0,2,1,0.5,110080.0,110080.0,0.9350572824478149
baseline,C06_and_10_08,composite,0.0054609312963578,3.5,0.0,2,0,0.0,,,0.5956162214279175
baseline,C07_or_02_00,composite,0.0072393837382197,3.5,0.0,2,0,0.0,,,0.5031809215433896
baseline,C08_or_00_10,composite,0.0190918667375778,3.5,0.0,2,0,0.0,,,0.5113680846989155
baseline,C09_or_03_00,composite,0.0151578972284238,3.5,0.0,2,0,0.0,,,0.504783934680745
baseline,K00_shortcut_for_05_bit18,shortcut,0.0053663352815135,1.0,0.0,2,0,0.0,,,0.5827900879085064
baseline,K01_shortcut_for_02_bit46,shortcut,0.0187980761502135,1.0,0.0,2,2,1.0,90368.0,90368.0,0.9485721439123154
baseline,K02_shortcut_for_02_bit12,shortcut,0.0120075912480278,1.0,0.0,2,0,0.0,,,0.8959885835647583
baseline,K03_shortcut_for_09_bit29,shortcut,0.0848338361054499,1.0,0.0,2,2,1.0,46080.0,46080.0,0.999267578125
baseline,S00_surface_xor_13_2,surface_control,0.0267859908098856,2.0,0.0,2,0,0.0,,,0.5255466401576996
baseline,S01_surface_xor_9_46,surface_control,0.0063318125753807,2.0,0.0,2,0,0.0,,,0.4986104294657707
baseline,S02_surface_xor_8_39,surface_control,0.0363537584661327,2.0,0.0,2,0,0.0,,,0.535573348402977
baseline,S03_surface_xor_21_47,surface_control,0.0644833390174673,2.0,0.0,2,0,0.0,,,0.5317532196640968
baseline,U00_xor2_12_37,unrelated,0.0885329899092662,2.5,0.0,2,0,0.0,,,0.6398599669337273
baseline,U01_or_bits_46_28,unrelated,0.0109942415976781,2.0,0.0,2,0,0.0,,,0.627936739474535
baseline,U02_xor2_1_29,unrelated,0.0191323914191892,2.5,0.0,2,0,0.0,,,0.5438490062952042
baseline,U03_and_bits_37_42,unrelated,0.0255579994341263,2.0,0.0,2,0,0.0,,,0.7412848919630051
