source_run_dir,source_model_name,model_name,metric,n_atomic,n_composite,n_moving_atomic,n_moving_composite,mean_atomic_delta,mean_composite_delta,mean_atomic_final,mean_composite_final,h2_ready
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,12,10,9,7,-0.01171875,0.015625,0.2330729166666666,0.25,True
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,12,10,12,10,0.0856184866279363,0.2783372230827808,-0.6479056682437658,-0.3924161903560161,True
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,12,10,8,6,-0.0065104166666666,0.0149739583333333,0.5108506944444444,0.5294270833333334,True
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_logprob_correct,12,10,12,10,6.239651137031615,6.5026415910571815,-4.863608322106302,-4.600034097209573,True
results/pythia_arithmetic_model_sweep_v34/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_logprob_margin,12,10,12,10,-0.0161542457838853,-0.0823372945189476,0.5428570099174976,0.4029680252075195,True
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,accuracy,12,10,5,5,-0.0052083333333333,-0.015625,0.25,0.2390625,True
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_margin,12,10,12,10,-1.1529864454641938,-1.225268275476992,-1.583398090985914,-1.693314748443663,True
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_mrr,12,10,3,6,-0.0034722222222222,-0.0041666666666666,0.5228949652777778,0.51796875,False
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_correct,12,10,12,10,7.074025110496829,7.273187113553286,-4.240788535680622,-4.055888266116381,True
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_margin,12,10,12,10,1.9060204879691205,1.7373556395992638,2.1158579954256616,1.8531071668490768,True
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,accuracy,12,10,4,7,-0.0091145833333333,-0.015625,0.25,0.2390625,True
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_margin,12,10,12,10,-0.4734041663662841,-0.4753213180229068,-0.8903557159161816,-0.9066974250599742,True
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_mrr,12,10,2,7,-0.0077039930555555,-0.0147135416666666,0.51953125,0.5067708333333332,False
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_correct,12,10,12,10,8.539826977144306,8.474309922102838,-2.407253166893497,-2.5505800164304677,True
results/pythia_arithmetic_model_sweep_v34/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_margin,12,10,12,10,1.0861113969391831,1.16883881688118,1.2572621346917003,1.3347421631217002,True
results/pythia_arithmetic_model_sweep_v34/pythia-1b_n64,EleutherAI/pythia-1b,EleutherAI/pythia-1b,accuracy,12,10,9,6,0.0234375,-0.034375,0.2526041666666667,0.2359375,True
results/pythia_arithmetic_model_sweep_v34/pythia-1b_n64,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_margin,12,10,12,10,-0.22932615581279,-0.1292917996644974,-0.6393991008711358,-0.5056447237730026,True
results/pythia_arithmetic_model_sweep_v34/pythia-1b_n64,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,12,10,12,8,0.0066189236111111,-0.0373697916666666,0.517795138888889,0.4994791666666666,True
results/pythia_arithmetic_model_sweep_v34/pythia-1b_n64,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,12,10,12,10,8.627747651500007,8.841265034675597,-2.4245161845659218,-2.2800626501441004,True
results/pythia_arithmetic_model_sweep_v34/pythia-1b_n64,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,12,10,12,10,0.7587707734977206,0.4220979297533631,0.945613675750792,0.6228563899174333,True
results/pythia_arithmetic_model_sweep_v34/pythia-1.4b_n64,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,accuracy,12,10,11,9,0.0091145833333333,0.003125,0.2565104166666667,0.2578125,True
results/pythia_arithmetic_model_sweep_v34/pythia-1.4b_n64,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_correct_margin,12,10,12,10,0.1922837380940715,0.2684943318367004,-0.3829133613035083,-0.2979385256767273,True
results/pythia_arithmetic_model_sweep_v34/pythia-1.4b_n64,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_correct_mrr,12,10,10,8,0.0065104166666666,0.0037760416666667,0.5243055555555555,0.5265624999999999,True
results/pythia_arithmetic_model_sweep_v34/pythia-1.4b_n64,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_logprob_correct,12,10,12,10,8.813437501279017,8.89919912610203,-2.190716163876156,-2.075259796343744,True
results/pythia_arithmetic_model_sweep_v34/pythia-1.4b_n64,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,mean_logprob_margin,12,10,12,10,-0.0393734659689168,-0.1281378149986267,0.301122155195723,0.1806068137288093,True
