model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
frequency_only,0,0.024982867523713967,16,4,log_frequency,1,frequency_only,0
frequency_only,1,0.022228010914609544,16,4,log_frequency,1,frequency_only,0
frequency_only,2,0.026567990397986414,16,4,log_frequency,1,frequency_only,0
frequency_only,3,0.05004494442980724,16,4,log_frequency,1,frequency_only,0
frequency_only,4,0.04718991534806164,16,4,log_frequency,1,frequency_only,0
learnability_only,0,1.0707996454526627,16,4,reference_learnability,1,frequency_only,0
learnability_only,1,0.33116060538026143,16,4,reference_learnability,1,frequency_only,0
learnability_only,2,1.4428541897403124,16,4,reference_learnability,1,frequency_only,0
learnability_only,3,0.6589161652742295,16,4,reference_learnability,1,frequency_only,0
learnability_only,4,0.7102993886104082,16,4,reference_learnability,1,frequency_only,0
freq_learn,0,0.02591269719183399,16,4,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,1,0.022142222921820085,16,4,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,2,0.03132147264127311,16,4,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,3,0.05531653954798038,16,4,"log_frequency,reference_learnability",2,frequency_only,0
freq_learn,4,0.0654868714404485,16,4,"log_frequency,reference_learnability",2,frequency_only,0
three_factor,0,0.027051142265981022,16,4,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,1,0.035096668247978156,16,4,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,2,0.03256500825600679,16,4,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,3,0.0661373357633417,16,4,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
three_factor,4,0.06403971589677607,16,4,"log_frequency,reference_learnability,formal_utility",3,frequency_only,0
frequency_only,0,0.03217496994303552,16,4,log_frequency,1,frequency_only,1
frequency_only,1,0.04217088730927606,16,4,log_frequency,1,frequency_only,1
frequency_only,2,0.0037276542038895836,16,4,log_frequency,1,frequency_only,1
frequency_only,3,0.019166663025852997,16,4,log_frequency,1,frequency_only,1
frequency_only,4,0.031258535957462155,16,4,log_frequency,1,frequency_only,1
learnability_only,0,0.659805184204773,16,4,reference_learnability,1,frequency_only,1
learnability_only,1,0.814184177452894,16,4,reference_learnability,1,frequency_only,1
learnability_only,2,0.8424922406451092,16,4,reference_learnability,1,frequency_only,1
learnability_only,3,0.5730826863618755,16,4,reference_learnability,1,frequency_only,1
learnability_only,4,0.843043603703175,16,4,reference_learnability,1,frequency_only,1
freq_learn,0,0.034476517824475354,16,4,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,1,0.052102983980531564,16,4,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,2,0.008678465755365877,16,4,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,3,0.018224544656471383,16,4,"log_frequency,reference_learnability",2,frequency_only,1
freq_learn,4,0.031018319699185372,16,4,"log_frequency,reference_learnability",2,frequency_only,1
