structure_id,kind,frequency,reference_learnability,formal_utility,component_a,component_b
S00,atomic,0.05084635016131123,1.1132786845818519,0.5715298307297609,,
S01,atomic,0.018811720047191692,1.4971331059982558,0.32186939107594215,,
S02,atomic,0.01012332814256432,3.6824976587745213,0.5943000301996968,,
S03,atomic,0.009474858194889949,3.5887580462970003,0.33791122550713326,,
S04,atomic,0.0819624120647916,3.4615404459250154,0.39161900052816123,,
S05,atomic,0.10730465615582577,2.5347102170475337,0.8902743520047923,,
S06,atomic,0.046837504137788415,4.988839743156844,0.22715759353337972,,
S07,atomic,0.06532647735272475,4.92334135510492,0.6231871446860424,,
S08,atomic,0.03949001619346059,3.742167937922779,0.08401534358238483,,
S09,atomic,0.113989596240851,3.601837105071265,0.8326441476533978,,
S10,atomic,0.08253781064608755,3.7537869222837603,0.7870983074886834,,
S11,atomic,0.009127575569532516,2.555685695916415,0.23936944299295215,,
S12,composite,0.0923677545990071,1.5403860200896449,0.30676948078374633,S06,S04
S13,composite,0.009922803992214155,3.885953360776327,0.02049881218181802,S12,S02
S14,composite,0.0653545914085885,3.1014172899029036,0.11764097119098112,S08,S13
S15,composite,0.014578799095124873,2.2409675022358226,0.05259781341319367,S04,S13
S16,composite,0.09382355765220658,2.9433414353271563,0.15761877832725044,S13,S03
S17,composite,0.039259297073168116,4.557951337396001,0.27871349460055295,S00,S15
S18,composite,0.02039967487745838,4.736174063824999,0.0807247731478116,S10,S01
S19,composite,0.028461216395213058,2.431180786836281,0.01820745537254336,S11,S14
