dependency_signal,mean_composite_residual,median_composite_residual,frac_positive_composite_residual,true_mechanism,replicate
positive_residual,0.05549712545318508,0.06451430226130306,0.625,frequency_only,0
positive_residual,0.0748483877810957,0.10200535997369364,0.75,frequency_only,1
positive_residual,0.14889473153617905,0.11934524359736809,0.875,frequency_only,2
positive_residual,0.0026726081890557918,-0.031188683326296207,0.5,frequency_only,3
positive_residual,0.06214168269177778,0.10426713929508669,0.75,frequency_only,4
no_positive_residual,-0.054067541590085755,-0.02486085293107987,0.375,frequency_only,5
no_positive_residual,-0.03965272939038922,0.009798786782914348,0.625,frequency_only,6
no_positive_residual,-0.09186041162962755,-0.12196228536609599,0.375,frequency_only,7
no_positive_residual,-0.0890690736733688,-0.05475886329458479,0.375,frequency_only,8
positive_residual,0.024116976722125427,-0.05025173819158901,0.375,frequency_only,9
no_positive_residual,-0.07021559677236855,-0.019064719456693524,0.5,frequency_only,10
no_positive_residual,-0.02561195081377665,-0.045236141655389694,0.5,frequency_only,11
positive_residual,0.08907375804366202,0.0813435056891354,0.75,frequency_only,12
positive_residual,0.2538104113064039,0.20605886110584315,1.0,frequency_only,13
no_positive_residual,-0.10378775335601986,-0.09021857705085345,0.25,frequency_only,14
positive_residual,0.03580235920643293,0.03680464739335498,0.625,frequency_only,15
no_positive_residual,-0.009258754307040595,0.02651206312844767,0.625,frequency_only,16
no_positive_residual,-0.012609974886766961,-0.05174725685068182,0.375,frequency_only,17
no_positive_residual,-0.35073590529576526,-0.34557375127267154,0.0,frequency_only,18
positive_residual,0.08043393053224324,0.04358746712560979,0.75,frequency_only,19
no_positive_residual,-0.1522435671944884,-0.1973252166372026,0.25,frequency_only,20
positive_residual,0.02909270009578302,0.05853197466302529,0.5,frequency_only,21
no_positive_residual,-0.09966110682978413,-0.08970429670940128,0.5,frequency_only,22
no_positive_residual,-0.16357293962126196,-0.12346221831399529,0.375,frequency_only,23
positive_residual,0.08539290656723075,0.1067135753800299,0.625,frequency_only,24
positive_residual,0.06126101298627118,0.1416113564713548,0.625,frequency_only,25
no_positive_residual,-0.15743195162423596,-0.1638081047401947,0.25,frequency_only,26
positive_residual,0.016688238797182287,0.04952528149097013,0.625,frequency_only,27
positive_residual,0.10690621255901345,0.14521743069686188,0.625,frequency_only,28
positive_residual,0.15486017967381893,0.10829866124079945,0.875,frequency_only,29
positive_residual,0.028017379952701926,0.03886810120017703,0.625,learnability_only,0
no_positive_residual,-0.020439198638523948,-0.019992179101129715,0.5,learnability_only,1
no_positive_residual,-0.07067290868210896,-0.026736616802320867,0.5,learnability_only,2
no_positive_residual,-0.03598355833203892,0.008578755061983578,0.5,learnability_only,3
positive_residual,0.05446264082667773,0.07339135326541335,0.625,learnability_only,4
positive_residual,0.2987474448351948,0.31966392878452865,1.0,learnability_only,5
positive_residual,0.12944255268734017,0.09228562095762882,1.0,learnability_only,6
no_positive_residual,-0.36438815546414505,-0.42693133110813175,0.0,learnability_only,7
positive_residual,0.15824740090218792,0.1260975811118472,0.75,learnability_only,8
no_positive_residual,-0.14429723589928467,-0.1647438972923796,0.25,learnability_only,9
positive_residual,0.12065439281982271,0.1602436998276815,0.75,learnability_only,10
positive_residual,0.12017101773200278,0.08922474997894181,0.75,learnability_only,11
positive_residual,0.2522681848275816,0.17882186545025025,1.0,learnability_only,12
no_positive_residual,-0.11732921879283076,-0.09343916488196413,0.125,learnability_only,13
positive_residual,0.18298596685297364,0.15303794303121876,1.0,learnability_only,14
positive_residual,0.10245873740662992,0.15785957290751274,0.625,learnability_only,15
positive_residual,0.04112506822944528,0.04451629313463634,0.625,learnability_only,16
no_positive_residual,-0.056361262716666305,-0.10020265296385489,0.375,learnability_only,17
no_positive_residual,-0.04126644966825199,-0.05045904134776524,0.375,learnability_only,18
no_positive_residual,-0.10654838504302133,-0.11723712377132234,0.375,learnability_only,19
no_positive_residual,-0.15013411342225047,-0.17491398054768492,0.125,learnability_only,20
no_positive_residual,-0.03924173218584426,-0.11833748122629739,0.25,learnability_only,21
no_positive_residual,-0.06488584432872035,-0.06087111910378429,0.25,learnability_only,22
no_positive_residual,-0.08957851209845336,-0.16118641523130517,0.25,learnability_only,23
no_positive_residual,-0.012768165005799137,0.04993624540047126,0.75,learnability_only,24
no_positive_residual,-0.08250359641853366,-0.10291232092253466,0.25,learnability_only,25
no_positive_residual,-0.0011756025470670561,-0.015497705105794068,0.375,learnability_only,26
no_positive_residual,-0.013305574375114704,-0.07256170387571803,0.375,learnability_only,27
positive_residual,0.10752780484657021,0.1410260698094774,0.75,learnability_only,28
no_positive_residual,-0.08672244027679077,-0.07602863488499789,0.375,learnability_only,29
positive_residual,0.11509244389530626,0.11930284390624202,0.75,three_factor,0
positive_residual,0.14543547722206407,0.07016830043922972,0.625,three_factor,1
no_positive_residual,-0.10789905591025306,-0.14550121093602808,0.375,three_factor,2
