metric_family,threshold,condition,stratum,n,n_tasks,acquisition_rate,mean_acquired_at,time_spearman_frequency,time_sign_ok_frequency,final_spearman_frequency,time_spearman_reference_learnability,time_sign_ok_reference_learnability,final_spearman_reference_learnability,time_spearman_formal_utility,time_sign_ok_formal_utility,final_spearman_formal_utility
token_accuracy,0.7,base,all,250,25,0.736,61306.434782608696,-0.0646776692911762,True,0.06658259884127961,0.5214289317567975,True,-0.24883669700144684,-0.15997763468893475,True,0.3153409447676687
token_accuracy,0.7,base,true_tasks_atomic_composite,160,16,0.9125,64189.3698630137,-0.09725146054159428,True,0.12986922329501333,0.34348231159182724,True,-0.23103488544456885,-0.3362536787963701,True,0.3252460614289918
token_accuracy,0.7,batch_large,all,250,25,0.64,67958.4,-0.07843238614027453,True,0.05350466266271147,0.6549518054362342,True,-0.2448097886103242,-0.08818499849477683,True,0.3388765273281177
token_accuracy,0.7,batch_large,true_tasks_atomic_composite,160,16,0.8125,78702.27692307692,-0.03380299179806915,True,0.10932301824167545,0.47369842774925547,True,-0.25601757895191657,-0.3088803544357145,True,0.3671139147563835
token_accuracy,0.7,batch_small,all,250,25,0.792,53601.61616161616,-0.060568680270976165,True,0.0640971382766617,0.44999730398360943,True,-0.2575262032111102,-0.19389572131917354,True,0.31914070932793365
token_accuracy,0.7,batch_small,true_tasks_atomic_composite,160,16,0.9625,52009.55844155844,-0.12327393677099206,True,0.12413620275491859,0.2800420767593442,True,-0.2461652783553701,-0.3399512337732292,True,0.35924532671827947
token_accuracy,0.7,lr_high,all,250,25,0.832,57345.230769230766,-0.04137411124416072,True,0.06593322018371672,0.41857472893119047,True,-0.2685251949775672,-0.2345752244406041,True,0.3310411171682257
token_accuracy,0.7,lr_high,true_tasks_atomic_composite,160,16,0.9875,52804.05063291139,-0.1094011968968274,True,0.13762101993821052,0.28456756704175146,True,-0.256480807410887,-0.3708299784485996,True,0.3503693987137698
token_accuracy,0.7,lr_low,all,250,25,0.64,69332.8,-0.07123879379347704,True,0.06709382816162035,0.6570897828228033,True,-0.24474703931297334,-0.09182083565382726,True,0.3198928273920086
token_accuracy,0.7,lr_low,true_tasks_atomic_composite,160,16,0.8125,80517.9076923077,-0.022436833174682348,True,0.12190033567856012,0.47519637294897615,True,-0.23865169624245894,-0.3144954134853398,True,0.33561688997929595
token_accuracy,0.7,wd_zero,all,250,25,0.732,59495.51912568306,-0.07828325851487106,True,0.07390819895016743,0.5204804404014538,True,-0.2480070296367448,-0.15718331191278503,True,0.315857653277488
token_accuracy,0.7,wd_zero,true_tasks_atomic_composite,160,16,0.90625,62095.00689655173,-0.10969095664752963,True,0.14180466822651167,0.34194500533341166,True,-0.2315680129684293,-0.32813000215590893,True,0.3237796682639854
