condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency
base,0,C07_substitute_then_reverse_04_03,57856.0,0.7,2,token_accuracy,0.86328125,0.234375,0.234375,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.426375545120905
base,0,K00_shortcut_for_A00_copy,14336.0,0.7,2,token_accuracy,0.9557291865348816,0.73828125,0.73828125,token_accuracy,0.7,1.0,K00_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,A00_copy,0.0163049692906072,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.116285353176716
base,0,K01_shortcut_for_A07_reverse,14336.0,0.7,2,token_accuracy,0.9482421875,0.697265625,0.697265625,token_accuracy,0.7,1.0,K01_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,A07_reverse,0.0175299779461095,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.043842838115416
base,0,K02_shortcut_for_A04_reverse,14336.0,0.7,2,token_accuracy,0.9443359375,0.669921875,0.669921875,token_accuracy,0.7,1.0,K02_shortcut_for_A04_reverse,shortcut,shortcut_identity,shortcut_identity,A04_reverse,0.0362963425666403,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-3.3160382985274692
base,0,S00_surface_rotate,,0.7,2,token_accuracy,0.388671875,0.0,0.0,token_accuracy,0.7,0.03369140625,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0206098816944667,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.8819846242967926
base,0,S01_surface_rotate,164608.0,0.7,2,token_accuracy,0.7659505605697632,0.0,0.0,token_accuracy,0.7,0.03369140625,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0315479628573997,2.0,0.0,1,surface_overlap_no_dependency,4.99004999677094,0.0382486979166666,6,250112,164608.0,False,12.011328243737609,-3.456246260783218
base,0,S02_surface_rotate,,0.7,2,token_accuracy,0.3284505307674408,0.0,0.0,token_accuracy,0.7,0.0302734375,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.015236661713767,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.184050800371162
base,0,U00_unrelated_substitute,,0.7,2,token_accuracy,0.1295572966337204,0.0,0.0,token_accuracy,0.7,0.0,U00_unrelated_substitute,unrelated,substitute,substitute,,0.0225815364361807,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.790622678457683
base,0,U01_unrelated_substitute,,0.7,2,token_accuracy,0.6813151240348816,0.0,0.0,token_accuracy,0.7,0.0,U01_unrelated_substitute,unrelated,substitute,substitute,,0.0249583463503928,1.5,0.0,1,unrelated_matched,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.690546989663138
base,0,U02_unrelated_substitute,,0.7,2,token_accuracy,0.138671875,0.0,0.0,token_accuracy,0.7,0.0,U02_unrelated_substitute,unrelated,substitute,substitute,,0.0127210958869839,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.36449357014416
base,1,A00_copy,14336.0,0.7,2,token_accuracy,0.9501953125,0.716796875,0.716796875,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0109061632033235,1.0,0.0530821971476897,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.518427218045626
base,1,A01_reverse,66560.0,0.7,2,token_accuracy,0.8557943105697632,0.2109375,0.2109375,token_accuracy,0.7,0.0283203125,A01_reverse,atomic,reverse,reverse,,0.0120540867248666,2.0,0.0752749154615973,1,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.418351529251082
base,1,A02_substitute,217600.0,0.7,2,token_accuracy,0.755859375,0.0,0.0,token_accuracy,0.7,0.0,A02_substitute,atomic,substitute,substitute,,0.018948519685711,1.5,0.0426733752056038,1,,4.99004999677094,0.0382486979166666,6,250112,217600.0,False,12.2904183895416,-3.9660294673540055
base,1,A03_copy,14336.0,0.7,2,token_accuracy,0.9508463740348816,0.7109375,0.7109375,token_accuracy,0.7,1.0,A03_copy,atomic,copy,copy,,0.280037251940008,1.0,0.1162344687252579,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-1.2728326420193892
base,1,A04_reverse,66560.0,0.7,2,token_accuracy,0.8512369990348816,0.21875,0.21875,token_accuracy,0.7,0.0283203125,A04_reverse,atomic,reverse,reverse,,0.0134641728018988,2.0,0.1679114697925501,1,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.307722987810365
base,1,A05_substitute,217600.0,0.7,2,token_accuracy,0.75390625,0.0,0.0,token_accuracy,0.7,0.0,A05_substitute,atomic,substitute,substitute,,0.0095362756947815,1.5,0.0,1,,4.99004999677094,0.0382486979166666,6,250112,217600.0,False,12.2904183895416,-4.65265225813101
base,1,A06_copy,14336.0,0.7,2,token_accuracy,0.9514974355697632,0.71875,0.71875,token_accuracy,0.7,1.0,A06_copy,atomic,copy,copy,,0.1352490775505667,1.0,0.1284501107688861,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-2.000637181607332
base,1,A07_reverse,66560.0,0.7,2,token_accuracy,0.8492838740348816,0.193359375,0.193359375,token_accuracy,0.7,0.0283203125,A07_reverse,atomic,reverse,reverse,,0.0142969842826973,2.0,0.031814849645611,1,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.2477066532784225
base,1,C00_reverse_then_substitute_06_04,66560.0,0.7,2,token_accuracy,0.8544921875,0.208984375,0.208984375,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.962742450075196
base,1,C01_substitute_then_reverse_03_04,66560.0,0.7,2,token_accuracy,0.8544921875,0.220703125,0.220703125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-3.579918448222423
base,1,C02_copy_then_substitute_00_07,66560.0,0.7,2,token_accuracy,0.8551432490348816,0.21484375,0.21484375,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.565101568744997
base,1,C03_reverse_then_substitute_06_01,66560.0,0.7,2,token_accuracy,0.8499349355697632,0.21875,0.21875,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.7284417211952756
base,1,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9527994990348816,0.724609375,0.724609375,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742
base,1,C05_copy_then_substitute_06_07,66560.0,0.7,2,token_accuracy,0.849609375,0.189453125,0.189453125,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.469581201628984
base,1,C06_reverse_then_substitute_02_00,189184.0,0.7,2,token_accuracy,0.7522786855697632,0.0,0.0,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,189184.0,False,12.150480651273064,-3.1541800847088486
base,1,C07_substitute_then_reverse_04_03,66560.0,0.7,2,token_accuracy,0.8544921875,0.20703125,0.20703125,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.426375545120905
base,1,K00_shortcut_for_A00_copy,14336.0,0.7,2,token_accuracy,0.9534505605697632,0.732421875,0.732421875,token_accuracy,0.7,1.0,K00_shortcut_for_A00_copy,shortcut,shortcut_identity,shortcut_identity,A00_copy,0.0163049692906072,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.116285353176716
base,1,K01_shortcut_for_A07_reverse,14336.0,0.7,2,token_accuracy,0.9567057490348816,0.75,0.75,token_accuracy,0.7,1.0,K01_shortcut_for_A07_reverse,shortcut,shortcut_identity,shortcut_identity,A07_reverse,0.0175299779461095,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.043842838115416
base,1,K02_shortcut_for_A04_reverse,14336.0,0.7,2,token_accuracy,0.9547526240348816,0.736328125,0.736328125,token_accuracy,0.7,1.0,K02_shortcut_for_A04_reverse,shortcut,shortcut_identity,shortcut_identity,A04_reverse,0.0362963425666403,1.0,0.0,2,shortcut_no_reuse,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-3.3160382985274692
base,1,S00_surface_rotate,,0.7,2,token_accuracy,0.3902994990348816,0.001953125,0.001953125,token_accuracy,0.7,0.03369140625,S00_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0206098816944667,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.8819846242967926
