condition,task_name,n,acquisition_rate,mean_residual_log_time,median_residual_log_time,mean_residual_time,positive_residual_rate,mean_observed_time,mean_predicted_time
base,C00_reverse_then_substitute_06_04,10,1.0,0.654860435372585,0.6546476810187958,30965.72028935128,1.0,64332.8,33367.07971064872
base,C01_substitute_then_reverse_03_04,10,1.0,0.2989365146933302,0.31240407716761887,16528.897675045486,1.0,63513.6,46984.70232495452
base,C02_copy_then_substitute_00_07,10,1.0,-0.22652407800590807,-0.19803971740538096,-16343.978444978426,0.0,64793.6,81137.57844497843
base,C03_reverse_then_substitute_06_01,10,1.0,0.7984983392933975,0.7845748429264976,36080.90740755491,1.0,65382.4,29301.49259244509
base,C04_substitute_then_reverse_07_01,10,1.0,-1.7746123626754309,-1.7580956139453363,-69067.76789776419,0.0,14105.6,83173.36789776418
base,C05_copy_then_substitute_06_07,10,1.0,-0.1875694515832876,-0.18094204752303789,-13028.386639527522,0.0,63923.2,76951.58663952751
base,C06_reverse_then_substitute_02_00,10,0.6,1.7268617033730045,1.7688518651279255,174940.568639344,1.0,212044.8,37104.231360656
base,C07_substitute_then_reverse_04_03,10,1.0,0.9522928421562803,0.9520800878024911,39550.566922355465,1.0,64332.8,24782.233077644534
batch_large,C00_reverse_then_substitute_06_04,10,1.0,-1.9995265454579905,-2.0180307136762323,-659028.2939199109,0.0,103680.0,762708.2939199109
batch_large,C01_substitute_then_reverse_03_04,10,1.0,-1.9994431943711803,-1.9497121211064457,-658977.0939199108,0.0,103731.2,762708.2939199109
batch_large,C02_copy_then_substitute_00_07,10,1.0,-1.985862826944033,-1.9497121211064457,-657594.6939199108,0.0,105113.6,762708.2939199109
batch_large,C03_reverse_then_substitute_06_01,10,1.0,-1.9926068809675876,-1.9497121211064457,-658209.0939199108,0.0,104499.2,762708.2939199109
batch_large,C04_substitute_then_reverse_07_01,10,1.0,-3.573988974466842,-3.545062072416128,-741306.6939199108,0.0,21401.6,762708.2939199109
batch_large,C05_copy_then_substitute_06_07,10,1.0,-2.0062750536281593,-1.983871417391339,-659693.8939199109,0.0,103014.4,762708.2939199109
batch_large,C06_reverse_then_substitute_02_00,10,0.0,-1.1139411250022437,-1.1139411250022437,-512340.29391991085,0.0,250368.0,762708.2939199109
batch_large,C07_substitute_then_reverse_04_03,10,1.0,-1.9921101421160672,-1.9497121211064457,-658260.2939199109,0.0,104448.0,762708.2939199109
