metric_family,threshold,stratum,predictor,n_configs_with_signal,sign_stability_rate,mean_time_spearman,min_time_spearman,max_time_spearman,per_config_values
token_accuracy,0.7,all,frequency,6,1.0,-0.06576248320915595,-0.07843238614027453,-0.04137411124416072,base:-0.065;batch_large:-0.078;batch_small:-0.061;lr_high:-0.041;lr_low:-0.071;wd_zero:-0.078
token_accuracy,0.7,all,reference_learnability,6,1.0,0.5370871655553482,0.41857472893119047,0.6570897828228033,base:0.521;batch_large:0.655;batch_small:0.450;lr_high:0.419;lr_low:0.657;wd_zero:0.520
token_accuracy,0.7,all,formal_utility,6,1.0,-0.15427295441835023,-0.2345752244406041,-0.08818499849477683,base:-0.160;batch_large:-0.088;batch_small:-0.194;lr_high:-0.235;lr_low:-0.092;wd_zero:-0.157
token_accuracy,0.7,true_tasks_atomic_composite,frequency,6,1.0,-0.08264289597161581,-0.12327393677099206,-0.022436833174682348,base:-0.097;batch_large:-0.034;batch_small:-0.123;lr_high:-0.109;lr_low:-0.022;wd_zero:-0.110
token_accuracy,0.7,true_tasks_atomic_composite,reference_learnability,6,1.0,0.36648862690409434,0.2800420767593442,0.47519637294897615,base:0.343;batch_large:0.474;batch_small:0.280;lr_high:0.285;lr_low:0.475;wd_zero:0.342
token_accuracy,0.7,true_tasks_atomic_composite,formal_utility,6,1.0,-0.33309011018252704,-0.3708299784485996,-0.3088803544357145,base:-0.336;batch_large:-0.309;batch_small:-0.340;lr_high:-0.371;lr_low:-0.314;wd_zero:-0.328
token_accuracy,0.7,kind=atomic,frequency,6,1.0,-0.317944280760504,-0.36729526480992564,-0.24357686842464435,base:-0.333;batch_large:-0.251;batch_small:-0.366;lr_high:-0.367;lr_low:-0.244;wd_zero:-0.347
token_accuracy,0.7,kind=atomic,reference_learnability,6,1.0,0.7306314957535895,0.5949017251193454,0.8871754188888448,base:0.699;batch_large:0.885;batch_small:0.616;lr_high:0.595;lr_low:0.887;wd_zero:0.701
token_accuracy,0.7,kind=atomic,formal_utility,6,1.0,-0.32681371260003617,-0.530259344183481,-0.08180227029805809,base:-0.391;batch_large:-0.082;batch_small:-0.497;lr_high:-0.530;lr_low:-0.085;wd_zero:-0.377
token_accuracy,0.7,kind=composite,frequency,6,0.0,0.36719612700833454,0.3507116783086971,0.3895262474043041,base:0.354;batch_large:0.381;batch_small:0.351;lr_high:0.372;lr_low:0.390;wd_zero:0.356
token_accuracy,0.7,kind=composite,reference_learnability,0,,,,,
token_accuracy,0.7,kind=composite,formal_utility,0,,,,,
