condition,model,term,coef_standardized
base,frequency_only,log_frequency,-0.6679356520940317
base,frequency_only,intercept,10.809240241513978
batch_large,learnability_only,reference_learnability,0.6829289459177541
batch_large,learnability_only,intercept,11.178896969051284
batch_small,frequency_only,log_frequency,-0.6554515273076408
batch_small,frequency_only,intercept,10.470307144021302
lr_high,frequency_only,log_frequency,-0.6336328902068625
lr_high,frequency_only,intercept,10.435272588051856
lr_low,learnability_only,reference_learnability,0.7045405143018924
lr_low,learnability_only,intercept,11.178162124053848
wd_zero,frequency_only,log_frequency,-0.664588059882188
wd_zero,frequency_only,intercept,10.79868245379704
