condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency,selected_model,parallel_pred_log_time,parallel_pred_time,parallel_residual_log_time,parallel_residual_time
base,0,C00_reverse_then_substitute_06_04,57856.0,0.7,2,token_accuracy,0.8636068105697632,0.251953125,0.251953125,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.5503747031855113,24488.920289351285
base,0,C01_substitute_then_reverse_03_04,57856.0,0.7,2,token_accuracy,0.859375,0.236328125,0.236328125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.20813109933433438,10871.297675045484
base,0,C02_copy_then_substitute_00_07,57856.0,0.7,2,token_accuracy,0.8616536855697632,0.228515625,0.228515625,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.565101568744997,frequency_only,11.303913816826073,81137.57844497843,-0.3381840889315608,-23281.578444978426
base,0,C03_reverse_then_substitute_06_01,57856.0,0.7,2,token_accuracy,0.8509114980697632,0.19921875,0.19921875,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.7284417211952756,frequency_only,10.2854278628013,29301.492592445087,0.6803018650932131,28554.507407554913
base,0,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9518229365348816,0.71875,0.71875,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742,frequency_only,11.328694501191604,83173.36789776418,-1.7580956139453363,-68837.36789776418
base,0,C05_copy_then_substitute_06_07,57856.0,0.7,2,token_accuracy,0.8616536855697632,0.244140625,0.244140625,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.469581201628984,frequency_only,11.250944753250835,76951.58663952752,-0.28521502535632237,-19095.586639527522
base,0,C06_reverse_then_substitute_02_00,,0.7,2,token_accuracy,0.6754557490348816,0.0,0.0,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.1541800847088486,frequency_only,10.521513245680739,37104.231360656006,1.9081548490424165,213007.768639344
base,0,C07_substitute_then_reverse_04_03,57856.0,0.7,2,token_accuracy,0.86328125,0.234375,0.234375,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-2.426375545120905,frequency_only,10.117922617925306,24782.23307764453,0.8478071099692066,33073.76692235547
base,1,C00_reverse_then_substitute_06_04,66560.0,0.7,2,token_accuracy,0.8544921875,0.208984375,0.208984375,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.6905190747116912,33192.920289351285
base,1,C01_substitute_then_reverse_03_04,66560.0,0.7,2,token_accuracy,0.8544921875,0.220703125,0.220703125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.34827547086051425,19575.297675045484
base,1,C02_copy_then_substitute_00_07,66560.0,0.7,2,token_accuracy,0.8551432490348816,0.21484375,0.21484375,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.565101568744997,frequency_only,11.303913816826073,81137.57844497843,-0.19803971740538096,-14577.578444978426
base,1,C03_reverse_then_substitute_06_01,66560.0,0.7,2,token_accuracy,0.8499349355697632,0.21875,0.21875,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.7284417211952756,frequency_only,10.2854278628013,29301.492592445087,0.820446236619393,37258.50740755491
base,1,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9527994990348816,0.724609375,0.724609375,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742,frequency_only,11.328694501191604,83173.36789776418,-1.7580956139453363,-68837.36789776418
base,1,C05_copy_then_substitute_06_07,66560.0,0.7,2,token_accuracy,0.849609375,0.189453125,0.189453125,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.469581201628984,frequency_only,11.250944753250835,76951.58663952752,-0.1450706538301425,-10391.586639527522
base,1,C06_reverse_then_substitute_02_00,189184.0,0.7,2,token_accuracy,0.7522786855697632,0.0,0.0,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,189184.0,False,12.150480651273064,-3.1541800847088486,frequency_only,10.521513245680739,37104.231360656006,1.6289674055923253,152079.768639344
base,1,C07_substitute_then_reverse_04_03,66560.0,0.7,2,token_accuracy,0.8544921875,0.20703125,0.20703125,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.426375545120905,frequency_only,10.117922617925306,24782.23307764453,0.9879514814953865,41777.76692235547
base,2,C00_reverse_then_substitute_06_04,61952.0,0.7,2,token_accuracy,0.8170573115348816,0.115234375,0.115234375,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.6187762873259004,28584.920289351285
base,2,C01_substitute_then_reverse_03_04,61952.0,0.7,2,token_accuracy,0.810546875,0.080078125,0.080078125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.2765326834747235,14967.297675045484
base,2,C02_copy_then_substitute_00_07,61952.0,0.7,2,token_accuracy,0.8121744990348816,0.0703125,0.0703125,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-4.565101568744997,frequency_only,11.303913816826073,81137.57844497843,-0.2697825047911717,-19185.578444978426
base,2,C03_reverse_then_substitute_06_01,61952.0,0.7,2,token_accuracy,0.8134765625,0.083984375,0.083984375,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.7284417211952756,frequency_only,10.2854278628013,29301.492592445087,0.7487034492336022,32650.507407554913
base,2,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9697265625,0.82421875,0.82421875,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742,frequency_only,11.328694501191604,83173.36789776418,-1.7580956139453363,-68837.36789776418
base,2,C05_copy_then_substitute_06_07,57856.0,0.7,2,token_accuracy,0.8203125,0.09375,0.09375,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,57856.0,False,10.965729727894512,-4.469581201628984,frequency_only,11.250944753250835,76951.58663952752,-0.28521502535632237,-19095.586639527522
base,2,C06_reverse_then_substitute_02_00,,0.7,2,token_accuracy,0.6451823115348816,0.0,0.0,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.1541800847088486,frequency_only,10.521513245680739,37104.231360656006,1.9081548490424165,213007.768639344
base,2,C07_substitute_then_reverse_04_03,61952.0,0.7,2,token_accuracy,0.8138021230697632,0.076171875,0.076171875,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-2.426375545120905,frequency_only,10.117922617925306,24782.23307764453,0.9162086941095957,37169.76692235547
base,3,C00_reverse_then_substitute_06_04,66560.0,0.7,2,token_accuracy,0.8369140625,0.16796875,0.16796875,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.6905190747116912,33192.920289351285
base,3,C01_substitute_then_reverse_03_04,66560.0,0.7,2,token_accuracy,0.8258463740348816,0.15234375,0.15234375,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.34827547086051425,19575.297675045484
base,3,C02_copy_then_substitute_00_07,66560.0,0.7,2,token_accuracy,0.837890625,0.19140625,0.19140625,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.565101568744997,frequency_only,11.303913816826073,81137.57844497843,-0.19803971740538096,-14577.578444978426
base,3,C03_reverse_then_substitute_06_01,66560.0,0.7,2,token_accuracy,0.8343099355697632,0.166015625,0.166015625,token_accuracy,0.7,0.0283203125,C03_reverse_then_substitute_06_01,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A01_reverse",0.065320998729833,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.7284417211952756,frequency_only,10.2854278628013,29301.492592445087,0.820446236619393,37258.50740755491
base,3,C04_substitute_then_reverse_07_01,14336.0,0.7,2,token_accuracy,0.9544271230697632,0.7265625,0.7265625,token_accuracy,0.7,1.0,C04_substitute_then_reverse_07_01,composite,substitute_then_reverse,substitute_then_reverse,"A07_reverse,A01_reverse",0.0099539167317642,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.609789163884742,frequency_only,11.328694501191604,83173.36789776418,-1.7580956139453363,-68837.36789776418
base,3,C05_copy_then_substitute_06_07,66560.0,0.7,2,token_accuracy,0.841796875,0.185546875,0.185546875,token_accuracy,0.7,0.0283203125,C05_copy_then_substitute_06_07,composite,copy_then_substitute,copy_then_substitute,"A06_copy,A07_reverse",0.0114521109717608,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.469581201628984,frequency_only,11.250944753250835,76951.58663952752,-0.1450706538301425,-10391.586639527522
base,3,C06_reverse_then_substitute_02_00,164608.0,0.7,2,token_accuracy,0.7932943105697632,0.00390625,0.00390625,token_accuracy,0.7,0.0,C06_reverse_then_substitute_02_00,composite,reverse_then_substitute,reverse_then_substitute,"A02_substitute,A00_copy",0.0426733752056038,3.0,0.0,2,,4.99004999677094,0.0382486979166666,6,250112,164608.0,False,12.011328243737609,-3.1541800847088486,frequency_only,10.521513245680739,37104.231360656006,1.48981499805687,127503.768639344
base,3,C07_substitute_then_reverse_04_03,66560.0,0.7,2,token_accuracy,0.8346354365348816,0.17578125,0.17578125,token_accuracy,0.7,0.0283203125,C07_substitute_then_reverse_04_03,composite,substitute_then_reverse,substitute_then_reverse,"A04_reverse,A03_copy",0.088356497064568,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.426375545120905,frequency_only,10.117922617925306,24782.23307764453,0.9879514814953865,41777.76692235547
base,4,C00_reverse_then_substitute_06_04,66560.0,0.7,2,token_accuracy,0.8473307490348816,0.20703125,0.20703125,token_accuracy,0.7,0.0283203125,C00_reverse_then_substitute_06_04,composite,reverse_then_substitute,reverse_then_substitute,"A06_copy,A04_reverse",0.0516770010672922,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-2.962742450075196,frequency_only,10.415355024709001,33367.079710648715,0.6905190747116912,33192.920289351285
base,4,C01_substitute_then_reverse_03_04,66560.0,0.7,2,token_accuracy,0.8518880605697632,0.20703125,0.20703125,token_accuracy,0.7,0.0283203125,C01_substitute_then_reverse_03_04,composite,substitute_then_reverse,substitute_then_reverse,"A03_copy,A04_reverse",0.0278779716606898,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-3.579918448222423,frequency_only,10.757598628560178,46984.70232495452,0.34827547086051425,19575.297675045484
base,4,C02_copy_then_substitute_00_07,66560.0,0.7,2,token_accuracy,0.8492838740348816,0.236328125,0.236328125,token_accuracy,0.7,0.0283203125,C02_copy_then_substitute_00_07,composite,copy_then_substitute,copy_then_substitute,"A00_copy,A07_reverse",0.0104088219420859,3.0,0.0,2,,4.990049996770939,0.0382486979166666,6,250112,66560.0,False,11.105874099420692,-4.565101568744997,frequency_only,11.303913816826073,81137.57844497843,-0.19803971740538096,-14577.578444978426
