condition,model,features,complexity,n_folds,n_errors,cv_rmse_log_time,cv_mae_log_time,cv_se_log_time
base,exposure_only,,0,8,80,1.233748436989172,1.0738787105266059,0.06833644623617112
base,frequency_only,log_frequency,1,8,80,1.0355034626398885,0.7408510553750305,0.08139660171497087
base,learnability_only,reference_learnability,2,8,80,1.0373566327011872,0.9391504070692218,0.049568428129466546
base,utility_only,formal_utility,3,8,80,1.342179187010066,1.1502046858842627,0.07782438446839551
base,freq_learn,"log_frequency,reference_learnability",4,8,80,1.5562645161600925,1.125614261693148,0.1209117147391621
base,freq_utility,"log_frequency,formal_utility",5,8,80,1.4404377234673469,1.042013676887499,0.11189214587470123
base,learn_utility,"reference_learnability,formal_utility",6,8,80,1.0808681470425343,0.9369264494841619,0.060634282355876826
base,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.7442417119365778,1.3817470888893526,0.1197652837425762
batch_large,exposure_only,,0,8,80,1.1381766285980803,1.0335798297582266,0.053623012890373
batch_large,frequency_only,log_frequency,1,8,80,0.9310280391281216,0.6496007756175074,0.07503855902977084
batch_large,learnability_only,reference_learnability,2,8,80,0.8809082355111968,0.7994651647710829,0.04162137500222562
batch_large,utility_only,formal_utility,3,8,80,1.2706037866727635,1.080690676162087,0.07518261692802083
batch_large,freq_learn,"log_frequency,reference_learnability",4,8,80,1.3240842067442018,0.9589762461747929,0.1027201892954113
batch_large,freq_utility,"log_frequency,formal_utility",5,8,80,1.2916392415841391,0.9234575820805146,0.10160472084231023
batch_large,learn_utility,"reference_learnability,formal_utility",6,8,80,0.9153420413246587,0.7944268603981575,0.051155881913602826
batch_large,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.4801669895133562,1.174619683194387,0.10133057298508404
batch_small,exposure_only,,0,8,80,1.2576104621364548,1.0515181824895528,0.07761423482653189
batch_small,frequency_only,log_frequency,1,8,80,1.0767091916533784,0.7947905782592493,0.08172279635645725
batch_small,learnability_only,reference_learnability,2,8,80,1.113264155415316,1.004069805997346,0.054098001134957156
batch_small,utility_only,formal_utility,3,8,80,1.3425283739272327,1.1525741695854788,0.07745600780026675
batch_small,freq_learn,"log_frequency,reference_learnability",4,8,80,1.6680490906665937,1.2025400585161559,0.1300576881028311
batch_small,freq_utility,"log_frequency,formal_utility",5,8,80,1.496348480679905,1.101701769692073,0.11392380233231923
batch_small,learn_utility,"reference_learnability,formal_utility",6,8,80,1.1646012715110918,1.0077537217659949,0.06567358464328875
batch_small,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.8749659407730497,1.4851642061953314,0.1287616068109835
lr_high,exposure_only,,0,8,80,1.197012685972138,1.0171330870092201,0.07100362387697097
lr_high,frequency_only,log_frequency,1,8,80,1.0162268304289535,0.7322503633637669,0.07927890011222342
lr_high,learnability_only,reference_learnability,2,8,80,1.0370437045130512,0.9330179101417946,0.05093272112627077
lr_high,utility_only,formal_utility,3,8,80,1.2877037588100686,1.1001046690386054,0.0753011412165811
lr_high,freq_learn,"log_frequency,reference_learnability",4,8,80,1.5506010519927984,1.1167335526613356,0.12103299031389586
lr_high,freq_utility,"log_frequency,formal_utility",5,8,80,1.4127071103087756,1.0260707836085525,0.1092506192400202
lr_high,learn_utility,"reference_learnability,formal_utility",6,8,80,1.081325680207022,0.9340414516350091,0.061297344740099714
lr_high,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.739509770981499,1.3774250405959982,0.11952408267894503
lr_low,exposure_only,,0,8,80,1.1551387365164287,1.0548874011978502,0.05295783746813575
lr_low,frequency_only,log_frequency,1,8,80,0.9403859775081482,0.6556265996104671,0.0758479114952551
lr_low,learnability_only,reference_learnability,2,8,80,0.880738947203059,0.7992811241249347,0.04162076796260045
lr_low,utility_only,formal_utility,3,8,80,1.2955663729288007,1.097002097001066,0.07754774975223225
lr_low,freq_learn,"log_frequency,reference_learnability",4,8,80,1.3236830439029184,0.9552776656565195,0.10309031202342768
lr_low,freq_utility,"log_frequency,formal_utility",5,8,80,1.3102022036659509,0.9294953327198769,0.10389065825519254
lr_low,learn_utility,"reference_learnability,formal_utility",6,8,80,0.9151867961895943,0.7971990436981555,0.050571488020315025
lr_low,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.4818210916047374,1.1787208715269575,0.10103332289939536
wd_zero,exposure_only,,0,8,80,1.2258827908169554,1.0668002702407413,0.06794690781383193
wd_zero,frequency_only,log_frequency,1,8,80,1.0276615648055027,0.7347907554444657,0.08083197430173926
wd_zero,learnability_only,reference_learnability,2,8,80,1.0306047196220733,0.9324818140558259,0.04937889604080077
wd_zero,utility_only,formal_utility,3,8,80,1.3354939928116376,1.1458983566819003,0.07716997194174527
wd_zero,freq_learn,"log_frequency,reference_learnability",4,8,80,1.5451516455473098,1.1157569508424623,0.1202623732092782
wd_zero,freq_utility,"log_frequency,formal_utility",5,8,80,1.4283835174586597,1.0335597420399132,0.11092440877941517
wd_zero,learn_utility,"reference_learnability,formal_utility",6,8,80,1.076633235629683,0.932753563604626,0.06049478622217979
wd_zero,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.7343902811516358,1.3730627868685552,0.11921729074905363
