analysis_threshold,composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
0.5,C06_reverse_then_substitute_01_05,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,1,0.2,0.2,-44032.0,0.0,-7424.0,0.1,0.06227213591337204,0.3,0.4696940243244171,0.4074218884110451
0.5,C06_reverse_then_substitute_01_05,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,1,0.2,0.2,-28416.0,0.0,-5862.4,0.1,0.06617838740348816,0.2,0.4696940243244171,0.40351563692092896
0.6,C06_reverse_then_substitute_01_05,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.44511720538139343,0.44511720538139343
0.6,C06_reverse_then_substitute_01_05,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.2093099072575569,0.8,0.44511720538139343,0.23580729812383652
0.6,C06_reverse_then_substitute_01_05,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.2093099072575569,0.8,0.44511720538139343,0.23580729812383652
0.6,C06_reverse_then_substitute_01_05,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,-0.1326822966337204,0.8,0.29202474653720856,0.42470704317092894
0.6,C06_reverse_then_substitute_01_05,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,-0.1320638045668602,0.8,0.29202474653720856,0.42408855110406873
0.6,C06_reverse_then_substitute_01_05,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,0,0.1,0.0,,,-1689.6,0.0,0.06227213591337204,0.3,0.4696940243244171,0.4074218884110451
0.6,C06_reverse_then_substitute_01_05,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,0,0.1,0.0,,,-1689.6,0.0,0.06617838740348816,0.2,0.4696940243244171,0.40351563692092896
0.7,C06_reverse_then_substitute_01_05,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.44511720538139343,0.44511720538139343
0.7,C06_reverse_then_substitute_01_05,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.2093099072575569,0.8,0.44511720538139343,0.23580729812383652
0.7,C06_reverse_then_substitute_01_05,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.2093099072575569,0.8,0.44511720538139343,0.23580729812383652
0.7,C06_reverse_then_substitute_01_05,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,-0.1326822966337204,0.8,0.29202474653720856,0.42470704317092894
0.7,C06_reverse_then_substitute_01_05,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,-0.1320638045668602,0.8,0.29202474653720856,0.42408855110406873
0.7,C06_reverse_then_substitute_01_05,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,0,0.0,0.0,,,0.0,0.0,0.06227213591337204,0.3,0.4696940243244171,0.4074218884110451
0.7,C06_reverse_then_substitute_01_05,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,0,0.0,0.0,,,0.0,0.0,0.06617838740348816,0.2,0.4696940243244171,0.40351563692092896
