condition,seed,n_tasks,total_samples,mae_frequency,max_abs_frequency_error,spearman_intended_realized
baseline,0,25,250112,0.00022694838270873033,0.0006802985543577986,1.0
baseline,1,25,250112,0.0003171780116479282,0.000785317315152162,0.9992307692307693
baseline,2,25,250112,0.00020490900771295611,0.0005258607591397194,1.0
baseline,3,25,250112,0.0002495887995124012,0.0012287408952018075,1.0
baseline,4,25,250112,0.0002594509159017243,0.0005660772600781239,1.0
baseline,5,25,250112,0.0002560578316758737,0.0011691453601880009,1.0
baseline,6,25,250112,0.00027856317860324185,0.0006681935269958125,1.0
baseline,7,25,250112,0.00035070889520845167,0.0011633980224330237,1.0
baseline,8,25,250112,0.00033488911703534094,0.0014060787056169866,1.0
baseline,9,25,250112,0.0003004619100824632,0.0006858613578823135,0.9992307692307693
corrupt_component_strong,0,25,250112,0.00024104601413760856,0.0006853620950907635,1.0
corrupt_component_strong,1,25,250112,0.00026744119474461176,0.001229186787055428,1.0
corrupt_component_strong,2,25,250112,0.0002398286502566835,0.0006897873200404359,1.0
corrupt_component_strong,3,25,250112,0.00024502802133565834,0.0009462846933345204,1.0
corrupt_component_strong,4,25,250112,0.00018720141624128467,0.0006224297803355539,1.0
corrupt_component_strong,5,25,250112,0.00023587211924652268,0.0006773656774858305,0.9992307692307693
corrupt_component_strong,6,25,250112,0.0002707148427729266,0.0013810504267181833,1.0
corrupt_component_strong,7,25,250112,0.0002175654526667209,0.000848911058968449,1.0
corrupt_component_strong,8,25,250112,0.00022258107084340478,0.0007675753509898409,1.0
corrupt_component_strong,9,25,250112,0.00025782765862415307,0.001071672254600288,1.0
corrupt_different_operation_matched_strong,0,25,250112,0.00024104601413760856,0.0006853620950907635,1.0
corrupt_different_operation_matched_strong,1,25,250112,0.00026744119474461176,0.001229186787055428,1.0
corrupt_different_operation_matched_strong,2,25,250112,0.0002398286502566835,0.0006897873200404359,1.0
corrupt_different_operation_matched_strong,3,25,250112,0.00024502802133565834,0.0009462846933345204,1.0
corrupt_different_operation_matched_strong,4,25,250112,0.00018720141624128467,0.0006224297803355539,1.0
corrupt_different_operation_matched_strong,5,25,250112,0.00023587211924652268,0.0006773656774858305,0.9992307692307693
corrupt_different_operation_matched_strong,6,25,250112,0.0002707148427729266,0.0013810504267181833,1.0
corrupt_different_operation_matched_strong,7,25,250112,0.0002175654526667209,0.000848911058968449,1.0
corrupt_different_operation_matched_strong,8,25,250112,0.00022258107084340478,0.0007675753509898409,1.0
corrupt_different_operation_matched_strong,9,25,250112,0.00025782765862415307,0.001071672254600288,1.0
