structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_bits,meta_degree
P00_parity_d2_16_39,B2_sparse_parity,atomic,0.021530885323787836,2.0,0.0,,,,parity_bits,"16,39",2
P01_parity_d2_0_4,B2_sparse_parity,atomic,0.009127702478964342,2.0,0.0,,,,parity_bits,"0,4",2
P02_parity_d3_20_25_39,B2_sparse_parity,atomic,0.012525471580457418,3.0,0.0,,,,parity_bits,"20,25,39",3
P03_parity_d2_15_29,B2_sparse_parity,atomic,0.02391078539228583,2.0,0.0,,,,parity_bits,"15,29",2
P04_parity_d3_31_37_39,B2_sparse_parity,atomic,0.011802251920676793,3.0,0.0,,,,parity_bits,"31,37,39",3
P05_parity_d2_26_37,B2_sparse_parity,atomic,0.0512538905037048,2.0,0.0,,,,parity_bits,"26,37",2
P06_parity_d2_26_28,B2_sparse_parity,atomic,0.009565181647463906,2.0,0.0,,,,parity_bits,"26,28",2
P07_parity_d2_5_34,B2_sparse_parity,atomic,0.016514027454716713,2.0,0.0,,,,parity_bits,"5,34",2
P08_parity_d3_21_27_32,B2_sparse_parity,atomic,0.01530711893218214,3.0,0.0,,,,parity_bits,"21,27,32",3
P09_parity_d3_16_18_28,B2_sparse_parity,atomic,0.08990015930921198,3.0,0.0,,,,parity_bits,"16,18,28",3
P10_parity_d2_21_36,B2_sparse_parity,atomic,0.010044513172044852,2.0,0.0,,,,parity_bits,"21,36",2
P11_parity_d2_22_26,B2_sparse_parity,atomic,0.14043030732945613,2.0,0.0,,,,parity_bits,"22,26",2
P12_parity_d2_12_28,B2_sparse_parity,atomic,0.301018953463054,2.0,0.0,,,,parity_bits,"12,28",2
P13_parity_d2_13_19,B2_sparse_parity,atomic,0.01956565858176144,2.0,0.0,,,,parity_bits,"13,19",2
P14_parity_d2_13_15,B2_sparse_parity,atomic,0.06551305487501785,2.0,0.0,,,,parity_bits,"13,15",2
P15_parity_d3_8_10_28,B2_sparse_parity,atomic,0.01115477581227952,3.0,0.0,,,,parity_bits,"8,10,28",3
P16_parity_d3_3_14_33,B2_sparse_parity,atomic,0.013338286081964522,3.0,0.0,,,,parity_bits,"3,14,33",3
P17_parity_d3_9_12_31,B2_sparse_parity,atomic,0.0419399072899548,3.0,0.0,,,,parity_bits,"9,12,31",3
P18_parity_d3_2_13_26,B2_sparse_parity,atomic,0.014258106706174169,3.0,0.0,,,,parity_bits,"2,13,26",3
P19_parity_d3_17_32_35,B2_sparse_parity,atomic,0.030562920787376463,3.0,0.0,,,,parity_bits,"17,32,35",3
P20_parity_d2_8_30,B2_sparse_parity,atomic,0.01791662294172023,2.0,0.0,,,,parity_bits,"8,30",2
P21_parity_d3_15_21_39,B2_sparse_parity,atomic,0.02684893609137357,3.0,0.0,,,,parity_bits,"15,21,39",3
P22_parity_d3_3_23_24,B2_sparse_parity,atomic,0.010571889553248351,3.0,0.0,,,,parity_bits,"3,23,24",3
P23_parity_d3_26_34_35,B2_sparse_parity,atomic,0.03539859277112228,3.0,0.0,,,,parity_bits,"26,34,35",3
