condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,20096,A_bit0,A_bit0,1.0
baseline,0,20096,A_bit0,B_bit1,0.07792133837938309
baseline,0,20096,A_bit0,C_xor23,0.5515113472938538
baseline,0,20096,A_bit0,D_eq45,0.7371848225593567
baseline,0,20096,A_bit0,AB_and,0.6276397109031677
baseline,0,20096,A_bit0,AC_xor,0.747800886631012
baseline,0,20096,A_bit0,A_shortcut_bit6,0.10940580070018768
baseline,0,20096,A_bit0,surface_control_78,0.7684463858604431
baseline,0,20096,A_bit0,U_unrelated_xor910,0.7251970171928406
baseline,0,20096,B_bit1,A_bit0,0.07792133837938309
baseline,0,20096,B_bit1,B_bit1,1.0
baseline,0,20096,B_bit1,C_xor23,0.23907527327537537
baseline,0,20096,B_bit1,D_eq45,0.2352394163608551
baseline,0,20096,B_bit1,AB_and,0.5471997857093811
baseline,0,20096,B_bit1,AC_xor,0.2549383044242859
baseline,0,20096,B_bit1,A_shortcut_bit6,0.11770173162221909
baseline,0,20096,B_bit1,surface_control_78,0.27044662833213806
baseline,0,20096,B_bit1,U_unrelated_xor910,0.3116702735424042
baseline,0,20096,C_xor23,A_bit0,0.5515115857124329
baseline,0,20096,C_xor23,B_bit1,0.23907522857189178
baseline,0,20096,C_xor23,C_xor23,1.0
baseline,0,20096,C_xor23,D_eq45,0.7634069919586182
baseline,0,20096,C_xor23,AB_and,0.5682451128959656
baseline,0,20096,C_xor23,AC_xor,0.8204156756401062
baseline,0,20096,C_xor23,A_shortcut_bit6,0.2111813724040985
baseline,0,20096,C_xor23,surface_control_78,0.7136815786361694
baseline,0,20096,C_xor23,U_unrelated_xor910,0.7545701861381531
baseline,0,20096,D_eq45,A_bit0,0.7371848225593567
baseline,0,20096,D_eq45,B_bit1,0.2352394461631775
baseline,0,20096,D_eq45,C_xor23,0.7634068727493286
baseline,0,20096,D_eq45,D_eq45,1.0
baseline,0,20096,D_eq45,AB_and,0.7074955105781555
baseline,0,20096,D_eq45,AC_xor,0.930370032787323
baseline,0,20096,D_eq45,A_shortcut_bit6,0.3208349645137787
baseline,0,20096,D_eq45,surface_control_78,0.917046070098877
baseline,0,20096,D_eq45,U_unrelated_xor910,0.9179586172103882
baseline,0,20096,AB_and,A_bit0,0.6276400089263916
baseline,0,20096,AB_and,B_bit1,0.5471998453140259
baseline,0,20096,AB_and,C_xor23,0.568245530128479
baseline,0,20096,AB_and,D_eq45,0.7074955105781555
baseline,0,20096,AB_and,AB_and,1.0
baseline,0,20096,AB_and,AC_xor,0.711194634437561
baseline,0,20096,AB_and,A_shortcut_bit6,0.1471547782421112
baseline,0,20096,AB_and,surface_control_78,0.7066731452941895
baseline,0,20096,AB_and,U_unrelated_xor910,0.7822378873825073
baseline,0,20096,AC_xor,A_bit0,0.747800886631012
baseline,0,20096,AC_xor,B_bit1,0.2549383044242859
baseline,0,20096,AC_xor,C_xor23,0.820415735244751
baseline,0,20096,AC_xor,D_eq45,0.9303702116012573
baseline,0,20096,AC_xor,AB_and,0.7111946940422058
baseline,0,20096,AC_xor,AC_xor,1.0
baseline,0,20096,AC_xor,A_shortcut_bit6,0.2660744786262512
baseline,0,20096,AC_xor,surface_control_78,0.917368471622467
baseline,0,20096,AC_xor,U_unrelated_xor910,0.9378266334533691
baseline,0,20096,A_shortcut_bit6,A_bit0,0.10940586030483246
baseline,0,20096,A_shortcut_bit6,B_bit1,0.11770173162221909
baseline,0,20096,A_shortcut_bit6,C_xor23,0.21118132770061493
baseline,0,20096,A_shortcut_bit6,D_eq45,0.32083508372306824
baseline,0,20096,A_shortcut_bit6,AB_and,0.14715474843978882
baseline,0,20096,A_shortcut_bit6,AC_xor,0.26607444882392883
baseline,0,20096,A_shortcut_bit6,A_shortcut_bit6,1.0
baseline,0,20096,A_shortcut_bit6,surface_control_78,0.2747899293899536
baseline,0,20096,A_shortcut_bit6,U_unrelated_xor910,0.2603018581867218
baseline,0,20096,surface_control_78,A_bit0,0.768446683883667
baseline,0,20096,surface_control_78,B_bit1,0.2704465985298157
baseline,0,20096,surface_control_78,C_xor23,0.713681697845459
baseline,0,20096,surface_control_78,D_eq45,0.9170461893081665
baseline,0,20096,surface_control_78,AB_and,0.7066728472709656
baseline,0,20096,surface_control_78,AC_xor,0.9173685908317566
baseline,0,20096,surface_control_78,A_shortcut_bit6,0.2747899293899536
baseline,0,20096,surface_control_78,surface_control_78,1.0
baseline,0,20096,surface_control_78,U_unrelated_xor910,0.9185333847999573
baseline,0,20096,U_unrelated_xor910,A_bit0,0.725197434425354
baseline,0,20096,U_unrelated_xor910,B_bit1,0.31167012453079224
baseline,0,20096,U_unrelated_xor910,C_xor23,0.7545703649520874
baseline,0,20096,U_unrelated_xor910,D_eq45,0.9179583787918091
baseline,0,20096,U_unrelated_xor910,AB_and,0.7822377681732178
baseline,0,20096,U_unrelated_xor910,AC_xor,0.9378266334533691
baseline,0,20096,U_unrelated_xor910,A_shortcut_bit6,0.2603018581867218
baseline,0,20096,U_unrelated_xor910,surface_control_78,0.9185337424278259
baseline,0,20096,U_unrelated_xor910,U_unrelated_xor910,1.0
