condition,seed,task_name,kind,acquired_at,threshold,patience,final_accuracy
baseline,0,AB_and,composite,4096.0,0.9,2,1.0
baseline,0,AC_xor,composite,,0.9,2,0.55078125
baseline,0,A_bit0,atomic,6016.0,0.9,2,1.0
baseline,0,A_shortcut_bit6,shortcut,12032.0,0.9,2,1.0
baseline,0,B_bit1,atomic,8064.0,0.9,2,1.0
baseline,0,C_xor23,atomic,,0.9,2,0.75
baseline,0,D_eq45,atomic,,0.9,2,0.63671875
baseline,0,U_unrelated_xor910,unrelated,,0.9,2,0.5517578125
baseline,0,surface_control_78,surface_control,,0.9,2,0.6298828125
