condition,seed,component,target_task,component_target_grad_cosine,component_target_cka
baseline,0,A_bit0,AB_and,0.4417642653855603,0.6021965742111206
baseline,0,A_bit0,AC_xor,0.1117268556762465,0.6759924292564392
baseline,1,A_bit0,AB_and,0.6921131859444335,0.6545410752296448
baseline,1,A_bit0,AC_xor,0.3494257585866582,0.6575555801391602
baseline,2,A_bit0,AB_and,0.548271380895003,0.6297562718391418
baseline,2,A_bit0,AC_xor,0.0958604418212106,0.576136589050293
baseline,3,A_bit0,AB_and,0.2922185376952337,0.6148914694786072
baseline,3,A_bit0,AC_xor,0.2673037498502421,0.7708884477615356
baseline,4,A_bit0,AB_and,0.5448578382091264,0.7741335034370422
baseline,4,A_bit0,AC_xor,0.411430336993262,0.503016471862793
