condition,seed,checkpoint_index,data_seen,checkpoint_fraction
base,0,0,0,0.0
base,0,1,249,0.000996
base,0,2,268,0.001072
base,0,3,287,0.001148
base,0,4,308,0.001232
base,0,5,330,0.00132
base,0,6,354,0.001416
base,0,7,379,0.001516
base,0,8,407,0.001628
base,0,9,436,0.001744
base,0,10,468,0.001872
base,0,11,502,0.002008
base,0,12,538,0.002152
base,0,13,577,0.002308
base,0,14,619,0.002476
base,0,15,664,0.002656
base,0,16,712,0.002848
base,0,17,763,0.003052
base,0,18,818,0.003272
base,0,19,877,0.003508
base,0,20,941,0.003764
base,0,21,1009,0.004036
base,0,22,1082,0.004328
base,0,23,1160,0.00464
base,0,24,1244,0.004976
base,0,25,1334,0.005336
base,0,26,1430,0.00572
base,0,27,1533,0.006132
base,0,28,1644,0.006576
base,0,29,1763,0.007052
base,0,30,1891,0.007564
base,0,31,2027,0.008108
base,0,32,2174,0.008696
base,0,33,2331,0.009324
base,0,34,2499,0.009996
base,0,35,2680,0.01072
base,0,36,2874,0.011496
base,0,37,3082,0.012328
base,0,38,3304,0.013216
base,0,39,3543,0.014172
base,0,40,3799,0.015196
base,0,41,4074,0.016296
base,0,42,4368,0.017472
base,0,43,4684,0.018736
base,0,44,5023,0.020092
base,0,45,5386,0.021544
base,0,46,5775,0.0231
base,0,47,6192,0.024768
base,0,48,6640,0.02656
base,0,49,7120,0.02848
base,0,50,7634,0.030536
base,0,51,8186,0.032744
base,0,52,8777,0.035108
base,0,53,9412,0.037648
base,0,54,10092,0.040368
base,0,55,10821,0.043284
base,0,56,11603,0.046412
base,0,57,12442,0.049768
base,0,58,13341,0.053364
base,0,59,14305,0.05722
base,0,60,15339,0.061356
base,0,61,16448,0.065792
base,0,62,17637,0.070548
base,0,63,18911,0.075644
base,0,64,20278,0.081112
base,0,65,21743,0.086972
base,0,66,23315,0.09326
base,0,67,24999,0.099996
base,0,68,26806,0.107224
base,0,69,28743,0.114972
base,0,70,30821,0.123284
base,0,71,33048,0.132192
base,0,72,35436,0.141744
base,0,73,37997,0.151988
base,0,74,40743,0.162972
base,0,75,43688,0.174752
base,0,76,46845,0.18738
base,0,77,50230,0.20092
base,0,78,53860,0.21544
base,0,79,57753,0.231012
base,0,80,61926,0.247704
base,0,81,66402,0.265608
base,0,82,71200,0.2848
base,0,83,76346,0.305384
base,0,84,81863,0.327452
base,0,85,87779,0.351116
base,0,86,94123,0.376492
base,0,87,100925,0.4037
base,0,88,108219,0.432876
base,0,89,116039,0.464156
base,0,90,124425,0.4977
base,0,91,133417,0.533668
base,0,92,143059,0.572236
base,0,93,153397,0.613588
base,0,94,164483,0.657932
base,0,95,176370,0.70548
base,0,96,189115,0.75646
base,0,97,202782,0.811128
base,0,98,217437,0.869748
base,0,99,233150,0.9326
base,0,100,249999,0.999996
base,1,0,0,0.0
base,1,1,249,0.000996
base,1,2,268,0.001072
base,1,3,287,0.001148
base,1,4,308,0.001232
base,1,5,330,0.00132
base,1,6,354,0.001416
base,1,7,379,0.001516
base,1,8,407,0.001628
base,1,9,436,0.001744
base,1,10,468,0.001872
base,1,11,502,0.002008
base,1,12,538,0.002152
base,1,13,577,0.002308
base,1,14,619,0.002476
base,1,15,664,0.002656
