condition,model,features,complexity,n_folds,n_errors,cv_rmse_log_time,cv_mae_log_time,cv_se_log_time
base,exposure_only,,0,8,80,1.4751332721002528,1.4037616204281362,0.050999067188065274
base,frequency_only,log_frequency,1,8,80,1.25607359346637,1.0232289723983232,0.08196351011568156
base,learnability_only,reference_learnability,2,8,80,0.9189955140896012,0.8252043379156013,0.045505675762575665
base,utility_only,formal_utility,3,8,80,1.7121125044448282,1.5700059598664566,0.07683703895382588
base,freq_learn,"log_frequency,reference_learnability",4,8,80,0.9920227083380936,0.9159811497767102,0.042855008290714855
base,freq_utility,"log_frequency,formal_utility",5,8,80,1.4178646177924368,1.274769827053554,0.06983723956924756
base,learn_utility,"reference_learnability,formal_utility",6,8,80,0.9688231694166655,0.8436576357422382,0.053587752149252744
base,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.7653854975017096,1.4057223137680461,0.1201544750118226
batch_large,exposure_only,,0,8,80,1.3478864027056006,1.2983128267231223,0.04074955285378033
batch_large,frequency_only,log_frequency,1,8,80,1.1751772195311367,0.9704521368856384,0.07456745712619026
batch_large,learnability_only,reference_learnability,2,8,80,0.7254183988194203,0.652562290623039,0.035648478974519476
batch_large,utility_only,formal_utility,3,8,80,1.5970131690047598,1.4706173851948443,0.07005744192322923
batch_large,freq_learn,"log_frequency,reference_learnability",4,8,80,0.7813990026810526,0.7282215929180668,0.03187747766470092
batch_large,freq_utility,"log_frequency,formal_utility",5,8,80,1.3103647238135088,1.146719604619609,0.07134244904256618
batch_large,learn_utility,"reference_learnability,formal_utility",6,8,80,0.7661897781284739,0.667560602904321,0.042308334391339034
batch_large,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.4053923007567806,1.1247370145589781,0.09480787815816302
batch_small,exposure_only,,0,8,80,1.5337649372575675,1.4061063563977754,0.06892481661233545
batch_small,frequency_only,log_frequency,1,8,80,1.303416404355036,1.110313844192802,0.07681125070344841
batch_small,learnability_only,reference_learnability,2,8,80,1.1447353468778094,1.03040476178831,0.05610625557706483
batch_small,utility_only,formal_utility,3,8,80,1.7013960804335675,1.5426110181989388,0.08074807432323472
batch_small,freq_learn,"log_frequency,reference_learnability",4,8,80,1.2340304151230121,1.1476993831300804,0.051017146709449616
batch_small,freq_utility,"log_frequency,formal_utility",5,8,80,1.5989851319332422,1.381065258465518,0.09066646373168727
batch_small,learn_utility,"reference_learnability,formal_utility",6,8,80,1.206447809654379,1.0520674086452708,0.06643455760468371
batch_small,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,2.2154071913312343,1.765773916299446,0.15052950843725904
lr_high,exposure_only,,0,8,80,1.5481726475397841,1.4289274345189638,0.06703531408933397
lr_high,frequency_only,log_frequency,1,8,80,1.314658371906299,1.0927742602531434,0.08222930665403907
lr_high,learnability_only,reference_learnability,2,8,80,1.1372020305811317,1.0280453345362996,0.054697239013002566
lr_high,utility_only,formal_utility,3,8,80,1.7310565101134199,1.5656553661720494,0.08307994591018625
lr_high,freq_learn,"log_frequency,reference_learnability",4,8,80,1.2261045142626468,1.1408943028151284,0.05052790552456165
lr_high,freq_utility,"log_frequency,formal_utility",5,8,80,1.5966340231296976,1.389081250142469,0.0885676087544453
lr_high,learn_utility,"reference_learnability,formal_utility",6,8,80,1.2010044327759657,1.0446040964457517,0.06667642716657562
lr_high,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,2.198875296472243,1.7615855724225598,0.14806211664594762
lr_low,exposure_only,,0,8,80,1.3625248197990913,1.3094835003366776,0.04235576372156842
lr_low,frequency_only,log_frequency,1,8,80,1.182126868441969,0.968198703203981,0.07630843510672516
lr_low,learnability_only,reference_learnability,2,8,80,0.7467673953042574,0.6682749014208909,0.0374960249066828
lr_low,utility_only,formal_utility,3,8,80,1.6075927165381914,1.4804246801050938,0.07050425149245289
lr_low,freq_learn,"log_frequency,reference_learnability",4,8,80,0.8090992819762701,0.7514022530889718,0.03375944352594436
lr_low,freq_utility,"log_frequency,formal_utility",5,8,80,1.3144300773710307,1.1550073816345292,0.07059282215702381
lr_low,learn_utility,"reference_learnability,formal_utility",6,8,80,0.7879136686351929,0.6889880547006969,0.04300477007718291
lr_low,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.4484144306326774,1.1501854304364272,0.09904466697741861
wd_zero,exposure_only,,0,8,80,1.4646188756377345,1.3903507653190412,0.05180699335167489
wd_zero,frequency_only,log_frequency,1,8,80,1.2474978705713753,1.016478157533037,0.08136673443513294
wd_zero,learnability_only,reference_learnability,2,8,80,0.9299694233130599,0.8351967397615944,0.04601726893639954
wd_zero,utility_only,formal_utility,3,8,80,1.6955994502171112,1.5524608344138777,0.07671440156474645
wd_zero,freq_learn,"log_frequency,reference_learnability",4,8,80,1.0029061650483209,0.9264585849242376,0.04320912736326726
wd_zero,freq_utility,"log_frequency,formal_utility",5,8,80,1.41555454708391,1.2732546650673995,0.06959350632209163
wd_zero,learn_utility,"reference_learnability,formal_utility",6,8,80,0.9815299081444685,0.8544464818038829,0.05434560878177243
wd_zero,three_factor,"log_frequency,reference_learnability,formal_utility",7,8,80,1.7843930338587193,1.4255691775502175,0.12074720005152306
