metric_family,threshold,condition,stratum,n,n_tasks,acquisition_rate,mean_acquired_at,time_spearman_frequency,time_sign_ok_frequency,final_spearman_frequency,time_spearman_reference_learnability,time_sign_ok_reference_learnability,final_spearman_reference_learnability,time_spearman_formal_utility,time_sign_ok_formal_utility,final_spearman_formal_utility
exact_match,0.2,base,all,250,25,0.32,13712.0,0.04891995904702286,False,0.2985491365844113,0.041344911529736156,True,0.2916976226918834,-0.024019223070763065,True,0.20909473687837069
exact_match,0.2,base,true_tasks_atomic_composite,160,16,0.5,13712.0,0.04891995904702286,False,0.44688372925427927,0.041344911529736156,True,0.29207445595112297,-0.024019223070763065,True,-0.017690863044342788
exact_match,0.2,base,kind=atomic,80,8,0.375,13696.0,0.10954451150103323,False,0.7310407160569985,,,0.5671999803370676,0.10954451150103323,False,0.3680214748478536
exact_match,0.2,base,kind=composite,80,8,0.625,13721.6,0.035355339059327376,False,0.29188302484846157,,,,,,
exact_match,0.2,base,kind=shortcut,30,3,0.0,,,,0.08757059186316526,,,,,,
exact_match,0.2,base,kind=surface_control,30,3,0.0,,,,0.0,,,,,,
exact_match,0.2,base,kind=unrelated,30,3,0.0,,,,,,,,,,
exact_match,0.2,batch_large,all,250,25,0.32,20768.0,0.026457848782989735,False,0.2567247651688358,0.07447377728293396,True,0.2734810514245278,-0.0604630143674337,True,0.18338369467932705
exact_match,0.2,batch_large,true_tasks_atomic_composite,160,16,0.5,20768.0,0.026457848782989735,False,0.4037156016804572,0.07447377728293396,True,0.28445425107423167,-0.0604630143674337,True,-0.03052458002488468
exact_match,0.2,batch_large,kind=atomic,80,8,0.375,20684.8,0.07661308776828737,False,0.7157662690803841,,,0.5672709570150485,0.07661308776828737,False,0.32625791496275125
exact_match,0.2,batch_large,kind=composite,80,8,0.625,20817.92,0.026300747580786956,False,0.2403783568678491,,,,,,
exact_match,0.2,batch_large,kind=shortcut,30,3,0.0,,,,-0.011922347495253997,,,,,,
exact_match,0.2,batch_large,kind=surface_control,30,3,0.0,,,,0.0,,,,,,
exact_match,0.2,batch_large,kind=unrelated,30,3,0.0,,,,,,,,,,
exact_match,0.2,batch_small,all,250,25,0.32,9958.4,0.03166237934306518,False,0.28916011547745224,0.01873171623163388,True,0.2918779412690271,-0.018136906252750287,True,0.18727745640326007
exact_match,0.2,batch_small,true_tasks_atomic_composite,160,16,0.5,9958.4,0.03166237934306518,False,0.4300944558215622,0.01873171623163388,True,0.2983894334556642,-0.018136906252750287,True,-0.026717860876880998
exact_match,0.2,batch_small,kind=atomic,80,8,0.375,9945.6,0.0,False,0.7438858753712653,,,0.567186463990189,0.0,False,0.35586471271363124
exact_match,0.2,batch_small,kind=composite,80,8,0.625,9966.08,0.06101970382851058,False,0.23340241355779284,,,,,,
exact_match,0.2,batch_small,kind=shortcut,30,3,0.0,,,,0.011880540594004188,,,,,,
exact_match,0.2,batch_small,kind=surface_control,30,3,0.0,,,,-0.12009611535381533,,,,,,
exact_match,0.2,batch_small,kind=unrelated,30,3,0.0,,,,0.16366341767699427,,,,,,
exact_match,0.2,lr_high,all,250,25,0.32,9980.8,0.028843007313953617,False,0.28879605678988074,-0.061429511683395124,False,0.2966424753615586,0.059478868928860805,False,0.1747394306621126
exact_match,0.2,lr_high,true_tasks_atomic_composite,160,16,0.5,9980.8,0.028843007313953617,False,0.4251598630501395,-0.061429511683395124,False,0.31625056944515606,0.059478868928860805,False,-0.06255505858446508
exact_match,0.2,lr_high,kind=atomic,80,8,0.375,10009.6,0.0,False,0.7466473692922603,,,0.5672033595747752,0.0,False,0.3340797369380747
exact_match,0.2,lr_high,kind=composite,80,8,0.625,9963.52,0.02946278254943948,False,0.25552685716525037,,,,,,
exact_match,0.2,lr_high,kind=shortcut,30,3,0.0,,,,0.13304703212334346,,,,,,
exact_match,0.2,lr_high,kind=surface_control,30,3,0.0,,,,-0.00727200611779588,,,,,,
exact_match,0.2,lr_high,kind=unrelated,30,3,0.0,,,,0.32732683535398854,,,,,,
exact_match,0.2,lr_low,all,250,25,0.32,20035.2,-0.004108240150088805,True,0.2713775482102446,0.014582805897635108,True,0.2849016662577821,-0.014119741095629017,True,0.18918766719826446
exact_match,0.2,lr_low,true_tasks_atomic_composite,160,16,0.5,20035.2,-0.004108240150088805,True,0.4083839075945597,0.014582805897635108,True,0.3012773201888969,-0.014119741095629017,True,-0.0547551863327026
exact_match,0.2,lr_low,kind=atomic,80,8,0.375,20019.2,0.0,False,0.689898857451409,,,0.5742519391563236,0.0,False,0.3249739648323405
exact_match,0.2,lr_low,kind=composite,80,8,0.625,20044.8,0.0,False,0.2957466709939741,,,,,,
exact_match,0.2,lr_low,kind=shortcut,30,3,0.0,,,,-0.054545880626893625,,,,,,
exact_match,0.2,lr_low,kind=surface_control,30,3,0.0,,,,0.0,,,,,,
