condition,seed,n,acquisition_rate,time_spearman_frequency,time_sign_ok_frequency,time_spearman_reference_learnability,time_sign_ok_reference_learnability,time_spearman_formal_utility,time_sign_ok_formal_utility
base,0,25,0.6,-0.45072053596003175,True,-0.6152919871009868,False,0.02916654513964843,False
base,1,25,0.6,-0.5087419670695065,True,-0.7249969430114078,False,-0.060342857376038096,True
base,2,25,0.6,-0.4447121197500051,True,-0.7095744096157617,False,-0.0155738330251099,True
base,3,25,0.32,,,,,,
base,4,25,0.6,-0.39178979073168885,True,-0.6873347641536723,False,0.1334505499662381,False
base,5,25,0.6,-0.5426178556694204,True,-0.769233891102556,False,-0.025749757865631235,True
base,6,25,0.6,-0.37747329090046644,True,-0.769233891102556,False,0.09714681376579055,False
base,7,25,0.6,-0.4748204717462696,True,-0.7493038407915596,False,0.021398078906252588,False
base,8,25,0.6,-0.5714852579592825,True,-0.7095744096157617,False,-0.1413624843817668,True
base,9,25,0.6,-0.33541019662496846,True,-0.7522288310651979,False,-0.002377182066028012,True
batch_large,0,25,0.6,-0.29364006844420665,True,-0.5910067860558127,False,0.010085529354020727,False
batch_large,1,25,0.6,-0.4973997010303021,True,-0.7882273205124957,False,0.05969262050669059,False
batch_large,2,25,0.6,-0.47892074434615933,True,-0.6123724356957944,False,-0.09224501099488172,True
batch_large,3,25,0.32,,,,,,
batch_large,4,25,0.32,,,,,,
batch_large,5,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
batch_large,6,25,0.6,-0.5937340304788586,True,-0.7882273205124957,False,-0.06320395112473122,True
batch_large,7,25,0.32,-0.08247860988423225,True,0.2927700218845599,True,-0.28347335475692037,True
batch_large,8,25,0.6,-0.5150937615412614,True,-0.6362798852329784,False,-0.1650325390479093,True
batch_large,9,25,0.6,-0.39123533796454596,True,-0.6362798852329784,False,-0.04213596741648747,True
batch_small,0,25,0.68,-0.3013704400847282,True,-0.7536712888295122,False,-0.17725966988020073,True
batch_small,1,25,0.64,-0.3250984432773414,True,-0.49639727679577017,False,-0.1304180075095833,True
batch_small,2,25,0.72,-0.06316936027106325,True,-0.411934058240876,False,-0.21915925259826483,True
batch_small,3,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
batch_small,4,25,0.6,-0.4507489358552088,True,-0.7484551991837488,False,-0.09224501099488172,True
batch_small,5,25,0.6,-0.5531918758223018,True,-0.8072182106899108,False,0.14522871565723117,False
batch_small,6,25,0.6,-0.5167933957168277,True,-0.822660553488554,False,-0.08973651996954093,True
batch_small,7,25,0.6,-0.4738076203490229,True,-0.6362798852329784,False,-0.1650325390479093,True
batch_small,8,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
batch_small,9,25,0.6,-0.4972491044733303,True,-0.6794336145864704,False,0.02240883914388081,False
lr_high,0,25,0.6,-0.47288392824095565,True,-0.7095744096157617,False,-0.0155738330251099,True
lr_high,1,25,0.72,-0.06425848717228846,True,-0.5387271318776916,False,-0.1226740470518589,True
lr_high,2,25,0.6,-0.40369533662408097,True,-0.8316320352807861,False,0.05301533975338856,False
lr_high,3,25,0.6,-0.49526803234395456,True,-0.6220166894101491,False,0.011794125865200428,False
lr_high,4,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
lr_high,5,25,0.6,-0.4749356901459776,True,-0.7551601239905991,False,0.03180920385203314,False
lr_high,6,25,0.72,-0.13230172673030344,True,-0.42512840015512915,False,-0.2567357162680539,True
lr_high,7,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
lr_high,8,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
lr_high,9,25,0.6,-0.5335143384082858,True,-0.7054158099788753,False,-0.15069691275925684,True
lr_low,0,25,0.6,-0.40369533662408097,True,-0.7169241683455053,False,-0.05301533975338856,True
lr_low,1,25,0.6,-0.4447121197500051,True,-0.7095744096157617,False,-0.0155738330251099,True
lr_low,2,25,0.6,-0.5426488617097117,True,-0.7140627569864099,False,-0.17712648029681516,True
lr_low,3,25,0.32,0.16903085094570333,False,0.06666666666666667,True,0.06454972243679027,False
lr_low,4,25,0.32,,,,,,
lr_low,5,25,0.6,-0.5386858422225407,True,-0.7882273205124957,False,-0.20248673230700923,True
lr_low,6,25,0.6,-0.49487165930539345,True,-0.7470178808339958,False,-0.05524071931577658,True
lr_low,7,25,0.32,,,,,,
lr_low,8,25,0.6,-0.22749709032946855,True,-0.6075304364080838,False,-0.11011239402585278,True
lr_low,9,25,0.32,,,,,,
wd_zero,0,25,0.6,-0.37354127745358656,True,-0.655273314642918,False,0.05969262050669059,False
wd_zero,1,25,0.6,-0.4619610965343794,True,-0.6873347641536723,False,-0.02320879129847619,True
wd_zero,2,25,0.6,-0.5516244317267062,True,-0.7249969430114078,False,-0.15898022039456192,True
wd_zero,3,25,0.4,-0.43519413988924455,True,-0.24900596027799862,False,-0.3212647026585895,True
wd_zero,4,25,0.6,-0.4531803232405455,True,-0.7076731463403723,False,0.09652206893344824,False
wd_zero,5,25,0.6,-0.4844341386364452,True,-0.783158281950012,False,-0.08256707101535934,True
wd_zero,6,25,0.6,-0.3944053188733077,True,-0.7484551991837488,False,0.03354364036177517,False
wd_zero,7,25,0.6,-0.5347968576325429,True,-0.7722362879205682,False,-0.11103862431867859,True
wd_zero,8,25,0.6,-0.5714852579592825,True,-0.7095744096157617,False,-0.1413624843817668,True
wd_zero,9,25,0.6,-0.35489770491281136,True,-0.7826237921249263,False,0.09645619455667132,False
