condition,predictor,n_boot,mean,ci_low,ci_high,expected_sign_rate
base,frequency,500,-0.43090945002231806,-0.4673205213658975,-0.3935256344689739,1.0
base,reference_learnability,500,-0.6747443437272613,-0.7185911100835213,-0.6360780318589653,0.0
base,formal_utility,500,-0.024531255905059664,-0.04838985728085648,-0.0028401457090944464,0.99
batch_large,frequency,500,-0.40757191380123786,-0.45527224286784357,-0.34482772554818764,1.0
batch_large,reference_learnability,500,-0.6131514348301019,-0.6756472068294775,-0.5081062521852453,0.0
batch_large,formal_utility,500,-0.04707722814361219,-0.07144720516011814,-0.020414095986930534,1.0
batch_small,frequency,500,-0.3724163584453398,-0.4551936734889887,-0.2783195457009914,1.0
batch_small,reference_learnability,500,-0.6373302781472414,-0.6943347677453304,-0.569872686930335,0.0
batch_small,formal_utility,500,-0.07596666855104146,-0.12877855684503772,-0.014735238846901597,0.986
lr_high,frequency,500,-0.3532983247539706,-0.4479145047623508,-0.24138892876983398,1.0
lr_high,reference_learnability,500,-0.6292121216863988,-0.6925342085208982,-0.5559058749764936,0.0
lr_high,formal_utility,500,-0.07240345782832766,-0.12748419279756656,-0.024988193102639555,1.0
lr_low,frequency,500,-0.36884544583348833,-0.426446834609154,-0.2668029398735452,1.0
lr_low,reference_learnability,500,-0.6032882527867578,-0.6589651881338654,-0.48133030297577456,0.0
lr_low,formal_utility,500,-0.05077267265301228,-0.07712141680812913,-0.02734355751311026,0.998
wd_zero,frequency,500,-0.43627372181495727,-0.476433283219385,-0.3929411519224757,1.0
wd_zero,reference_learnability,500,-0.6600137426020953,-0.7185224332744947,-0.5961851780912429,0.0
wd_zero,formal_utility,500,-0.04404016114240447,-0.100151740057803,0.004067947504657185,0.958
