condition,task_name,n,acquisition_rate,mean_residual_log_time,median_residual_log_time,mean_residual_time,positive_residual_rate,mean_observed_time,mean_predicted_time
base,C00_reverse_then_substitute_02_05,10,0.0,4.913165671498475,4.913165671498475,248274.8729524812,1.0,250112.0,1837.1270475187616
base,C01_substitute_then_reverse_01_03,10,1.0,1.9755009551176432,1.9990406349212728,11423.672952481238,1.0,13260.8,1837.1270475187616
base,C02_copy_then_substitute_04_07,10,0.9,4.390373970010124,4.32059078732875,150918.07295248125,1.0,152755.2,1837.1270475187616
base,C03_reverse_then_substitute_06_01,10,1.0,1.9833475150521864,1.9990406349212728,11526.072952481238,1.0,13363.2,1837.1270475187616
base,C04_substitute_then_reverse_03_07,10,1.0,1.9833475150521864,1.9990406349212728,11526.072952481238,1.0,13363.2,1837.1270475187616
base,C05_copy_then_substitute_07_06,10,1.0,1.9755009551176432,1.9990406349212728,11423.672952481238,1.0,13260.8,1837.1270475187616
base,C06_reverse_then_substitute_01_05,10,0.0,4.913165671498475,4.913165671498475,248274.8729524812,1.0,250112.0,1837.1270475187616
base,C07_substitute_then_reverse_07_03,10,1.0,1.9833475150521864,1.9990406349212728,11526.072952481238,1.0,13363.2,1837.1270475187616
batch_large,C00_reverse_then_substitute_02_05,10,0.0,4.54409489353093,4.5440948935309295,247707.6302440137,1.0,250368.0,2660.369755986279
batch_large,C01_substitute_then_reverse_01_03,10,1.0,2.0094736579367867,2.0406566909902617,17205.23024401372,1.0,19865.6,2660.369755986279
batch_large,C02_copy_then_substitute_04_07,10,0.7,4.369911501683926,4.404947556473124,210587.6302440137,1.0,213248.0,2660.369755986279
batch_large,C03_reverse_then_substitute_06_01,10,1.0,2.0094736579367867,2.0406566909902617,17205.23024401372,1.0,19865.6,2660.369755986279
batch_large,C04_substitute_then_reverse_03_07,10,1.0,2.0039169744458554,2.0406566909902617,17102.83024401372,1.0,19763.2,2660.369755986279
batch_large,C05_copy_then_substitute_07_06,10,1.0,2.0094736579367867,2.0406566909902617,17205.23024401372,1.0,19865.6,2660.369755986279
batch_large,C06_reverse_then_substitute_01_05,10,0.0,4.54409489353093,4.5440948935309295,247707.6302440137,1.0,250368.0,2660.369755986279
batch_large,C07_substitute_then_reverse_07_03,10,1.0,2.0172694162001554,2.0406566909902617,17358.83024401372,1.0,20019.2,2660.369755986279
batch_small,C00_reverse_then_substitute_02_05,10,0.0,4.921372247392212,4.921372247392212,248289.8959535858,1.0,250112.0,1822.10404641418
batch_small,C01_substitute_then_reverse_01_03,10,1.0,1.6609802941499194,1.647905078544592,7777.8959535858185,1.0,9600.0,1822.10404641418
batch_small,C02_copy_then_substitute_04_07,10,1.0,3.847317503237238,3.875094974985066,86945.89595358583,1.0,88768.0,1822.10404641418
batch_small,C03_reverse_then_substitute_06_01,10,1.0,1.6609802941499194,1.647905078544592,7777.8959535858185,1.0,9600.0,1822.10404641418
batch_small,C04_substitute_then_reverse_03_07,10,1.0,1.6609802941499194,1.647905078544592,7777.8959535858185,1.0,9600.0,1822.10404641418
batch_small,C05_copy_then_substitute_07_06,10,1.0,1.6675179019525828,1.647905078544592,7841.8959535858185,1.0,9664.0,1822.10404641418
batch_small,C06_reverse_then_substitute_01_05,10,0.2,4.85852913206745,4.921372247392212,234824.29595358582,1.0,236646.4,1822.10404641418
batch_small,C07_substitute_then_reverse_07_03,10,1.0,1.6609802941499194,1.647905078544592,7777.8959535858185,1.0,9600.0,1822.10404641418
lr_high,C00_reverse_then_substitute_02_05,10,0.0,5.001246020816369,5.001246020816369,248429.85040879025,1.0,250112.0,1682.1495912097078
lr_high,C01_substitute_then_reverse_01_03,10,1.0,1.724461450590476,1.7277788519687487,7764.250408790294,1.0,9446.4,1682.1495912097078
lr_high,C02_copy_then_substitute_04_07,10,1.0,3.9828015747218144,3.954497206157832,90426.6504087903,1.0,92108.8,1682.1495912097078
lr_high,C03_reverse_then_substitute_06_01,10,1.0,1.724461450590476,1.7277788519687487,7764.250408790294,1.0,9446.4,1682.1495912097078
lr_high,C04_substitute_then_reverse_03_07,10,1.0,1.724461450590476,1.7277788519687487,7764.250408790294,1.0,9446.4,1682.1495912097078
lr_high,C05_copy_then_substitute_07_06,10,1.0,1.724461450590476,1.7277788519687487,7764.250408790294,1.0,9446.4,1682.1495912097078
lr_high,C06_reverse_then_substitute_01_05,10,0.2,4.959513520275044,5.001246020816369,239009.05040879027,1.0,240691.2,1682.1495912097078
lr_high,C07_substitute_then_reverse_07_03,10,1.0,1.724461450590476,1.7277788519687487,7764.250408790294,1.0,9446.4,1682.1495912097078
lr_low,C00_reverse_then_substitute_02_05,10,0.0,4.583192251178369,4.58319225117837,247556.2918182224,1.0,250112.0,2555.7081817776298
lr_low,C01_substitute_then_reverse_01_03,10,1.0,2.011415520068708,2.0028194799079158,16567.49181822237,1.0,19123.2,2555.7081817776298
