condition,model,permutation_index,true_cv_rmse_log_time,permuted_cv_rmse_log_time,true_beats_permutation
base,learnability_only,0,0.9189955140896012,1.7218917012212653,True
base,learnability_only,1,0.9189955140896012,1.6707497579750608,True
base,learnability_only,2,0.9189955140896012,1.6596289674912625,True
base,learnability_only,3,0.9189955140896012,1.3133227729459778,True
base,learnability_only,4,0.9189955140896012,1.70933770952306,True
base,learnability_only,5,0.9189955140896012,0.7841623080886494,False
base,learnability_only,6,0.9189955140896012,1.7107320343898422,True
base,learnability_only,7,0.9189955140896012,1.7220214458297791,True
base,learnability_only,8,0.9189955140896012,1.617868375528749,True
base,learnability_only,9,0.9189955140896012,1.710732034389842,True
base,learnability_only,10,0.9189955140896012,1.721469173300639,True
base,learnability_only,11,0.9189955140896012,1.2760390272533542,True
base,learnability_only,12,0.9189955140896012,1.7093377095230597,True
base,learnability_only,13,0.9189955140896012,1.4707950601108153,True
base,learnability_only,14,0.9189955140896012,1.4323229743785328,True
base,learnability_only,15,0.9189955140896012,1.7093377095230595,True
base,learnability_only,16,0.9189955140896012,1.432322974378533,True
base,learnability_only,17,0.9189955140896012,1.710732034389842,True
base,learnability_only,18,0.9189955140896012,1.6637076484665663,True
base,learnability_only,19,0.9189955140896012,1.6646175989792227,True
base,learnability_only,20,0.9189955140896012,1.7408660427760643,True
base,learnability_only,21,0.9189955140896012,1.6640550114280879,True
base,learnability_only,22,0.9189955140896012,1.6564613596332305,True
base,learnability_only,23,0.9189955140896012,1.4349530740535168,True
base,learnability_only,24,0.9189955140896012,1.7220214458297793,True
base,learnability_only,25,0.9189955140896012,1.7387331607222525,True
base,learnability_only,26,0.9189955140896012,1.7107320343898422,True
base,learnability_only,27,0.9189955140896012,1.7093377095230597,True
base,learnability_only,28,0.9189955140896012,1.6640570684896625,True
base,learnability_only,29,0.9189955140896012,1.6178683755287493,True
base,learnability_only,30,0.9189955140896012,1.7093377095230597,True
base,learnability_only,31,0.9189955140896012,1.7107320343898422,True
base,learnability_only,32,0.9189955140896012,1.7217236757287844,True
base,learnability_only,33,0.9189955140896012,1.4349530740535168,True
base,learnability_only,34,0.9189955140896012,1.7100732035511814,True
base,learnability_only,35,0.9189955140896012,1.5398954114055268,True
base,learnability_only,36,0.9189955140896012,1.7214986309270304,True
base,learnability_only,37,0.9189955140896012,1.6573948857872893,True
base,learnability_only,38,0.9189955140896012,1.7100732035511814,True
base,learnability_only,39,0.9189955140896012,1.7220214458297793,True
base,learnability_only,40,0.9189955140896012,1.4375139494350244,True
base,learnability_only,41,0.9189955140896012,1.6596289674912625,True
base,learnability_only,42,0.9189955140896012,1.539895411405527,True
base,learnability_only,43,0.9189955140896012,1.3227351753247503,True
base,learnability_only,44,0.9189955140896012,1.7214986309270301,True
base,learnability_only,45,0.9189955140896012,1.432322974378533,True
base,learnability_only,46,0.9189955140896012,1.7408660427760645,True
base,learnability_only,47,0.9189955140896012,1.3319996424155702,True
base,learnability_only,48,0.9189955140896012,1.7408660427760643,True
base,learnability_only,49,0.9189955140896012,1.2546316468696788,True
base,learnability_only,50,0.9189955140896012,1.70933770952306,True
base,learnability_only,51,0.9189955140896012,1.7093377095230597,True
base,learnability_only,52,0.9189955140896012,1.4349530740535168,True
base,learnability_only,53,0.9189955140896012,1.6564613596332312,True
base,learnability_only,54,0.9189955140896012,1.534761043628826,True
base,learnability_only,55,0.9189955140896012,1.7100732035511819,True
base,learnability_only,56,0.9189955140896012,1.5398954114055272,True
base,learnability_only,57,0.9189955140896012,1.7100732035511819,True
base,learnability_only,58,0.9189955140896012,1.7209357981347322,True
base,learnability_only,59,0.9189955140896012,1.6564613596332312,True
base,learnability_only,60,0.9189955140896012,1.7397921851860134,True
base,learnability_only,61,0.9189955140896012,1.3133227729459778,True
base,learnability_only,62,0.9189955140896012,1.6614723869138504,True
base,learnability_only,63,0.9189955140896012,1.7387331607222525,True
base,learnability_only,64,0.9189955140896012,1.6614723869138504,True
base,learnability_only,65,0.9189955140896012,1.7387331607222523,True
base,learnability_only,66,0.9189955140896012,1.2585593175205645,True
base,learnability_only,67,0.9189955140896012,1.2721952072252163,True
base,learnability_only,68,0.9189955140896012,1.710732034389842,True
base,learnability_only,69,0.9189955140896012,1.7408660427760643,True
base,learnability_only,70,0.9189955140896012,1.650510818011611,True
base,learnability_only,71,0.9189955140896012,1.6637076484665663,True
base,learnability_only,72,0.9189955140896012,1.7270852472995464,True
base,learnability_only,73,0.9189955140896012,1.667442616778745,True
base,learnability_only,74,0.9189955140896012,1.6109560062126833,True
base,learnability_only,75,0.9189955140896012,1.70933770952306,True
base,learnability_only,76,0.9189955140896012,1.3227351753247503,True
base,learnability_only,77,0.9189955140896012,1.3319996424155702,True
base,learnability_only,78,0.9189955140896012,1.657394885787289,True
base,learnability_only,79,0.9189955140896012,1.6109560062126835,True
base,learnability_only,80,0.9189955140896012,1.7252897297828977,True
base,learnability_only,81,0.9189955140896012,1.664617598979223,True
base,learnability_only,82,0.9189955140896012,1.5398954114055272,True
base,learnability_only,83,0.9189955140896012,1.6144529126029845,True
base,learnability_only,84,0.9189955140896012,1.7387331607222523,True
base,learnability_only,85,0.9189955140896012,1.6144529126029845,True
base,learnability_only,86,0.9189955140896012,1.6646175989792227,True
base,learnability_only,87,0.9189955140896012,1.72149863092703,True
base,learnability_only,88,0.9189955140896012,1.7220214458297793,True
base,learnability_only,89,0.9189955140896012,1.7209357981347322,True
base,learnability_only,90,0.9189955140896012,1.6640570684896618,True
base,learnability_only,91,0.9189955140896012,1.434953074053516,True
base,learnability_only,92,0.9189955140896012,1.434953074053516,True
base,learnability_only,93,0.9189955140896012,1.656461359633231,True
base,learnability_only,94,0.9189955140896012,1.6109560062126833,True
base,learnability_only,95,0.9189955140896012,1.710732034389842,True
base,learnability_only,96,0.9189955140896012,1.7214691733006393,True
base,learnability_only,97,0.9189955140896012,0.784162308088649,False
base,learnability_only,98,0.9189955140896012,1.6637076484665665,True
base,learnability_only,99,0.9189955140896012,1.6707497579750603,True
batch_large,learnability_only,0,0.7254183988194203,1.5272618099458692,True
batch_large,learnability_only,1,0.7254183988194203,1.5827369900431112,True
batch_large,learnability_only,2,0.7254183988194203,1.2646158373912528,True
batch_large,learnability_only,3,0.7254183988194203,1.2612179906930545,True
batch_large,learnability_only,4,0.7254183988194203,1.2153744025892328,True
batch_large,learnability_only,5,0.7254183988194203,1.5828741249835638,True
batch_large,learnability_only,6,0.7254183988194203,1.4621683289974765,True
batch_large,learnability_only,7,0.7254183988194203,1.4666835205446034,True
batch_large,learnability_only,8,0.7254183988194203,1.2788305916108769,True
batch_large,learnability_only,9,0.7254183988194203,1.5813160651766842,True
batch_large,learnability_only,10,0.7254183988194203,1.5548239405501225,True
batch_large,learnability_only,11,0.7254183988194203,1.5739374289679315,True
batch_large,learnability_only,12,0.7254183988194203,1.535182653150915,True
batch_large,learnability_only,13,0.7254183988194203,1.554942766899495,True
batch_large,learnability_only,14,0.7254183988194203,1.573998855014314,True
batch_large,learnability_only,15,0.7254183988194203,1.5562582139502847,True
batch_large,learnability_only,16,0.7254183988194203,1.4333251407996925,True
batch_large,learnability_only,17,0.7254183988194203,1.535334485837149,True
batch_large,learnability_only,18,0.7254183988194203,1.5744343396222595,True
batch_large,learnability_only,19,0.7254183988194203,1.5548239405501225,True
batch_large,learnability_only,20,0.7254183988194203,1.5566582010364551,True
batch_large,learnability_only,21,0.7254183988194203,1.2153744025892326,True
batch_large,learnability_only,22,0.7254183988194203,1.5739374289679315,True
batch_large,learnability_only,23,0.7254183988194203,1.1948894020741108,True
batch_large,learnability_only,24,0.7254183988194203,1.4629843107318172,True
batch_large,learnability_only,25,0.7254183988194203,1.2643348030099157,True
batch_large,learnability_only,26,0.7254183988194203,1.5328710963438652,True
batch_large,learnability_only,27,0.7254183988194203,1.528101837315789,True
batch_large,learnability_only,28,0.7254183988194203,1.5379539913195095,True
batch_large,learnability_only,29,0.7254183988194203,1.5808010609751006,True
batch_large,learnability_only,30,0.7254183988194203,1.573998855014314,True
batch_large,learnability_only,31,0.7254183988194203,1.438781256252771,True
batch_large,learnability_only,32,0.7254183988194203,1.4629843107318177,True
batch_large,learnability_only,33,0.7254183988194203,1.5313336888396971,True
batch_large,learnability_only,34,0.7254183988194203,1.5314881755793792,True
batch_large,learnability_only,35,0.7254183988194203,1.227287928657703,True
batch_large,learnability_only,36,0.7254183988194203,1.4620488262053117,True
batch_large,learnability_only,37,0.7254183988194203,1.5344181973471995,True
batch_large,learnability_only,38,0.7254183988194203,1.5736389018486667,True
batch_large,learnability_only,39,0.7254183988194203,1.1945084412199016,True
batch_large,learnability_only,40,0.7254183988194203,1.5828741249835634,True
batch_large,learnability_only,41,0.7254183988194203,1.574481330643072,True
batch_large,learnability_only,42,0.7254183988194203,1.4629843107318172,True
batch_large,learnability_only,43,0.7254183988194203,1.4666835205446034,True
batch_large,learnability_only,44,0.7254183988194203,1.5556347895925557,True
batch_large,learnability_only,45,0.7254183988194203,1.536085598921796,True
batch_large,learnability_only,46,0.7254183988194203,1.2153744025892328,True
batch_large,learnability_only,47,0.7254183988194203,1.534238479910845,True
batch_large,learnability_only,48,0.7254183988194203,1.582359366129855,True
batch_large,learnability_only,49,0.7254183988194203,1.2005863654097724,True
batch_large,learnability_only,50,0.7254183988194203,1.2153744025892328,True
batch_large,learnability_only,51,0.7254183988194203,1.5272618099458692,True
batch_large,learnability_only,52,0.7254183988194203,1.4620488262053117,True
batch_large,learnability_only,53,0.7254183988194203,1.528101837315789,True
batch_large,learnability_only,54,0.7254183988194203,1.536085598921796,True
batch_large,learnability_only,55,0.7254183988194203,1.438781256252771,True
batch_large,learnability_only,56,0.7254183988194203,1.2788305916108769,True
batch_large,learnability_only,57,0.7254183988194203,1.5812000663820973,True
batch_large,learnability_only,58,0.7254183988194203,0.6643830281176822,False
batch_large,learnability_only,59,0.7254183988194203,1.5833315466181228,True
batch_large,learnability_only,60,0.7254183988194203,1.5743708907709433,True
