composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C06_reverse_then_substitute_05_07,upweight_component,upweight_same_operation_unrelated,earlier,exact_vs_same_operation,10,10,1.0,1.0,3763.2,0.3,3763.2,0.3,0.007812494039535522,0.8,0.7861653804779053,0.7783528864383698
C06_reverse_then_substitute_05_07,upweight_component,upweight_different_operation_matched,earlier,exact_vs_different_operation,10,10,1.0,1.0,3788.8,0.1,3788.8,0.1,0.006477862596511841,0.5,0.7861653804779053,0.7796875178813935
C06_reverse_then_substitute_05_07,upweight_component,upweight_fake_component,earlier,exact_vs_fake_component,10,10,1.0,1.0,10649.6,0.1,10649.6,0.1,0.0013346314430236817,0.4,0.7861653804779053,0.7848307490348816
C06_reverse_then_substitute_05_07,upweight_component,upweight_surface_control,earlier,exact_vs_surface,10,9,1.0,0.9,12686.222222222223,0.0,6707.2,0.1,0.018164050579071046,0.7,0.7861653804779053,0.7680013298988342
C06_reverse_then_substitute_05_07,upweight_same_operation_unrelated,upweight_different_operation_matched,earlier,operation_family_vs_different_operation,10,10,1.0,1.0,25.6,0.3,25.6,0.3,-0.0013346314430236817,0.3,0.7783528864383698,0.7796875178813935
C06_reverse_then_substitute_05_07,corrupt_component,corrupt_same_operation_unrelated,later,exact_corrupt_vs_same_operation,10,9,1.0,0.9,3128.8888888888887,0.3333333333333333,-4556.8,0.3,0.011621099710464478,0.3,0.7905924677848816,0.7789713680744171
C06_reverse_then_substitute_05_07,corrupt_component,corrupt_different_operation_matched,later,exact_corrupt_vs_different_operation,10,9,1.0,0.9,-1564.4444444444443,0.3333333333333333,-9958.4,0.3,0.00904948115348816,0.2,0.7905924677848816,0.7815429866313934
C06_reverse_then_substitute_05_07,delay_component,delay_same_operation_unrelated,later,exact_delay_vs_same_operation,10,10,1.0,1.0,-4787.2,0.2,-4787.2,0.2,-0.0015950560569763183,0.5,0.7863281428813934,0.7879231989383697
C06_reverse_then_substitute_05_07,delay_component,delay_different_operation_matched,later,exact_delay_vs_different_operation,10,10,1.0,1.0,-947.2,0.0,-947.2,0.0,-0.0034830689430236815,0.7,0.7863281428813934,0.7898112118244172
C06_reverse_then_substitute_05_07,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,2,0.5,0.5,-42624.0,1.0,-9984.0,0.5,0.09257813096046448,0.7,0.7625325739383697,0.6699544429779053
C06_reverse_then_substitute_05_07,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,5,0.5,1.0,204.8,0.4,34508.8,0.2,-0.02444661259651184,0.4,0.7625325739383697,0.7869791865348816
C06_reverse_then_substitute_05_07,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,5,0.5,1.0,32870.4,0.0,44492.8,0.0,-0.11702474355697631,0.0,0.6699544429779053,0.7869791865348816
C06_reverse_then_substitute_05_07,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,10,1.0,1.0,-13184.0,0.2,-13184.0,0.2,0.009960919618606567,0.1,0.7963867247104645,0.7864258050918579
C06_reverse_then_substitute_05_07,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,9,1.0,0.9,-7281.777777777777,0.2222222222222222,-13926.4,0.2,0.011783838272094727,0.2,0.7963867247104645,0.7846028864383697
C06_reverse_then_substitute_05_07,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,10,1.0,1.0,-10112.0,0.1,-10112.0,0.1,-0.003125011920928955,0.6,0.786035168170929,0.789160180091858
C06_reverse_then_substitute_05_07,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,10,1.0,1.0,-3251.2,0.0,-3251.2,0.0,-0.0036132872104644776,0.5,0.786035168170929,0.7896484553813934
