model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc
fake,accuracy,all,8,0.31999999999999995,0.11999999999999997,0.26,0.7244071573259107,0.7244071573259107,0.7244071573259107,-0.34474148980948305,-0.34474148980948305,-0.34474148980948305,0.8888888888888887,0.8888888888888887,0.8888888888888887,-0.2721655269759087,-0.2721655269759087,-0.2721655269759087
fake,accuracy,atomic,4,0.36,0.15999999999999998,0.28,,,,,,,,,,,,
fake,accuracy,composite,2,0.3,0.09999999999999998,0.25,,,,,,,,,,,,
fake,accuracy,true_atomic_composite,6,0.34,0.13999999999999999,0.27,0.8280786712108251,0.8280786712108251,0.8280786712108251,-0.840168050416806,-0.840168050416806,-0.840168050416806,0.8660254037844388,0.8660254037844388,0.8660254037844388,-1.0,-1.0,-1.0
fake,mean_correct_margin,all,8,-0.18000000000000002,0.11999999999999997,-0.24,0.7244071573259107,0.7244071573259107,0.7244071573259107,-0.34474148980948305,-0.34474148980948305,-0.34474148980948305,0.8888888888888887,0.8888888888888887,0.8888888888888887,-0.2721655269759087,-0.2721655269759087,-0.2721655269759087
fake,mean_correct_margin,atomic,4,-0.14,0.15999999999999998,-0.21999999999999997,,,,,,,,,,,,
fake,mean_correct_margin,composite,2,-0.2,0.09999999999999998,-0.25,,,,,,,,,,,,
fake,mean_correct_margin,true_atomic_composite,6,-0.16,0.13999999999999999,-0.22999999999999998,0.8280786712108251,0.8280786712108251,0.8280786712108251,-0.840168050416806,-0.840168050416806,-0.840168050416806,0.8660254037844388,0.8660254037844388,0.8660254037844388,-1.0,-1.0,-1.0
fake,mean_correct_mrr,all,8,0.32999999999999996,0.02999999999999997,0.315,0.7244071573259107,0.7244071573259107,0.7244071573259107,-0.34474148980948305,-0.34474148980948305,-0.34474148980948305,0.8888888888888887,0.8888888888888887,0.8888888888888887,-0.2721655269759087,-0.2721655269759087,-0.2721655269759087
fake,mean_correct_mrr,atomic,4,0.3399999999999999,0.039999999999999925,0.32,,,,,,,,,,,,
fake,mean_correct_mrr,composite,2,0.325,0.025000000000000022,0.3125,,,,,,,,,,,,
fake,mean_correct_mrr,true_atomic_composite,6,0.33499999999999996,0.034999999999999955,0.31750000000000006,0.8280786712108251,0.8280786712108251,0.8280786712108251,-0.840168050416806,-0.840168050416806,-0.840168050416806,0.8660254037844388,0.8660254037844388,0.8660254037844388,-1.0,-1.0,-1.0
fake,mean_logprob_correct,all,8,-2.68,0.11999999999999966,-2.74,0.7244071573259107,0.7244071573259107,0.7244071573259107,-0.34474148980948305,-0.34474148980948305,-0.34474148980948305,0.8888888888888887,0.8888888888888887,0.8888888888888887,-0.2721655269759087,-0.2721655269759087,-0.2721655269759087
fake,mean_logprob_correct,atomic,4,-2.64,0.1599999999999997,-2.72,,,,,,,,,,,,
fake,mean_logprob_correct,composite,2,-2.7,0.09999999999999964,-2.75,,,,,,,,,,,,
fake,mean_logprob_correct,true_atomic_composite,6,-2.66,0.13999999999999968,-2.7300000000000004,0.8280786712108251,0.8280786712108251,0.8280786712108251,-0.840168050416806,-0.840168050416806,-0.840168050416806,0.8660254037844388,0.8660254037844388,0.8660254037844388,-1.0,-1.0,-1.0
fake,mean_logprob_margin,all,8,0.2,0.2,0.10000000000000002,,,,,,,,,,,,
fake,mean_logprob_margin,atomic,4,0.2,0.2,0.10000000000000002,,,,,,,,,,,,
fake,mean_logprob_margin,composite,2,0.2,0.2,0.10000000000000002,,,,,,,,,,,,
fake,mean_logprob_margin,true_atomic_composite,6,0.19999999999999998,0.19999999999999998,0.10000000000000002,,,,,,,,,,,,
