model_name,slice_id,family,prompt_family,operation_type,composition_depth,component_ids,n_metrics,n_underperforming_metrics,n_outperforming_metrics,n_zero_metrics,underperforming_metric_rate,outperforming_metric_rate,mean_residual,median_residual,mean_residual_z,median_residual_z,max_abs_residual_z,verdict,underperforming_metrics,outperforming_metrics
EleutherAI/pythia-70m,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,3,2,0,0.6,0.4,0.40734358644112617,-0.1067795769294789,-0.7866052853995581,-1.0716956313374277,1.6242706693184286,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_sub_then_compare,arithmetic,arithmetic,sub_then_compare,2,arith_sub_small;arith_compare,5,3,2,0,0.6,0.4,0.48101569467910255,-0.0705960304737565,-0.2898729063550339,-0.7077374581876534,0.8013262435318023,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,3,2,0,0.6,0.4,0.4868789552205026,-0.0724841076839162,-0.2175388609909187,-0.4168217324611028,1.2586079456935215,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_reverse_then_last,string,string,reverse_then_last,2,word_reverse2;word_last,5,3,2,0,0.6,0.4,0.3523036795898252,-0.0538136384383535,-0.5719603614467221,-0.4056897150893889,1.6108066083444263,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_first_then_same,string,string,first_then_same,2,word_first;word_same,5,3,2,0,0.6,0.4,0.4857669966115184,-0.0587471848940759,-0.18636183720061114,-0.28508268033620227,0.6725560107994655,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,3,2,0,0.6,0.4,0.6588441532745282,-0.0176300919826312,0.41653404244372433,0.2775412057105765,1.6253285739711216,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_max_then_compare,arithmetic,arithmetic,max_then_compare,2,arith_max2;arith_compare,5,3,2,0,0.6,0.4,0.5490850374006795,-0.0050505612281938,0.3730434811541077,0.515072493338866,0.9753651729528497,consistent_underperforming_observational,accuracy;mean_correct_mrr;mean_logprob_margin,mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,2,3,0,0.4,0.6,0.5802222562743042,0.0590451776491383,0.07753297609587903,-0.09624757135887652,2.1655219643706576,consistent_outperforming_observational,accuracy;mean_correct_mrr,mean_correct_margin;mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-70m,comp_reverse_then_first,string,string,reverse_then_first,2,word_reverse2;word_first,5,2,3,0,0.4,0.6,0.37855192304094365,0.0086863615616464,-0.24506223938248395,0.12955404660273345,1.6115918499878845,consistent_outperforming_observational,mean_correct_mrr;mean_logprob_margin,accuracy;mean_correct_margin;mean_logprob_correct
EleutherAI/pythia-70m,comp_retrieve_then_compare,retrieval,retrieval,retrieve_then_compare,2,retrieval_number;arith_compare,5,2,3,0,0.4,0.6,0.7131642365080866,0.0924755931921256,1.4302909910816175,1.4040672095420295,2.4482161695907902,consistent_outperforming_observational,mean_correct_mrr;mean_logprob_margin,accuracy;mean_correct_margin;mean_logprob_correct
