condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,n_acquired,acquisition_rate,mean_acquired_at,median_acquired_at,mean_final_balanced_accuracy
baseline,A00_not_bit_1,atomic,0.0468049105436971,1.0,0.1092547095456778,2,2,1.0,61184.0,61184.0,0.9992865771055222
baseline,A01_xor2_39_25,atomic,0.0517749878469028,2.5,0.0,2,0,0.0,,,0.5478309988975525
baseline,A02_eq2_5_15,atomic,0.0196648466369015,2.0,0.0440508693982881,2,0,0.0,,,0.5953951627016068
baseline,A03_xor2_6_45,atomic,0.0095459444244095,2.5,0.0391060097412578,2,0,0.0,,,0.5223681107163429
baseline,A04_eq2_24_18,atomic,0.0463809109638101,2.0,0.0391060097412578,2,0,0.0,,,0.6255601346492767
baseline,A05_not_bit_2,atomic,0.0215513272661929,1.0,0.0293130311679343,2,1,0.5,110080.0,110080.0,0.929536134004593
baseline,A06_not_bit_13,atomic,0.0902650388937033,1.0,0.0,2,2,1.0,51200.0,51200.0,1.0
baseline,A07_and_bits_46_35,atomic,0.0253404499928473,2.0,0.1427086614317021,2,0,0.0,,,0.791048675775528
baseline,A08_and_bits_44_34,atomic,0.0084350795260895,2.0,0.0859204776362871,2,0,0.0,,,0.5796936713159084
baseline,A09_xor2_46_15,atomic,0.0074108845825482,2.5,0.054162020076227,2,0,0.0,,,0.604899562895298
baseline,A10_bit_24,atomic,0.032142279947262,1.0,0.0,2,2,1.0,88064.0,88064.0,0.9914886355400085
baseline,A11_xor2_37_21,atomic,0.0751425138066553,2.5,0.0357563421813404,2,0,0.0,,,0.6339354664087296
baseline,C00_or_02_00,composite,0.0342754226014713,3.0,0.0,2,0,0.0,,,0.7279147505760193
baseline,C01_or_07_09,composite,0.0098760795586063,3.5,0.0,2,0,0.0,,,0.6855218857526779
baseline,C02_and_07_08,composite,0.0859204776362871,3.0,0.0,2,0,0.0,,,0.5364884762093425
baseline,C03_and_00_05,composite,0.0179908649171388,2.0,0.0,2,1,0.5,116224.0,116224.0,0.8840581178665161
baseline,C04_or_07_00,composite,0.0371366574399918,3.0,0.0,2,2,1.0,77312.0,77312.0,0.9633450210094452
baseline,C05_and_11_09,composite,0.0357563421813404,3.5,0.0,2,0,0.0,,,0.5372102167457342
baseline,C06_or_02_07,composite,0.0097754467968167,3.0,0.0,2,0,0.0,,,0.6198615804314613
baseline,C07_or_09_00,composite,0.0085295983362802,3.5,0.0,2,0,0.0,,,0.697048507630825
baseline,C08_or_04_03,composite,0.0391060097412578,3.5,0.0,2,0,0.0,,,0.512929798103869
baseline,C09_or_00_05,composite,0.0113221662507954,2.0,0.0,2,0,0.0,,,0.8768408000469208
baseline,K00_shortcut_for_05_bit0,shortcut,0.0072009061062112,1.0,0.0,2,0,0.0,,,0.677335113286972
baseline,K01_shortcut_for_07_bit36,shortcut,0.0431388606391673,1.0,0.0,2,2,1.0,70144.0,70144.0,0.998296245932579
baseline,K02_shortcut_for_07_bit18,shortcut,0.0184388662115447,1.0,0.0,2,1,0.5,116224.0,116224.0,0.8523851931095123
baseline,K03_shortcut_for_09_bit15,shortcut,0.0551495848778366,1.0,0.0,2,2,1.0,70144.0,70144.0,0.9997527152299881
baseline,S00_surface_xor_12_29,surface_control,0.0255199749155109,2.0,0.0,2,0,0.0,,,0.5301493853330612
baseline,S01_surface_xor_41_9,surface_control,0.0107085043426673,2.0,0.0,2,0,0.0,,,0.4991179332137108
baseline,S02_surface_xor_7_46,surface_control,0.0065508946836681,2.0,0.0,2,0,0.0,,,0.5159789025783539
baseline,S03_surface_xor_42_12,surface_control,0.0398541675927075,2.0,0.0,2,0,0.0,,,0.5442881137132645
baseline,U00_or_bits_6_36,unrelated,0.0178977396143503,2.0,0.0,2,0,0.0,,,0.829587310552597
baseline,U01_eq2_22_31,unrelated,0.0288846734037789,2.0,0.0,2,0,0.0,,,0.5158265680074692
baseline,U02_eq2_21_40,unrelated,0.0152268725971667,2.0,0.0,2,0,0.0,,,0.5055300444364548
baseline,U03_and_bits_13_21,unrelated,0.0072807151243836,2.0,0.0,2,0,0.0,,,0.5939337722957134
