condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A02_eq2_5_15,A02_eq2_5_15,1.0
baseline,0,120320,A02_eq2_5_15,A03_xor2_6_45,0.7688567042350769
baseline,0,120320,A02_eq2_5_15,A04_eq2_24_18,0.7811733484268188
baseline,0,120320,A02_eq2_5_15,A05_not_bit_2,0.2275647222995758
baseline,0,120320,A02_eq2_5_15,A06_not_bit_13,0.14513085782527924
baseline,0,120320,A02_eq2_5_15,A07_and_bits_46_35,0.33175572752952576
baseline,0,120320,A02_eq2_5_15,A08_and_bits_44_34,0.5002962946891785
baseline,0,120320,A02_eq2_5_15,A09_xor2_46_15,0.7074398994445801
baseline,0,120320,A02_eq2_5_15,A10_bit_24,0.12631617486476898
baseline,0,120320,A02_eq2_5_15,A11_xor2_37_21,0.6889002919197083
baseline,0,120320,A02_eq2_5_15,C00_or_02_00,0.14625084400177002
baseline,0,120320,A02_eq2_5_15,C01_or_07_09,0.6109870076179504
baseline,0,120320,A02_eq2_5_15,C02_and_07_08,0.35871660709381104
baseline,0,120320,A02_eq2_5_15,C03_and_00_05,0.19538824260234833
baseline,0,120320,A02_eq2_5_15,C04_or_07_00,0.1294146478176117
baseline,0,120320,A02_eq2_5_15,C05_and_11_09,0.6955063939094543
baseline,0,120320,A02_eq2_5_15,C06_or_02_07,0.7267240285873413
baseline,0,120320,A02_eq2_5_15,C07_or_09_00,0.22011777758598328
baseline,0,120320,A02_eq2_5_15,C08_or_04_03,0.6776695251464844
baseline,0,120320,A02_eq2_5_15,C09_or_00_05,0.17951151728630066
baseline,0,120320,A02_eq2_5_15,K00_shortcut_for_05_bit0,0.7159109711647034
baseline,0,120320,A02_eq2_5_15,K01_shortcut_for_07_bit36,0.1989002376794815
baseline,0,120320,A02_eq2_5_15,K02_shortcut_for_07_bit18,0.34948423504829407
baseline,0,120320,A02_eq2_5_15,K03_shortcut_for_09_bit15,0.10022595524787903
baseline,0,120320,A02_eq2_5_15,S00_surface_xor_12_29,0.7726398706436157
baseline,0,120320,A02_eq2_5_15,S01_surface_xor_41_9,0.7485967874526978
baseline,0,120320,A02_eq2_5_15,S02_surface_xor_7_46,0.7681546211242676
baseline,0,120320,A02_eq2_5_15,S03_surface_xor_42_12,0.7898908257484436
baseline,0,120320,A02_eq2_5_15,U00_or_bits_6_36,0.33842411637306213
baseline,0,120320,A02_eq2_5_15,U01_eq2_22_31,0.7831258177757263
baseline,0,120320,A02_eq2_5_15,U02_eq2_21_40,0.748535692691803
baseline,0,120320,A02_eq2_5_15,U03_and_bits_13_21,0.2834024727344513
baseline,0,120320,A03_xor2_6_45,A00_not_bit_1,0.08792167156934738
baseline,0,120320,A03_xor2_6_45,A01_xor2_39_25,0.7192171812057495
baseline,0,120320,A03_xor2_6_45,A02_eq2_5_15,0.7688572406768799
baseline,0,120320,A03_xor2_6_45,A03_xor2_6_45,1.0
baseline,0,120320,A03_xor2_6_45,A04_eq2_24_18,0.7256782054901123
baseline,0,120320,A03_xor2_6_45,A05_not_bit_2,0.18236519396305084
baseline,0,120320,A03_xor2_6_45,A06_not_bit_13,0.12135838717222214
baseline,0,120320,A03_xor2_6_45,A07_and_bits_46_35,0.41143688559532166
baseline,0,120320,A03_xor2_6_45,A08_and_bits_44_34,0.5172020792961121
baseline,0,120320,A03_xor2_6_45,A09_xor2_46_15,0.6788763999938965
baseline,0,120320,A03_xor2_6_45,A10_bit_24,0.07840606570243835
baseline,0,120320,A03_xor2_6_45,A11_xor2_37_21,0.7313206791877747
baseline,0,120320,A03_xor2_6_45,C00_or_02_00,0.13423143327236176
baseline,0,120320,A03_xor2_6_45,C01_or_07_09,0.7076845765113831
baseline,0,120320,A03_xor2_6_45,C02_and_07_08,0.43570277094841003
baseline,0,120320,A03_xor2_6_45,C03_and_00_05,0.18185825645923615
baseline,0,120320,A03_xor2_6_45,C04_or_07_00,0.13063478469848633
baseline,0,120320,A03_xor2_6_45,C05_and_11_09,0.7097150683403015
baseline,0,120320,A03_xor2_6_45,C06_or_02_07,0.7523483633995056
baseline,0,120320,A03_xor2_6_45,C07_or_09_00,0.1933469921350479
baseline,0,120320,A03_xor2_6_45,C08_or_04_03,0.6036518812179565
baseline,0,120320,A03_xor2_6_45,C09_or_00_05,0.15101926028728485
baseline,0,120320,A03_xor2_6_45,K00_shortcut_for_05_bit0,0.6263301372528076
baseline,0,120320,A03_xor2_6_45,K01_shortcut_for_07_bit36,0.14307236671447754
baseline,0,120320,A03_xor2_6_45,K02_shortcut_for_07_bit18,0.5613869428634644
baseline,0,120320,A03_xor2_6_45,K03_shortcut_for_09_bit15,0.1008744165301323
baseline,0,120320,A03_xor2_6_45,S00_surface_xor_12_29,0.7988568544387817
baseline,0,120320,A03_xor2_6_45,S01_surface_xor_41_9,0.7829583883285522
baseline,0,120320,A03_xor2_6_45,S02_surface_xor_7_46,0.7840668559074402
baseline,0,120320,A03_xor2_6_45,S03_surface_xor_42_12,0.759587824344635
baseline,0,120320,A03_xor2_6_45,U00_or_bits_6_36,0.2507598400115967
baseline,0,120320,A03_xor2_6_45,U01_eq2_22_31,0.7699896097183228
baseline,0,120320,A03_xor2_6_45,U02_eq2_21_40,0.7588115334510803
baseline,0,120320,A03_xor2_6_45,U03_and_bits_13_21,0.2828137278556824
baseline,0,120320,A04_eq2_24_18,A00_not_bit_1,0.08465294539928436
baseline,0,120320,A04_eq2_24_18,A01_xor2_39_25,0.8005958199501038
baseline,0,120320,A04_eq2_24_18,A02_eq2_5_15,0.7811732292175293
baseline,0,120320,A04_eq2_24_18,A03_xor2_6_45,0.7256789207458496
