condition,seed,target_task,source_role,source_task,grad_cosine,linear_cka
baseline,0,C05_and_07_05,component,A07_bit_10,0.6641935665106291,0.4455190002918243
baseline,0,C05_and_07_05,control,U03_and_bits_37_42,0.0233232106816964,0.2915535867214203
baseline,0,C05_and_07_05,control,K01_shortcut_for_02_bit46,-0.4031797015661443,0.0808233767747879
baseline,0,C05_and_07_05,control,S02_surface_xor_8_39,-0.3494809305963156,0.1841383278369903
baseline,1,C05_and_07_05,component,A07_bit_10,0.3868701971402341,0.5228806734085083
baseline,1,C05_and_07_05,control,U03_and_bits_37_42,0.0793111790921306,0.2490550726652145
baseline,1,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.1674877623995827,0.0642594993114471
baseline,1,C05_and_07_05,control,S02_surface_xor_8_39,0.2970281146780896,0.3435074985027313
baseline,2,C05_and_07_05,component,A07_bit_10,0.6962199692572067,0.499971330165863
baseline,2,C05_and_07_05,control,U03_and_bits_37_42,0.2744651870632606,0.1303266137838363
baseline,2,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.5094548883380579,0.0655060559511184
baseline,2,C05_and_07_05,control,S02_surface_xor_8_39,0.2970556608859525,0.1322826892137527
baseline,3,C05_and_07_05,component,A07_bit_10,0.5963511899371973,0.429848164319992
baseline,3,C05_and_07_05,control,U03_and_bits_37_42,0.0873298488618734,0.1403627842664718
baseline,3,C05_and_07_05,control,K01_shortcut_for_02_bit46,-0.0010067204678235,0.0750398561358451
baseline,3,C05_and_07_05,control,S02_surface_xor_8_39,0.0498147263233703,0.256256490945816
baseline,4,C05_and_07_05,component,A07_bit_10,0.6970161600409059,0.3584523200988769
baseline,4,C05_and_07_05,control,U03_and_bits_37_42,0.3133264465147712,0.2425567209720611
baseline,4,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.5633692427651924,0.1072081699967384
baseline,4,C05_and_07_05,control,S02_surface_xor_8_39,0.5804447345356403,0.2164378017187118
corrupt_component,0,C05_and_07_05,component,A07_bit_10,0.5625912002878943,0.2612316012382507
corrupt_component,0,C05_and_07_05,control,U03_and_bits_37_42,-0.2173166145021399,0.3850794434547424
corrupt_component,0,C05_and_07_05,control,K01_shortcut_for_02_bit46,-0.0809404391780502,0.1019219309091568
corrupt_component,0,C05_and_07_05,control,S02_surface_xor_8_39,0.2082230986956086,0.273305743932724
corrupt_component,1,C05_and_07_05,component,A07_bit_10,0.4489278023265041,0.2641211748123169
corrupt_component,1,C05_and_07_05,control,U03_and_bits_37_42,0.1450745271582604,0.3794753551483154
corrupt_component,1,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.3396544224179598,0.1535935550928115
corrupt_component,1,C05_and_07_05,control,S02_surface_xor_8_39,0.3270717184645099,0.30780890583992
corrupt_component,2,C05_and_07_05,component,A07_bit_10,0.5796179679787283,0.1586430072784423
corrupt_component,2,C05_and_07_05,control,U03_and_bits_37_42,0.5272312832463888,0.232357308268547
corrupt_component,2,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.5022527706790155,0.0918506011366844
corrupt_component,2,C05_and_07_05,control,S02_surface_xor_8_39,0.561708993503832,0.1943864077329635
corrupt_component,3,C05_and_07_05,component,A07_bit_10,0.4293087944632739,0.3559845089912414
corrupt_component,3,C05_and_07_05,control,U03_and_bits_37_42,0.0154792681978775,0.1998662501573562
corrupt_component,3,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.3249763094699463,0.0679515600204467
corrupt_component,3,C05_and_07_05,control,S02_surface_xor_8_39,-0.2548768080273281,0.2765262722969055
corrupt_component,4,C05_and_07_05,component,A07_bit_10,0.4840488353931093,0.2452939450740814
corrupt_component,4,C05_and_07_05,control,U03_and_bits_37_42,0.546719040099295,0.3465391099452972
corrupt_component,4,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.5369779068553802,0.1162398979067802
corrupt_component,4,C05_and_07_05,control,S02_surface_xor_8_39,0.5441337362490678,0.2456443458795547
corrupt_unrelated_matched,0,C05_and_07_05,component,A07_bit_10,0.5608186057174879,0.4643888473510742
corrupt_unrelated_matched,0,C05_and_07_05,control,U03_and_bits_37_42,0.3739141255069954,0.2019064873456955
corrupt_unrelated_matched,0,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.086588513941911,0.0889400392770767
corrupt_unrelated_matched,0,C05_and_07_05,control,S02_surface_xor_8_39,0.3176236295806081,0.1944658160209655
corrupt_unrelated_matched,1,C05_and_07_05,component,A07_bit_10,0.4652478686457217,0.5367971062660217
corrupt_unrelated_matched,1,C05_and_07_05,control,U03_and_bits_37_42,-0.0065837632916926,0.2150604873895645
corrupt_unrelated_matched,1,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.1695690582767376,0.078981727361679
corrupt_unrelated_matched,1,C05_and_07_05,control,S02_surface_xor_8_39,0.0046694870761671,0.2087189555168151
corrupt_unrelated_matched,2,C05_and_07_05,component,A07_bit_10,0.7609518048695042,0.5233012437820435
corrupt_unrelated_matched,2,C05_and_07_05,control,U03_and_bits_37_42,0.5832246867377755,0.216140404343605
corrupt_unrelated_matched,2,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.4822976624061323,0.0710003301501274
corrupt_unrelated_matched,2,C05_and_07_05,control,S02_surface_xor_8_39,0.5071647128189825,0.1835302263498306
corrupt_unrelated_matched,3,C05_and_07_05,component,A07_bit_10,0.6846361718504653,0.4322780072689056
corrupt_unrelated_matched,3,C05_and_07_05,control,U03_and_bits_37_42,0.3362675223176544,0.2184134721755981
corrupt_unrelated_matched,3,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.1776989453093103,0.0424859188497066
corrupt_unrelated_matched,3,C05_and_07_05,control,S02_surface_xor_8_39,-0.2156108855424748,0.1925345659255981
corrupt_unrelated_matched,4,C05_and_07_05,component,A07_bit_10,0.7005410190445154,0.4798502326011657
corrupt_unrelated_matched,4,C05_and_07_05,control,U03_and_bits_37_42,-0.5467740753859763,0.2778271436691284
corrupt_unrelated_matched,4,C05_and_07_05,control,K01_shortcut_for_02_bit46,-0.1840866367682751,0.0788997337222099
corrupt_unrelated_matched,4,C05_and_07_05,control,S02_surface_xor_8_39,0.2912715709706959,0.253670334815979
delay_component,0,C05_and_07_05,component,A07_bit_10,0.3958989006017021,0.397940069437027
delay_component,0,C05_and_07_05,control,U03_and_bits_37_42,0.0604927746289066,0.2900132238864898
delay_component,0,C05_and_07_05,control,K01_shortcut_for_02_bit46,-0.2454745680589755,0.0865265280008316
delay_component,0,C05_and_07_05,control,S02_surface_xor_8_39,-0.1559210724843636,0.2130227982997894
delay_component,1,C05_and_07_05,component,A07_bit_10,0.690711248784796,0.4613075256347656
delay_component,1,C05_and_07_05,control,U03_and_bits_37_42,0.3468530314001664,0.2876178622245788
delay_component,1,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.2813958703087884,0.097217820584774
delay_component,1,C05_and_07_05,control,S02_surface_xor_8_39,-0.0326546312333812,0.3398017883300781
delay_component,2,C05_and_07_05,component,A07_bit_10,0.8015294810583276,0.5306240320205688
delay_component,2,C05_and_07_05,control,U03_and_bits_37_42,0.4593713352832961,0.1986419111490249
delay_component,2,C05_and_07_05,control,K01_shortcut_for_02_bit46,0.4861761877674221,0.0683220103383064
delay_component,2,C05_and_07_05,control,S02_surface_xor_8_39,0.4813409414304515,0.1893975585699081
delay_component,3,C05_and_07_05,component,A07_bit_10,0.2307526512710466,0.3977267742156982
delay_component,3,C05_and_07_05,control,U03_and_bits_37_42,0.2138217464542837,0.1583246439695358
