condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
upweight_component,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.6381562054157257,0.6396484375,0.6381562054157257
upweight_component,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5133954584598541,0.513671875,0.5133954584598541
upweight_component,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.8005006015300751,0.81787109375,0.8005006015300751
upweight_component,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5059155728667974,0.7568359375,0.5059155728667974
upweight_component,0,C02_and_05_06,composite,98304.0,0.9,2,balanced_accuracy,0.9715898633003235,0.97607421875,0.9715898633003235
upweight_component,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.5632914006710052,0.78173828125,0.5632914006710052
upweight_component,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.7609124481678009,0.7939453125,0.7609124481678009
upweight_component,0,C05_and_07_05,composite,82432.0,0.9,2,balanced_accuracy,0.9452332258224487,0.9736328125,0.9452332258224487
upweight_component,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5232559125870466,0.76318359375,0.5232559125870466
upweight_component,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.5204702038317919,0.88671875,0.5204702038317919
upweight_component,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.5762717798352242,0.751953125,0.5762717798352242
upweight_component,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5211189240217209,0.64599609375,0.5211189240217209
upweight_component,0,K00_shortcut_for_05_bit18,shortcut,,0.9,2,balanced_accuracy,0.6394075155258179,0.6396484375,0.6394075155258179
upweight_component,0,K01_shortcut_for_02_bit46,shortcut,90112.0,0.9,2,balanced_accuracy,0.97007817029953,0.97021484375,0.97007817029953
upweight_component,0,K02_shortcut_for_02_bit12,shortcut,,0.9,2,balanced_accuracy,0.8790559470653534,0.87890625,0.8790559470653534
upweight_component,0,K03_shortcut_for_09_bit29,shortcut,56320.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_component,0,S00_surface_xor_13_2,surface_control,,0.9,2,balanced_accuracy,0.5204876959323883,0.51708984375,0.5204876959323883
upweight_component,0,S01_surface_xor_9_46,surface_control,,0.9,2,balanced_accuracy,0.4911702424287796,0.4873046875,0.4911702424287796
upweight_component,0,S02_surface_xor_8_39,surface_control,,0.9,2,balanced_accuracy,0.5465153306722641,0.54345703125,0.5465153306722641
upweight_component,0,S03_surface_xor_21_47,surface_control,,0.9,2,balanced_accuracy,0.5350980907678604,0.533203125,0.5350980907678604
upweight_component,0,U00_xor2_12_37,unrelated,,0.9,2,balanced_accuracy,0.6116097867488861,0.6123046875,0.6116097867488861
upweight_component,0,U01_or_bits_46_28,unrelated,,0.9,2,balanced_accuracy,0.7341317236423492,0.796875,0.7341317236423492
upweight_component,0,U02_xor2_1_29,unrelated,,0.9,2,balanced_accuracy,0.5200562626123428,0.52099609375,0.5200562626123428
upweight_component,0,U03_and_bits_37_42,unrelated,,0.9,2,balanced_accuracy,0.5891927182674408,0.79296875,0.5891927182674408
upweight_unrelated_matched,0,A00_xor2_12_26,atomic,,0.9,2,balanced_accuracy,0.5634294152259827,0.5634765625,0.5634294152259827
upweight_unrelated_matched,0,A01_and_bits_31_32,atomic,,0.9,2,balanced_accuracy,0.7263398915529251,0.8408203125,0.7263398915529251
upweight_unrelated_matched,0,A02_or_bits_19_44,atomic,,0.9,2,balanced_accuracy,0.8136764764785767,0.89892578125,0.8136764764785767
upweight_unrelated_matched,0,A03_xor2_18_17,atomic,,0.9,2,balanced_accuracy,0.5139126926660538,0.513671875,0.5139126926660538
upweight_unrelated_matched,0,A04_bit_8,atomic,114176.0,0.9,2,balanced_accuracy,0.908787339925766,0.9091796875,0.908787339925766
upweight_unrelated_matched,0,A05_not_bit_33,atomic,70144.0,0.9,2,balanced_accuracy,0.9990138113498688,0.9990234375,0.9990138113498688
upweight_unrelated_matched,0,A06_or_bits_46_41,atomic,92160.0,0.9,2,balanced_accuracy,0.9977703094482422,0.99853515625,0.9977703094482422
upweight_unrelated_matched,0,A07_bit_10,atomic,82432.0,0.9,2,balanced_accuracy,0.9965583384037018,0.99658203125,0.9965583384037018
upweight_unrelated_matched,0,A08_bit_22,atomic,,0.9,2,balanced_accuracy,0.8457163274288177,0.84423828125,0.8457163274288177
upweight_unrelated_matched,0,A09_xor2_22_5,atomic,,0.9,2,balanced_accuracy,0.5810185670852661,0.58203125,0.5810185670852661
upweight_unrelated_matched,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.5865083783864975,0.58203125,0.5865083783864975
upweight_unrelated_matched,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5116582810878754,0.51123046875,0.5116582810878754
upweight_unrelated_matched,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.8078472316265106,0.82275390625,0.8078472316265106
upweight_unrelated_matched,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5265475288033485,0.74951171875,0.5265475288033485
upweight_unrelated_matched,0,C02_and_05_06,composite,92160.0,0.9,2,balanced_accuracy,0.9631052017211914,0.9658203125,0.9631052017211914
upweight_unrelated_matched,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.6190015375614166,0.79052734375,0.6190015375614166
upweight_unrelated_matched,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.7318211197853088,0.79052734375,0.7318211197853088
