condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,acquisition_rate,mean_acquired_at,median_acquired_at,std_acquired_at,mean_final_balanced_accuracy
baseline,K03_shortcut_for_09_bit29,shortcut,0.0848338361054499,1.0,0.0,5,1.0,50176.0,50176.0,4344.464063610148,0.9999058365821838
baseline,A05_not_bit_33,atomic,0.0495112951163322,1.0,0.0451018450785472,5,1.0,65331.2,66048.0,2160.1303664362486,0.9995144426822662
baseline,A06_or_bits_46_41,atomic,0.0760859123718199,2.0,0.0298727511249736,5,1.0,78643.2,78336.0,7164.341923721955,0.9975674510002136
baseline,A07_bit_10,atomic,0.0390855829401995,1.0,0.0123853745835715,5,1.0,79564.8,80384.0,3426.9594686835735,0.9975969910621643
baseline,C02_and_05_06,composite,0.0225858123596795,3.0,0.0,5,1.0,80384.0,82432.0,4096.0,0.9665307581424714
baseline,K01_shortcut_for_02_bit46,shortcut,0.0187980761502135,1.0,0.0,5,1.0,87040.0,86016.0,6343.4299870023,0.9756627380847931
baseline,A04_bit_8,atomic,0.0230508666716711,1.0,0.0,5,1.0,109056.0,112128.0,4448.805682427588,0.9405134975910187
baseline,C05_and_07_05,composite,0.0123853745835715,2.0,0.0,5,1.0,109158.4,106496.0,6610.552533638924,0.9164558589458466
baseline,A02_or_bits_19_44,atomic,0.0378959400312156,2.0,0.0145263225035138,5,0.4,114176.0,114176.0,0.0,0.9130260169506073
baseline,K02_shortcut_for_02_bit12,shortcut,0.0120075912480278,1.0,0.0,5,0.2,116224.0,116224.0,,0.8827836275100708
baseline,A00_xor2_12_26,atomic,0.0183751008089589,2.5,0.0608429621310642,5,0.0,,,,0.5623390287160873
baseline,A01_and_bits_31_32,atomic,0.0328079550222265,2.0,0.0,5,0.0,,,,0.7084037080407143
baseline,A03_xor2_18_17,atomic,0.0143032623707168,2.5,0.0151578972284238,5,0.0,,,,0.5136755675077438
baseline,A08_bit_22,atomic,0.0071735574455122,1.0,0.0367941445986432,5,0.0,,,,0.811493557691574
baseline,A09_xor2_22_5,atomic,0.0678243360990089,2.5,0.0193538144268427,5,0.0,,,,0.588011947274208
baseline,A10_xor2_9_25,atomic,0.0612608757851842,2.5,0.0660166694715173,5,0.0,,,,0.613586249947548
baseline,A11_eq2_30_27,atomic,0.0234210627492732,2.0,0.0,5,0.0,,,,0.5131943583488464
baseline,C00_and_02_06,composite,0.0072869387652941,3.0,0.0,5,0.0,,,,0.8451575398445129
baseline,C01_and_00_09,composite,0.0193538144268427,3.5,0.0,5,0.0,,,,0.5136538605205715
baseline,C03_and_10_08,composite,0.0313332133022853,3.5,0.0,5,0.0,,,,0.607840646803379
baseline,C04_or_05_10,composite,0.0101306581352962,3.5,0.0,5,0.0,,,,0.7005097508430481
