condition,seed,n_tasks,total_samples,mae_frequency,max_abs_frequency_error,spearman_intended_realized
baseline,0,25,250112,0.00022308129241236597,0.0008093748627975017,1.0
baseline,1,25,250112,0.0002086649770985169,0.0006773656774858305,1.0
baseline,2,25,250112,0.00026219445806839505,0.0006499713500991294,1.0
corrupt_component_strong,0,25,250112,0.00023548494619949505,0.0005087806887816224,0.9992307692307693
corrupt_component_strong,1,25,250112,0.00023461101459016414,0.0009968447846593342,1.0
corrupt_component_strong,2,25,250112,0.0002253720872055461,0.0012287408952018075,1.0
corrupt_different_operation_matched_strong,0,25,250112,0.0002775169568385914,0.0009230935763818726,1.0
corrupt_different_operation_matched_strong,1,25,250112,0.0003454774417244559,0.0018338870474798319,0.9992307692307693
corrupt_different_operation_matched_strong,2,25,250112,0.0003019052804042787,0.0013930450531255412,1.0
corrupt_same_operation_unrelated_strong,0,25,250112,0.0002661012729642807,0.0009892259640774392,1.0
corrupt_same_operation_unrelated_strong,1,25,250112,0.00026497422857926214,0.0009768537406470434,1.0
corrupt_same_operation_unrelated_strong,2,25,250112,0.00028121164893504526,0.0011821790126794185,1.0
delay_component_strong,0,25,250112,0.0009357610747565201,0.011136019685710999,0.94
delay_component_strong,1,25,250112,0.0009274639934786572,0.011459874598709976,0.94
delay_component_strong,2,25,250112,0.000945746954330476,0.011479865642722258,0.94
delay_different_operation_matched_strong,0,25,250112,0.0007454981671384205,0.00856355285997468,0.9723076923076923
delay_different_operation_matched_strong,1,25,250112,0.0007218867646157931,0.008799447179319613,0.9723076923076923
delay_different_operation_matched_strong,2,25,250112,0.0007137581961232083,0.008451603013505898,0.9723076923076923
delay_same_operation_unrelated_strong,0,25,250112,0.0010840887805513082,0.013481613201789706,0.9192307692307692
delay_same_operation_unrelated_strong,1,25,250112,0.0011094253015420839,0.013793473488381313,0.9192307692307692
delay_same_operation_unrelated_strong,2,25,250112,0.0010881766535332938,0.013285700970469338,0.9192307692307692
pretrain_component,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_component,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_component,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
pretrain_different_operation_matched,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_different_operation_matched,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_different_operation_matched,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
pretrain_same_operation_unrelated,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_same_operation_unrelated,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_same_operation_unrelated,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
