condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
baseline,A02_substitute,component,0.3333333333333333,239274.66666666666,0.6988932490348816,0.5238095238095238,0.7142857142857143
baseline,C06_reverse_then_substitute_02_00,composite,0.3333333333333333,229802.66666666666,0.6909722487131754,0.5238095238095238,0.7142857142857143
baseline,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.17274305721124014,0.5238095238095238,0.7142857142857143
baseline,A07_reverse,different_operation_control,1.0,60757.333333333336,0.8390842080116272,0.5238095238095238,0.7142857142857143
baseline,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14336.0,0.9598524371782938,0.5238095238095238,0.7142857142857143
baseline,S00_surface_rotate,surface_control,0.0,250112.0,0.3642578224341075,0.5238095238095238,0.7142857142857143
corrupt_component_strong,A02_substitute,component,0.3333333333333333,244480.0,0.671006957689921,0.5238095238095238,0.7142857142857143
corrupt_component_strong,C06_reverse_then_substitute_02_00,composite,0.0,250112.0,0.6639540195465088,0.5238095238095238,0.7142857142857143
corrupt_component_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1397569477558136,0.5238095238095238,0.7142857142857143
corrupt_component_strong,A07_reverse,different_operation_control,1.0,59221.333333333336,0.8387586871782938,0.5238095238095238,0.7142857142857143
corrupt_component_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14080.0,0.9596354166666666,0.5238095238095238,0.7142857142857143
corrupt_component_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3602430721124013,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,A02_substitute,component,0.6666666666666666,224170.66666666666,0.7214626868565878,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,C06_reverse_then_substitute_02_00,composite,0.6666666666666666,224170.66666666666,0.716905395189921,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.12293836971124013,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,A07_reverse,different_operation_control,1.0,62122.666666666664,0.8404948115348816,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14080.0,0.9557291865348816,0.5238095238095238,0.7142857142857143
corrupt_different_operation_matched_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3606770932674408,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,A02_substitute,component,0.6666666666666666,223573.33333333334,0.7376302282015482,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,C06_reverse_then_substitute_02_00,composite,0.6666666666666666,218965.33333333334,0.7447916865348816,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.08995225901405017,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,A07_reverse,different_operation_control,1.0,62122.666666666664,0.8568793535232544,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14336.0,0.9559462070465088,0.5238095238095238,0.7142857142857143
corrupt_same_operation_unrelated_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3663194576899211,0.5238095238095238,0.7142857142857143
delay_component_strong,A02_substitute,component,0.0,250112.0,0.6765408118565878,0.5238095238095238,0.7142857142857143
delay_component_strong,C06_reverse_then_substitute_02_00,composite,0.0,250112.0,0.676866352558136,0.5238095238095238,0.7142857142857143
delay_component_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1075303852558136,0.5238095238095238,0.7142857142857143
delay_component_strong,A07_reverse,different_operation_control,1.0,59221.333333333336,0.8411458532015482,0.5238095238095238,0.7142857142857143
delay_component_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14080.0,0.9592014153798422,0.5238095238095238,0.7142857142857143
delay_component_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3325737913449605,0.5238095238095238,0.7142857142857143
delay_different_operation_matched_strong,A02_substitute,component,0.0,250112.0,0.6991102695465088,0.5238095238095238,0.7142857142857143
delay_different_operation_matched_strong,C06_reverse_then_substitute_02_00,composite,0.0,250112.0,0.6911892493565878,0.5238095238095238,0.7142857142857143
delay_different_operation_matched_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1731770858168602,0.5238095238095238,0.7142857142857143
delay_different_operation_matched_strong,A07_reverse,different_operation_control,1.0,63744.0,0.850694457689921,0.5238095238095238,0.7142857142857143
delay_different_operation_matched_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,13824.0,0.9584418535232544,0.5238095238095238,0.7142857142857143
