condition,seed,component,target_task,component_target_grad_cosine,component_target_cka
baseline,0,A_bit0,AB_and,0.651386344144778,0.978044867515564
baseline,0,A_bit0,AC_xor,0.094511048781722,0.964934766292572
corrupt_A,0,A_bit0,AB_and,-0.3603851700514575,0.971710443496704
corrupt_A,0,A_bit0,AC_xor,0.6953125026840908,0.943731129169464
corrupt_U_matched,0,A_bit0,AB_and,0.6755226478973254,0.9751025438308716
corrupt_U_matched,0,A_bit0,AC_xor,0.0287261694312497,0.9658459424972534
delay_A,0,A_bit0,AB_and,0.6493083697034499,0.9714215397834778
delay_A,0,A_bit0,AC_xor,0.191130220960677,0.9641542434692384
delay_U_matched,0,A_bit0,AB_and,0.6744767590935437,0.9765812158584596
delay_U_matched,0,A_bit0,AC_xor,0.1559285300356137,0.9706645607948304
upweight_A,0,A_bit0,AB_and,0.2874580878202855,0.981547474861145
upweight_A,0,A_bit0,AC_xor,-0.6058529823195119,0.982444167137146
upweight_U_matched,0,A_bit0,AB_and,0.5451104654585353,0.9759174585342408
upweight_U_matched,0,A_bit0,AC_xor,-0.1967406550173648,0.9640136361122132
