condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A_bit0,atomic,0.16078409552574158,0.07159771025180817,2.2456597418830917,0.6690379533734218
baseline,0,0,B_bit1,atomic,0.22319725155830383,0.08497107774019241,2.626743799085673,0.7843443723746408
baseline,0,0,C_xor23,atomic,0.14060181379318237,0.0653015524148941,2.1531159458157156,0.660284780553001
baseline,0,0,D_eq45,atomic,0.09119224548339844,0.06419388949871063,1.4205751699125428,0.35166529951412046
baseline,0,0,AB_and,composite,0.30767929553985596,0.14719144999980927,2.090334021019321,0.7895664066620077
baseline,0,0,AC_xor,composite,0.2309693992137909,0.10041085630655289,2.300243297461227,0.75534421241733
baseline,0,0,A_shortcut_bit6,shortcut,0.3047318458557129,0.1588834524154663,1.917958360175532,0.6713415747285919
baseline,0,0,surface_control_78,surface_control,0.4575042128562927,0.1369781792163849,3.3399787869148985,0.9260354860280222
baseline,0,0,U_unrelated_xor910,unrelated,0.20511411130428314,0.22990193963050842,0.8921808647332174,-0.17441070780338072
baseline,0,1024,A_bit0,atomic,0.17171461880207062,0.12403205782175064,1.384437393173475,0.3196766435934585
baseline,0,1024,B_bit1,atomic,0.1865958273410797,0.09553969651460648,1.953071175085836,0.5846081867127022
baseline,0,1024,C_xor23,atomic,0.08911317586898804,0.06482129544019699,1.3747515421043623,0.32062327227507287
baseline,0,1024,D_eq45,atomic,0.09282422065734863,0.10937833786010742,0.8486526900346593,-0.1677284299029943
baseline,0,1024,AB_and,composite,0.33695200085639954,0.08848799765110016,3.807883665547068,0.8781912427825788
baseline,0,1024,AC_xor,composite,0.1563391387462616,0.05653201416134834,2.7654974099682295,0.7909014649115851
baseline,0,1024,A_shortcut_bit6,shortcut,0.22990548610687256,0.2718941271305084,0.8455698860890548,-0.1964320221456417
baseline,0,1024,surface_control_78,surface_control,0.058088645339012146,0.20431794226169586,0.2843051603579991,-0.8508667700927632
baseline,0,1024,U_unrelated_xor910,unrelated,0.08433977514505386,0.15665370225906372,0.5383835423502461,-0.5547999881227552
upweight_A,0,0,A_bit0,atomic,0.16078409552574158,0.07159771025180817,2.2456597418830917,0.6690379533734218
upweight_A,0,0,B_bit1,atomic,0.22319725155830383,0.08497107774019241,2.626743799085673,0.7843443723746408
upweight_A,0,0,C_xor23,atomic,0.14060181379318237,0.0653015524148941,2.1531159458157156,0.660284780553001
upweight_A,0,0,D_eq45,atomic,0.09119224548339844,0.06419388949871063,1.4205751699125428,0.35166529951412046
upweight_A,0,0,AB_and,composite,0.30767929553985596,0.14719144999980927,2.090334021019321,0.7895664066620077
upweight_A,0,0,AC_xor,composite,0.2309693992137909,0.10041085630655289,2.300243297461227,0.75534421241733
upweight_A,0,0,A_shortcut_bit6,shortcut,0.3047318458557129,0.1588834524154663,1.917958360175532,0.6713415747285919
upweight_A,0,0,surface_control_78,surface_control,0.4575042128562927,0.1369781792163849,3.3399787869148985,0.9260354860280222
upweight_A,0,0,U_unrelated_xor910,unrelated,0.20511411130428314,0.22990193963050842,0.8921808647332174,-0.17441070780338072
upweight_A,0,1024,A_bit0,atomic,0.1735413670539856,0.11923640966415405,1.4554393875271283,0.3600924780733546
upweight_A,0,1024,B_bit1,atomic,0.1779990941286087,0.09466489404439926,1.8803073295919408,0.5591307580016629
upweight_A,0,1024,C_xor23,atomic,0.08984149992465973,0.06633128970861435,1.354436199235211,0.309905241095828
upweight_A,0,1024,D_eq45,atomic,0.0832827016711235,0.10995516926050186,0.7574241595959502,-0.27116325313043005
upweight_A,0,1024,AB_and,composite,0.32966917753219604,0.08626411855220795,3.821625758905253,0.8770294501831342
upweight_A,0,1024,AC_xor,composite,0.1377754658460617,0.059662044048309326,2.309264927835751,0.7072014026344524
upweight_A,0,1024,A_shortcut_bit6,shortcut,0.22758671641349792,0.27302655577659607,0.8335698912705296,-0.21441861673497942
upweight_A,0,1024,surface_control_78,surface_control,0.06005549430847168,0.20318278670310974,0.2955737308393602,-0.8434407429760118
upweight_A,0,1024,U_unrelated_xor910,unrelated,0.0872722938656807,0.15514452755451202,0.5625225410187538,-0.522176990520755
upweight_U_matched,0,0,A_bit0,atomic,0.16078409552574158,0.07159771025180817,2.2456597418830917,0.6690379533734218
upweight_U_matched,0,0,B_bit1,atomic,0.22319725155830383,0.08497107774019241,2.626743799085673,0.7843443723746408
upweight_U_matched,0,0,C_xor23,atomic,0.14060181379318237,0.0653015524148941,2.1531159458157156,0.660284780553001
upweight_U_matched,0,0,D_eq45,atomic,0.09119224548339844,0.06419388949871063,1.4205751699125428,0.35166529951412046
upweight_U_matched,0,0,AB_and,composite,0.30767929553985596,0.14719144999980927,2.090334021019321,0.7895664066620077
upweight_U_matched,0,0,AC_xor,composite,0.2309693992137909,0.10041085630655289,2.300243297461227,0.75534421241733
upweight_U_matched,0,0,A_shortcut_bit6,shortcut,0.3047318458557129,0.1588834524154663,1.917958360175532,0.6713415747285919
upweight_U_matched,0,0,surface_control_78,surface_control,0.4575042128562927,0.1369781792163849,3.3399787869148985,0.9260354860280222
upweight_U_matched,0,0,U_unrelated_xor910,unrelated,0.20511411130428314,0.22990193963050842,0.8921808647332174,-0.17441070780338072
upweight_U_matched,0,1024,A_bit0,atomic,0.17238134145736694,0.12363830953836441,1.3942389062063612,0.327763596857311
upweight_U_matched,0,1024,B_bit1,atomic,0.1846623569726944,0.09269783645868301,1.9920891794816529,0.5975281394888203
upweight_U_matched,0,1024,C_xor23,atomic,0.10148996859788895,0.06405764818191528,1.5843536482651759,0.4584274410290755
upweight_U_matched,0,1024,D_eq45,atomic,0.08365382254123688,0.110890232026577,0.7543840517930671,-0.2761829022709244
upweight_U_matched,0,1024,AB_and,composite,0.336533784866333,0.08799099922180176,3.824638745312992,0.8779556242775792
upweight_U_matched,0,1024,AC_xor,composite,0.16138184070587158,0.05453936383128166,2.9589974903658525,0.8109728588424134
upweight_U_matched,0,1024,A_shortcut_bit6,shortcut,0.2267177700996399,0.2743399739265442,0.8264117213903295,-0.22590967144098978
upweight_U_matched,0,1024,surface_control_78,surface_control,0.05717877298593521,0.20205675065517426,0.28298373006716465,-0.857930030199256
upweight_U_matched,0,1024,U_unrelated_xor910,unrelated,0.08539960533380508,0.1511799693107605,0.5648870397486033,-0.5253879534162801
