slice_id,prompt_family,component_ids,n_rows,n_runs,n_under_verdicts,n_over_verdicts,n_mixed_verdicts,mean_underperforming_metric_rate,mean_median_residual_z,runs,stability_verdict
comp_add_then_compare,arithmetic,arith_add_small;arith_compare,5,5,5,0,0,0.76,-1.1677506473519528,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_add_then_even,arithmetic,arith_add_small;arith_even,5,5,5,0,0,0.8,-0.7632979726683631,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_sub_then_compare,arithmetic,arith_sub_small;arith_compare,5,5,5,0,0,0.7200000000000001,-0.3811243786448879,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_reverse_then_last,string,word_reverse2;word_last,5,5,5,0,0,0.68,-0.3327271650863826,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_first_then_same,string,word_first;word_same,5,5,5,0,0,0.68,-0.11794540765145489,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_max_then_compare,arithmetic,arith_max2;arith_compare,5,5,5,0,0,0.72,0.3630769752300023,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_reverse_then_same,string,word_reverse2;word_same,5,5,5,0,0,0.6799999999999999,0.44874972446392325,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_retrieve_then_color,retrieval,retrieval_object;semantic_color_lookup,5,5,4,1,0,0.64,-0.2648326054269856,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_reverse_then_first,string,word_reverse2;word_first,5,5,4,1,0,0.64,0.5414690340437456,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
comp_retrieve_then_compare,retrieval,retrieval_number;arith_compare,5,5,4,1,0,0.6,1.2697674803342764,EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,stable_underperforming_observational
