family_id,h1_report,h2_report,h3_matrix,mediator_report,notes
family_original,results/b1_h1_shared_sweep_v08/b1_h1_analysis_report.md,results/b1_h1_shared_sweep_v08/h2_analysis_report.md,results/b1_h3_evidence_matrix_v16/h3_pair_evidence_matrix.csv,results/b1_mediator_h3_pairs_v18/mediator_analysis_report.md,first B1 family; has positive A02->C06 and mixed/negative other pairs
family_replication_01,results/family_replication_01/b1_h1_shared_sweep/b1_h1_analysis_report.md,results/family_replication_01/b1_h1_shared_sweep/h2_analysis_report.md,results/family_replication_01/b1_h3_evidence_matrix/h3_pair_evidence_matrix.csv,,planned second-family replication
