kind,n,mean_final_exact_match,mean_final_token_accuracy,mean_final_loss
atomic,40,0.306884765625,0.6746256660670042,1.1327522531151772
composite,40,0.223828125,0.7547119341790676,0.6717065617442131
shortcut,15,0.7256510416666667,0.9517795284589131,0.2327270517746607
surface_control,15,0.002994791666666667,0.34166667660077416,2.7963889161745707
unrelated,15,0.0,0.03402777860562007,4.779623508453369
