composite,left_condition,right_condition,expected_direction,contrast_type,n_paired_seeds,n_strict_paired_acquired,left_acquisition_rate,right_acquisition_rate,strict_delta_acquired_at_mean,strict_expected_direction_rate,censored_delta_acquired_at_mean,censored_expected_direction_rate,final_metric_delta_mean,final_metric_expected_direction_rate,left_final_metric_mean,right_final_metric_mean
C07_substitute_then_reverse_04_03,pretrain_component,pretrain_same_operation_unrelated,earlier,exact_pretrain_vs_same_operation,10,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515625178813935,0.8515625178813935
C07_substitute_then_reverse_04_03,pretrain_component,pretrain_different_operation_matched,earlier,exact_pretrain_vs_different_operation,10,10,1.0,1.0,-86144.0,1.0,-86144.0,1.0,0.006835925579071045,0.4,0.8515625178813935,0.8447265923023224
C07_substitute_then_reverse_04_03,pretrain_same_operation_unrelated,pretrain_different_operation_matched,earlier,operation_family_pretrain_vs_different_operation,10,10,1.0,1.0,-86144.0,1.0,-86144.0,1.0,0.006835925579071045,0.4,0.8515625178813935,0.8447265923023224
C07_substitute_then_reverse_04_03,corrupt_component_strong,corrupt_same_operation_unrelated_strong,later,exact_strong_corrupt_vs_same_operation,10,10,1.0,1.0,-768.0,0.3,-768.0,0.3,0.0007487058639526368,0.5,0.8378255426883697,0.8370768368244171
C07_substitute_then_reverse_04_03,corrupt_component_strong,corrupt_different_operation_matched_strong,later,exact_strong_corrupt_vs_different_operation,10,10,1.0,1.0,537.6,0.3,537.6,0.3,-0.01637369394302368,1.0,0.8378255426883697,0.8541992366313934
C07_substitute_then_reverse_04_03,delay_component_strong,delay_same_operation_unrelated_strong,later,exact_strong_delay_vs_same_operation,10,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0027343809604644777,0.6,0.8434244990348816,0.8461588799953461
C07_substitute_then_reverse_04_03,delay_component_strong,delay_different_operation_matched_strong,later,exact_strong_delay_vs_different_operation,10,10,1.0,1.0,3200.0,0.6,3200.0,0.6,-0.0026692628860473635,0.6,0.8434244990348816,0.846093761920929
