condition,seed,n_tasks,total_samples,mae_frequency,max_abs_frequency_error,spearman_intended_realized
baseline,0,25,250112,0.00022308129241236597,0.0008093748627975017,1.0
baseline,1,25,250112,0.0002086649770985169,0.0006773656774858305,1.0
baseline,2,25,250112,0.00026219445806839505,0.0006499713500991294,1.0
baseline,3,25,250112,0.0002616757715161854,0.0009208788174126514,0.9992307692307693
baseline,4,25,250112,0.00039379924684109863,0.0014050396795329267,1.0
baseline,5,25,250112,0.00022418900563949185,0.0006335114355628165,0.9992307692307693
baseline,6,25,250112,0.00022076557287982663,0.0006058249351888478,0.9992307692307693
baseline,7,25,250112,0.00029882869844183383,0.0006683039279504338,1.0
baseline,8,25,250112,0.0002704181005260136,0.0017415506480003562,0.9992307692307693
baseline,9,25,250112,0.00022050570382314074,0.0005609901938692947,0.9992307692307693
corrupt_component_strong,0,25,250112,0.0002824115407240784,0.0016511794963327137,1.0
corrupt_component_strong,1,25,250112,0.00023012523442982256,0.0005890274868087797,1.0
corrupt_component_strong,2,25,250112,0.0003080466259439907,0.0008503276820755468,1.0
corrupt_component_strong,3,25,250112,0.00021188043147654157,0.0006511049768602103,1.0
corrupt_component_strong,4,25,250112,0.0003417530873077795,0.0010891811841388654,1.0
corrupt_component_strong,5,25,250112,0.00024710539725085066,0.0010662309574082096,1.0
corrupt_component_strong,6,25,250112,0.0003296620257761659,0.0014536796142234631,0.9992307692307693
corrupt_component_strong,7,25,250112,0.0003131781328026692,0.0010258712723606178,0.9992307692307693
corrupt_component_strong,8,25,250112,0.0002649188647986696,0.0009168806086102266,1.0
corrupt_component_strong,9,25,250112,0.0002811650004235618,0.0006948036494308744,1.0
corrupt_different_operation_matched_strong,0,25,250112,0.0003225114923440893,0.0013531312599315837,1.0
corrupt_different_operation_matched_strong,1,25,250112,0.0002318849395260704,0.0007917260819682026,1.0
corrupt_different_operation_matched_strong,2,25,250112,0.00024523481787079343,0.0007442772321440503,1.0
corrupt_different_operation_matched_strong,3,25,250112,0.00036083856526121104,0.0012251885782529753,1.0
corrupt_different_operation_matched_strong,4,25,250112,0.0002293858811129279,0.0010342452869885332,1.0
corrupt_different_operation_matched_strong,5,25,250112,0.00022383813105885387,0.0009502829021369452,1.0
corrupt_different_operation_matched_strong,6,25,250112,0.00020953411050966583,0.0009128823998077462,1.0
corrupt_different_operation_matched_strong,7,25,250112,0.0003868330066569445,0.002421623741440948,0.9992307692307693
corrupt_different_operation_matched_strong,8,25,250112,0.0003124937745117188,0.0010136422330394128,1.0
corrupt_different_operation_matched_strong,9,25,250112,0.00019631913096533873,0.0006596237133235094,1.0
corrupt_same_operation_unrelated_strong,0,25,250112,0.0002775169568385914,0.0009230935763818726,1.0
corrupt_same_operation_unrelated_strong,1,25,250112,0.0003454774417244559,0.0018338870474798319,0.9992307692307693
corrupt_same_operation_unrelated_strong,2,25,250112,0.0003019052804042787,0.0013930450531255412,1.0
corrupt_same_operation_unrelated_strong,3,25,250112,0.00025847256519890183,0.0009732331288676288,0.9992307692307693
corrupt_same_operation_unrelated_strong,4,25,250112,0.0002626193358967349,0.0009622775285443308,1.0
corrupt_same_operation_unrelated_strong,5,25,250112,0.0002754453999235268,0.0012567283568190035,1.0
corrupt_same_operation_unrelated_strong,6,25,250112,0.00016888653923629725,0.0005638281802281819,1.0
corrupt_same_operation_unrelated_strong,7,25,250112,0.0002950098804486602,0.0009023043965075139,0.9992307692307693
corrupt_same_operation_unrelated_strong,8,25,250112,0.0002943608195207149,0.0009248770262151318,1.0
corrupt_same_operation_unrelated_strong,9,25,250112,0.00028746076627979555,0.0021763163813839914,1.0
delay_component_strong,0,25,250112,0.0007126455742709703,0.008046599874570244,0.9784615384615385
delay_component_strong,1,25,250112,0.0006745698759298765,0.007946644654508832,0.9784615384615385
delay_component_strong,2,25,250112,0.0006980480103741704,0.008178540765051309,0.9784615384615385
delay_component_strong,3,25,250112,0.0007381997099515611,0.008266501358705353,0.9784615384615385
delay_component_strong,4,25,250112,0.000805497594827506,0.008378451205174133,0.9776923076923076
delay_component_strong,5,25,250112,0.00066909518190232,0.007686761082349159,0.9784615384615385
delay_component_strong,6,25,250112,0.0007433280518291911,0.007946644654508832,0.9776923076923076
delay_component_strong,7,25,250112,0.0007280603367477034,0.008258504941100439,0.9776923076923076
delay_component_strong,8,25,250112,0.0007613894301299476,0.008022610621755504,0.9776923076923076
delay_component_strong,9,25,250112,0.0007780310671948071,0.008266501358705353,0.9776923076923076
delay_different_operation_matched_strong,0,25,250112,0.000674044247536027,0.007731331301518188,0.9838461538461538
delay_different_operation_matched_strong,1,25,250112,0.0006313735839509605,0.007303522959655343,0.9838461538461538
delay_different_operation_matched_strong,2,25,250112,0.0006669848833943374,0.007803299059962405,0.9838461538461538
delay_different_operation_matched_strong,3,25,250112,0.0006826296974511089,0.007607386828642037,0.9830769230769232
delay_different_operation_matched_strong,4,25,250112,0.0008063782445518643,0.007675356378283797,0.9838461538461538
delay_different_operation_matched_strong,5,25,250112,0.0006709432441358783,0.007759318763135383,0.9838461538461538
delay_different_operation_matched_strong,6,25,250112,0.0007195562678656439,0.007775311598345209,0.9838461538461538
delay_different_operation_matched_strong,7,25,250112,0.0006837902196349327,0.0075474136966051895,0.9830769230769232
delay_different_operation_matched_strong,8,25,250112,0.0006929525368336749,0.007783308015950122,0.9838461538461538
delay_different_operation_matched_strong,9,25,250112,0.0007128435281955045,0.007407476388519212,0.9838461538461538
delay_same_operation_unrelated_strong,0,25,250112,0.0007454981671384205,0.00856355285997468,0.9723076923076923
delay_same_operation_unrelated_strong,1,25,250112,0.0007218867646157931,0.008799447179319613,0.9723076923076923
delay_same_operation_unrelated_strong,2,25,250112,0.0007137581961232083,0.008451603013505898,0.9723076923076923
delay_same_operation_unrelated_strong,3,25,250112,0.0007752542560473858,0.00863152240961644,0.9723076923076923
delay_same_operation_unrelated_strong,4,25,250112,0.000830327663411504,0.008559554651172224,0.9715384615384616
delay_same_operation_unrelated_strong,5,25,250112,0.0007264492714616524,0.00872348121207294,0.9723076923076923
delay_same_operation_unrelated_strong,6,25,250112,0.0007968798705841948,0.008659509871233637,0.9715384615384616
delay_same_operation_unrelated_strong,7,25,250112,0.0007548794683092386,0.008515574354345202,0.9715384615384616
delay_same_operation_unrelated_strong,8,25,250112,0.0007803019382691212,0.008523570771950114,0.9715384615384616
delay_same_operation_unrelated_strong,9,25,250112,0.0008205669933357914,0.008487586892728006,0.9715384615384616
pretrain_component,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_component,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_component,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
pretrain_component,3,25,250112,0.000297161895320185,0.0011572190286112116,1.0
pretrain_component,4,25,250112,0.00040800005043592984,0.001529052447239665,1.0
pretrain_component,5,25,250112,0.000245434464183571,0.0011407803015477946,1.0
pretrain_component,6,25,250112,0.0002437896995372827,0.0007377658256699123,0.9992307692307693
pretrain_component,7,25,250112,0.0002520288565224739,0.0007282770599872784,1.0
pretrain_component,8,25,250112,0.0003148818188778525,0.0016032009907032407,0.9992307692307693
pretrain_component,9,25,250112,0.0002643639231248328,0.0015086155113737676,1.0
pretrain_different_operation_matched,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_different_operation_matched,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_different_operation_matched,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
pretrain_different_operation_matched,3,25,250112,0.000297161895320185,0.0011572190286112116,1.0
pretrain_different_operation_matched,4,25,250112,0.00040800005043592984,0.001529052447239665,1.0
pretrain_different_operation_matched,5,25,250112,0.000245434464183571,0.0011407803015477946,1.0
pretrain_different_operation_matched,6,25,250112,0.0002437896995372827,0.0007377658256699123,0.9992307692307693
pretrain_different_operation_matched,7,25,250112,0.0002520288565224739,0.0007282770599872784,1.0
pretrain_different_operation_matched,8,25,250112,0.0003148818188778525,0.0016032009907032407,0.9992307692307693
pretrain_different_operation_matched,9,25,250112,0.0002643639231248328,0.0015086155113737676,1.0
pretrain_same_operation_unrelated,0,25,250112,0.00021432200896868398,0.0008875216150635301,1.0
pretrain_same_operation_unrelated,1,25,250112,0.0001950479822404781,0.0005369645019618532,0.9992307692307693
pretrain_same_operation_unrelated,2,25,250112,0.00027764203946604006,0.0008642234962177465,0.9992307692307693
pretrain_same_operation_unrelated,3,25,250112,0.000297161895320185,0.0011572190286112116,1.0
pretrain_same_operation_unrelated,4,25,250112,0.00040800005043592984,0.001529052447239665,1.0
pretrain_same_operation_unrelated,5,25,250112,0.000245434464183571,0.0011407803015477946,1.0
pretrain_same_operation_unrelated,6,25,250112,0.0002437896995372827,0.0007377658256699123,0.9992307692307693
pretrain_same_operation_unrelated,7,25,250112,0.0002520288565224739,0.0007282770599872784,1.0
pretrain_same_operation_unrelated,8,25,250112,0.0003148818188778525,0.0016032009907032407,0.9992307692307693
pretrain_same_operation_unrelated,9,25,250112,0.0002643639231248328,0.0015086155113737676,1.0
