condition,task_name,kind,frequency,reference_learnability,formal_utility,n_seeds,n_acquired,acquisition_rate,mean_acquired_at,median_acquired_at,mean_final_balanced_accuracy
baseline,A00_not_bit_2,atomic,0.0169128367501525,1.0,0.0,2,0,0.0,,,0.8252247720956802
baseline,A01_and_bits_22_6,atomic,0.0837927642284167,2.0,0.0059991004519002,2,2,1.0,88320.0,88320.0,0.9837445318698883
baseline,A02_xor2_43_17,atomic,0.071450882466463,2.5,0.0293986390214981,2,0,0.0,,,0.5986688807606697
baseline,A03_xor2_28_45,atomic,0.0283205061066759,2.5,0.0059991004519002,2,0,0.0,,,0.5272895470261574
baseline,A04_eq2_33_14,atomic,0.0333739621637372,2.0,0.035389312464409,2,0,0.0,,,0.5501944124698639
baseline,A05_xor2_4_44,atomic,0.0205487696537919,2.5,0.0066486343303578,2,0,0.0,,,0.5169033817946911
baseline,A06_not_bit_23,atomic,0.0206893333806681,1.0,0.0290050422877769,2,2,1.0,99328.0,99328.0,0.9746402204036713
baseline,A07_xor2_23_17,atomic,0.0133996394391032,2.5,0.129982111560653,2,0,0.0,,,0.6316912546753883
baseline,A08_eq2_10_9,atomic,0.0310935671021633,2.0,0.0609644899793927,2,0,0.0,,,0.5371448807418346
baseline,A09_not_bit_25,atomic,0.073563363733627,1.0,0.0396822059354267,2,2,1.0,43264.0,43264.0,0.9995233565568924
baseline,A10_eq2_27_25,atomic,0.0716055898974278,2.0,0.0559274352314763,2,0,0.0,,,0.8667165040969849
baseline,A11_not_bit_12,atomic,0.0201871749009346,1.0,0.0691381267997188,2,2,1.0,90112.0,90112.0,0.976800262928009
baseline,C00_and_07_05,composite,0.0066486343303578,3.5,0.0,2,0,0.0,,,0.5213089369935915
baseline,C01_or_07_11,composite,0.0691381267997188,3.5,0.0,2,0,0.0,,,0.8042068332433701
baseline,C02_and_04_02,composite,0.0293986390214981,3.5,0.0,2,0,0.0,,,0.5164245630148798
baseline,C03_or_04_09,composite,0.0059906734429108,3.0,0.0,2,0,0.0,,,0.6147776916623116
baseline,C04_or_10_09,composite,0.0062878606099078,3.0,0.0,2,2,1.0,102144.0,102144.0,0.9407648891210556
baseline,C05_or_10_07,composite,0.0206345323337915,3.5,0.0,2,0,0.0,,,0.671967551112175
baseline,C06_or_06_10,composite,0.0290050422877769,3.0,0.0,2,0,0.0,,,0.8127444684505463
baseline,C07_or_01_03,composite,0.0059991004519002,3.5,0.0,2,0,0.0,,,0.5867564305663109
baseline,C08_and_07_08,composite,0.0335608180967847,3.5,0.0,2,0,0.0,,,0.5221082174684852
baseline,C09_and_08_09,composite,0.0274036718826079,3.0,0.0,2,0,0.0,,,0.6357561349868774
baseline,K00_shortcut_for_11_bit26,shortcut,0.0063851691623214,1.0,0.0,2,0,0.0,,,0.6109035536646843
baseline,K01_shortcut_for_02_bit28,shortcut,0.0362118972792565,1.0,0.0,2,2,1.0,86272.0,86272.0,0.9937914162874222
baseline,K02_shortcut_for_06_bit29,shortcut,0.0213214711961362,1.0,0.0,2,0,0.0,,,0.8693356066942215
baseline,K03_shortcut_for_07_bit36,shortcut,0.0413081674128184,1.0,0.0,2,2,1.0,85248.0,85248.0,0.9941753596067429
baseline,S00_surface_xor_35_8,surface_control,0.011331609590992,2.0,0.0,2,0,0.0,,,0.5123003832995892
baseline,S01_surface_xor_11_13,surface_control,0.0670658433118355,2.0,0.0,2,0,0.0,,,0.5481990352272987
baseline,S02_surface_xor_39_21,surface_control,0.0302058725496523,2.0,0.0,2,0,0.0,,,0.52392578125
baseline,S03_surface_xor_34_38,surface_control,0.0111429779529846,2.0,0.0,2,0,0.0,,,0.5032759197056293
baseline,U00_and_bits_23_2,unrelated,0.0139465687127116,2.0,0.0,2,0,0.0,,,0.556783951818943
baseline,U01_eq2_25_45,unrelated,0.013073278060845,2.0,0.0,2,0,0.0,,,0.5155329070985317
baseline,U02_xor2_35_36,unrelated,0.0222464642949671,2.5,0.0,2,0,0.0,,,0.5300833508372307
baseline,U03_and_bits_31_29,unrelated,0.006755191395062,2.0,0.0,2,0,0.0,,,0.531898477114737
