model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-160m,syntax_is_are,accuracy,0.21875,0.203125,-0.015625,0.20703125,0.21875,0.203125,4,atomic,syntax,syntax,agreement,1,0.75,0.35,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-160m,word_copy,accuracy,0.3125,0.25,-0.0625,0.265625,0.3125,0.25,4,atomic,string,string,copy,1,0.8,0.25,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_first,accuracy,0.296875,0.296875,0.0,0.3046875,0.328125,0.296875,4,atomic,string,string,first,1,0.75,0.3,0.6,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_last,accuracy,0.25,0.25,0.0,0.2421875,0.25,0.21875,4,atomic,string,string,last,1,0.7,0.3,0.6,1.0,,,weak_or_uninformative
EleutherAI/pythia-160m,word_reverse2,accuracy,0.3125,0.3125,0.0,0.30859375,0.3125,0.296875,4,atomic,string,string,reverse,1,0.55,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,word_same,accuracy,0.296875,0.21875,-0.078125,0.23828125,0.296875,0.21875,4,atomic,string,string,same_compare,1,0.6,0.35,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-160m,arith_add_small,mean_logprob_correct,-11.369188338518144,-4.909673053771257,6.459515284746887,-6.612336593680084,-3.8598387092351913,-11.369188338518144,4,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_compare,mean_logprob_correct,-11.220416843891144,-3.962063344195485,7.258353499695659,-6.223001541104168,-3.927202086895704,-11.220416843891144,4,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_even,mean_logprob_correct,-11.295990362763405,-4.590533338487148,6.705457024276257,-6.452136734500527,-4.030657559633255,-11.295990362763405,4,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_max2,mean_logprob_correct,-11.458197891712189,-4.453245460987091,7.004952430725098,-6.412652099505067,-3.330687619745732,-11.458197891712189,4,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_min2,mean_logprob_correct,-11.345788940787315,-3.838584583252669,7.507204357534647,-6.116796460933983,-3.064389392733574,-11.345788940787315,4,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,arith_sub_small,mean_logprob_correct,-11.32753959298134,-4.609062464907765,6.718477128073575,-6.466457464266568,-3.7622350826859474,-11.32753959298134,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,usable_or_near_usable
