census_row,pair_id,component,composite,result_dir,status
0,A07_reverse__to__C03_reverse_then_substitute_07_02,A07_reverse,C03_reverse_then_substitute_07_02,results/b1_v2_causal_census_full/row000_A07_reverse__to__C03_reverse_then_substitute_07_02,completed
1,A02_substitute__to__C03_reverse_then_substitute_07_02,A02_substitute,C03_reverse_then_substitute_07_02,results/b1_v2_causal_census_full/row001_A02_substitute__to__C03_reverse_then_substitute_07_02,completed
2,A05_substitute__to__C06_reverse_then_substitute_05_07,A05_substitute,C06_reverse_then_substitute_05_07,results/b1_v2_causal_census_full/row002_A05_substitute__to__C06_reverse_then_substitute_05_07,completed
3,A07_reverse__to__C06_reverse_then_substitute_05_07,A07_reverse,C06_reverse_then_substitute_05_07,results/b1_v2_causal_census_full/row003_A07_reverse__to__C06_reverse_then_substitute_05_07,completed
